	V050.fsa	H011.fsa	G073.fsa	G004.fsa	V002.fsa	G016.fsa	L070.fsa	V116.fsa	H130.fsa	V008.fsa	G093.fsa	L117.fsa
V050.fsa	1.0	0.7623966890375474	0.893425329717381	0.8946439529711657	0.8933891930537947	0.7675084443074006	0.900251993879979	0.9035893598363669	0.8944521912600182	0.7754085256412708	0.7791172815416691	0.7623132054315251
H011.fsa	0.7863509423439232	1.0	0.7899581709481932	0.7942837710080461	0.7891875641888905	0.8623949342637747	0.7929890428288682	0.794989219667136	0.7971308671196446	0.8969400178198562	0.8231411917538956	0.8597599080441007
G073.fsa	0.9414721099239748	0.8070824125448396	1.0	0.9394256559041484	0.9915062082257584	0.8111793509523412	0.955114905092481	0.9381053629881314	0.936159390208124	0.8108968082683136	0.8117477717972369	0.8049367280890094
G004.fsa	0.8457876031053643	0.7280334999311124	0.8427995658524634	1.0	0.8418055899300714	0.7326617470760188	0.853169482744755	0.8689686128287979	0.9349999345412244	0.7295623675628701	0.7376864873761193	0.7350545458626001
V002.fsa	0.9479401588695643	0.8118673023240454	0.9983583795550734	0.9448023142496181	1.0	0.8157129566968206	0.9598739880335652	0.9448321211846423	0.9404125783586539	0.815706939334351	0.8160047288072692	0.8093742950589897
G016.fsa	0.8134139287997592	0.8861336511977081	0.8158233504519028	0.8213360311550324	0.8147522634278642	1.0	0.8224595333733832	0.8236157426729848	0.8210376139820815	0.9089559256705022	0.8647265869713439	0.959168563630788
L070.fsa	0.8902403334134106	0.7602824248219586	0.8962921634650122	0.892416112581802	0.8945758502206297	0.7674132107603971	1.0	0.8909309016982894	0.890549947975885	0.7624765930608256	0.7674811590278989	0.7600742761944483
V116.fsa	0.8465036262347169	0.7220770536730182	0.833988640734343	0.8610943112612753	0.8342037474530981	0.7280377708123781	0.8440313198347793	1.0	0.8511842051127197	0.7401613386878144	0.7338711042486727	0.725540506596709
H130.fsa	0.7964126823304002	0.6881375413617307	0.7910093824105577	0.8806057783473908	0.7891494109366182	0.6897880179742834	0.8018555561113903	0.8089969353156432	1.0	0.6561003283103887	0.6583336092934927	0.6567727316603337
V008.fsa	0.8010208606810597	0.8983410503025593	0.7949313919768498	0.7971950514211054	0.7941584915839962	0.8859875869989788	0.7965198364824517	0.8161724604677049	0.7612064766682312	1.0	0.8293395604972013	0.8656473500606617
G093.fsa	0.8011092219363297	0.8205930206729483	0.7920649596470277	0.802323730183893	0.7907538982649999	0.8389561521297696	0.7980193860251271	0.8054729625457916	0.7602455487242104	0.8254827860135733	1.0	0.8334474703485595
L117.fsa	0.8032191532783097	0.8782990081679469	0.8048466838924774	0.8192361278445308	0.803729285184441	0.9536018981186958	0.8098665708380198	0.8160270632549668	0.7772033988041985	0.8829342464847312	0.8540630873777719	1.0
