	V050.fsa	H011.fsa	G073.fsa	G004.fsa	V002.fsa	G016.fsa	L070.fsa	V116.fsa	H130.fsa	V008.fsa	G093.fsa	L117.fsa
V050.fsa	1.0	0.7211718777098376	0.8835027821933821	0.8851579468941395	0.8834243102414339	0.726548195560545	0.8911670520145069	0.8941406773936287	0.8847601798234236	0.7334876219398082	0.7384241012027046	0.72135559439734
H011.fsa	0.7438308609983201	1.0	0.747204935147966	0.7510895277738102	0.7464937732525319	0.8355136131458848	0.7499383106504248	0.7517953845212104	0.7535334326348221	0.8762787787277166	0.7840312323586824	0.8329128663442769
G073.fsa	0.9310159459419268	0.7634023976241399	1.0	0.9286476184069957	0.9914197637843097	0.7674939158817757	0.9436572641890838	0.9265109675342752	0.9253696785420297	0.7671960855955626	0.7689548547378989	0.7614134805798115
G004.fsa	0.8368196261618153	0.6884420375010208	0.8331301202010145	1.0	0.8321390119964117	0.6933765070324545	0.8441987627667991	0.8598158551129227	0.93036071525869	0.6901061866023965	0.6988614536960207	0.6954193195653786
V002.fsa	0.93736681337836	0.7679465736578344	0.9982713377072562	0.933953009716781	1.0	0.7718232944135925	0.948380825716472	0.9331079201364458	0.9296305843222799	0.7717561238557915	0.7730182306491418	0.7656542384342095
G016.fsa	0.7700038046442379	0.8585123813075396	0.7718878163885959	0.7772960860246555	0.7709142915129037	1.0	0.7783730435504571	0.7789835757338057	0.77692638418744	0.8812649086284357	0.8256329588978216	0.9564166960424711
L070.fsa	0.8812564247630092	0.7190073084165342	0.88554016525123	0.8830327307195812	0.8838645427159848	0.7262773817824043	1.0	0.8811428298666675	0.880410266683256	0.7212878139933784	0.7270211609946166	0.7189610096929964
V116.fsa	0.8376518797374289	0.682844726432069	0.8236810628372317	0.8520244927601949	0.8238523080481419	0.688585024050315	0.8347585028621797	1.0	0.8415030436797606	0.6996179847997018	0.6948133581643008	0.6862281166597497
H130.fsa	0.7877829971434014	0.6505012728221987	0.7818925981848632	0.876236448301154	0.7801016754656857	0.6527283300229857	0.7927257371717865	0.7997956015943216	1.0	0.6204758680473599	0.6235650952438325	0.6213085631494312
V008.fsa	0.7577152775554385	0.8776475380745067	0.7520910749964067	0.7540811606721358	0.7513687203546104	0.8589962921762399	0.7534920506247714	0.7714654929879692	0.7198750389140974	1.0	0.7902840439598169	0.8387635501101175
G093.fsa	0.7592674058044164	0.7816041326911285	0.7503096616327949	0.7600967863808007	0.7490975943352601	0.8010275857187065	0.7559494766738747	0.7626044557101823	0.7200947685287771	0.7866088938997675	1.0	0.7956918045645223
L117.fsa	0.760063744949055	0.8508730606719289	0.7613283051086285	0.7750617063669075	0.7603141556531815	0.9508660013690601	0.7660599835079122	0.7718117867568034	0.7352362601369783	0.8555135795695993	0.8153735218889806	1.0
