"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_15969","","hypothetical protein","10","5","7","30","58.82352941176471","85.71428571428571","8.571428571428571","0.002287538868604839","1.0","0.7387339794191711","12","9","5","0.14599609375000003","0.7744140625000003"
"group_15968","","hypothetical protein","10","5","7","30","58.82352941176471","85.71428571428571","8.571428571428571","0.002287538868604839","1.0","0.7387339794191711","12","9","5","0.14599609375000003","0.7744140625000003"
"group_15967","","hypothetical protein","10","5","7","30","58.82352941176471","85.71428571428571","8.571428571428571","0.002287538868604839","1.0","0.7387339794191711","12","9","5","0.14599609375000003","0.7744140625000003"
"group_15965","","hypothetical protein","10","5","7","30","58.82352941176471","85.71428571428571","8.571428571428571","0.002287538868604839","1.0","0.7387339794191711","12","9","5","0.14599609375000003","0.7744140625000003"
"mhqO_2~~~mhqO","mhqO_2;mhqO","Putative ring-cleaving dioxygenase MhqO","12","35","5","0","70.58823529411765","0.0","0.0","0.0023809523809523833","1.0","0.7387339794191711","4","0","4","0.125","0.125"
"mhqO","mhqO","Putative ring-cleaving dioxygenase MhqO","5","0","12","35","29.411764705882355","100.0","inf","0.0023809523809523833","1.0","0.7387339794191711","4","4","0","0.125","0.125"
"dmlR_25~~~dmlR_23~~~dmlR_22~~~dmlR_24~~~dmlR_31~~~dmlR_28","dmlR_25;;dmlR_23;dmlR_22;dmlR_24;dmlR_31;dmlR_28","HTH-type transcriptional regulator DmlR;hypothetical protein","9","32","8","3","52.94117647058824","8.571428571428571","0.10546875","0.002885028115757626","1.0","0.7387339794191711","5","1","5","0.0625","0.375"
"group_12066","","hypothetical protein","4","24","13","11","23.52941176470588","31.428571428571427","0.14102564102564102","0.0031502655656358873","1.0","0.7387339794191711","6","2","6","0.03125","0.6875000000000002"
"group_12065","","hypothetical protein","13","11","4","24","76.47058823529412","68.57142857142857","7.090909090909091","0.0031502655656358873","1.0","0.7387339794191711","7","6","2","0.125","0.4531249999999996"
"group_13875","","hypothetical protein","0","12","17","23","0.0","65.71428571428571","0.0","0.00487244184509851","1.0","0.7387339794191711","6","0","6","0.03125","0.03125"
"group_13027","ribF","Bifunctional riboflavin kinase/FMN adenylyltransferase","14","14","3","21","82.35294117647058","60.0","7.0","0.0068501435127471645","1.0","0.7387339794191711","7","6","2","0.125","0.4531249999999996"
"dadD","dadD","5'-deoxyadenosine deaminase","4","0","13","35","23.52941176470588","100.0","inf","0.008791208791208786","1.0","0.7387339794191711","4","4","0","0.125","0.125"
"group_11619","rhtC_1","Threonine efflux protein","7","3","10","32","41.17647058823529","91.42857142857143","7.466666666666667","0.00901527747471425","1.0","0.7387339794191711","7","6","2","0.125","0.4531249999999996"
"yutF_2~~~yutF","yutF_2;yutF","Acid sugar phosphatase","7","3","10","32","41.17647058823529","91.42857142857143","7.466666666666667","0.00901527747471425","1.0","0.7387339794191711","7","6","1","0.125","0.125"
"COQ5_3~~~COQ5_2","COQ5_3;COQ5_2","2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial","0","11","17","24","0.0","68.57142857142857","0.0","0.00979231526528385","1.0","0.7387339794191711","5","0","5","0.0625","0.0625"
"czcO~~~czcO_1",";czcO;czcO_1","hypothetical protein;putative oxidoreductase CzcO","8","4","9","31","47.05882352941176","88.57142857142857","6.888888888888889","0.011040070773317066","1.0","0.7387339794191711","5","5","1","0.0625","0.375"
"group_11114","","hypothetical protein","1","14","16","21","5.88235294117647","60.0","0.09375","0.011088242540999183","1.0","0.7387339794191711","7","1","6","0.125","0.125"
