,Gtrait,Ltrait,Ftrait,Vtrait
G004.fsa,1,0,0,0
G007.fsa,1,0,0,0
G008.fsa,1,0,0,0
G011.fsa,1,0,0,0
G016.fsa,1,0,0,0
G028.fsa,1,0,0,0
G051.fsa,1,0,0,0
G067.fsa,1,0,0,0
G073.fsa,1,0,0,0
G077.fsa,1,0,0,0
G083.fsa,1,0,0,0
G088.fsa,1,0,0,0
G093.fsa,1,0,0,0
G094.fsa,1,0,0,0
G099.fsa,1,0,0,0
G108.fsa,1,0,0,0
G109.fsa,1,0,0,0
H005.fsa,0,0,1,0
H011.fsa,0,0,1,0
H012.fsa,0,0,1,0
H031.fsa,0,0,1,0
H082.fsa,0,0,1,0
H127.fsa,0,0,1,0
H130.fsa,0,0,1,0
H178.fsa,0,0,1,0
L008.fsa,0,1,0,0
L019.fsa,0,1,0,0
L070.fsa,0,1,0,0
L074.fsa,0,1,0,0
L079.fsa,0,1,0,0
L082.fsa,0,1,0,0
L102.fsa,0,1,0,0
L104.fsa,0,1,0,0
L111.fsa,0,1,0,0
L117.fsa,0,1,0,0
V002.fsa,0,0,0,1
V004.fsa,0,0,0,1
V006.fsa,0,0,0,1
V008.fsa,0,0,0,1
V010.fsa,0,0,0,1
V014.fsa,0,0,0,1
V030.fsa,0,0,0,1
V043.fsa,0,0,0,1
V050.fsa,0,0,0,1
V057.fsa,0,0,0,1
V060.fsa,0,0,0,1
V067.fsa,0,0,0,1
V068.fsa,0,0,0,1
V069.fsa,0,0,0,1
V074.fsa,0,0,0,1
V100.fsa,0,0,0,1
V116.fsa,0,0,0,1
