"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"msrP_1~~~msrP_5~~~msrP_2","msrP_1;msrP_5;msrP_2","Protein-methionine-sulfoxide reductase catalytic subunit MsrP","7","7","1","37","87.5","84.0909090909091","37.0","0.00017729200838522314","1.0","0.3627273469787803","4","4","1","0.125","0.625"
"group_16137","","IS1380 family transposase ISRsp7","4","0","4","44","50.0","100.0","inf","0.0002585649644473179","1.0","0.3627273469787803","3","3","0","0.25","0.25"
"group_10938","","hypothetical protein","4","0","4","44","50.0","100.0","inf","0.0002585649644473179","1.0","0.3627273469787803","3","3","0","0.25","0.25"
"group_10385","","hypothetical protein","4","0","4","44","50.0","100.0","inf","0.0002585649644473179","1.0","0.3627273469787803","3","3","0","0.25","0.25"
"group_13112","","hypothetical protein","8","14","0","30","100.0","68.18181818181817","inf","0.0004249219790385394","1.0","0.3627273469787803","3","3","0","0.25","0.25"
"group_14959","","hypothetical protein","2","39","6","5","25.0","11.363636363636363","0.042735042735042736","0.0005216147513584554","1.0","0.3627273469787803","4","2","4","0.125","1.0"
"group_13540","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_13360","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"hchA_1~~~hchA_2~~~hchA_4","hchA_1;hchA_2;hchA_4","Protein/nucleic acid deglycase HchA","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"fadJ_2~~~fadJ_4","fadJ_2;fadJ_4","Fatty acid oxidation complex subunit alpha","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_12853","bacC_2","Dihydroanticapsin 7-dehydrogenase","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"rutB_1~~~rutB_4","rutB_1;rutB_4","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"todT_1~~~tmoT_2","todT_1;tmoT_2","Response regulator protein TodT;Response regulator protein TmoT","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_11710","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_11666","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_11290","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_11289","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
"group_1362","","hypothetical protein","1","35","7","9","12.5","20.454545454545457","0.036734693877551024","0.0005643700588468492","1.0","0.3627273469787803","4","1","3","0.625","0.625"
