"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_14783","","hypothetical protein","2","33","8","9","20.0","21.428571428571427","0.06818181818181818","0.0009693251910836816","1.0","1.0","6","2","5","0.21875000000000003","0.6875000000000002"
"nuoN","nuoN","NADH-quinone oxidoreductase subunit N","0","21","10","21","0.0","50.0","0.0","0.003401809646534159","1.0","1.0","3","0","3","0.25","0.25"
"group_13378","","hypothetical protein","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"group_12595","","hypothetical protein","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"group_11318","","hypothetical protein","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"mtgA_5~~~pbpG~~~pbpG_1","mtgA_5;pbpG;pbpG_1","Biosynthetic peptidoglycan transglycosylase;Penicillin-binding protein 2D","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"group_1748","","hypothetical protein","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"group_426","","hypothetical protein","8","12","2","30","80.0","71.42857142857143","10.0","0.004300916044994502","1.0","1.0","4","3","1","0.625","0.625"
"group_14130","","hypothetical protein","3","33","7","9","30.0","21.428571428571427","0.11688311688311688","0.005702238299101642","1.0","1.0","5","2","4","0.375","1.0"
"group_15689","","hypothetical protein","6","6","4","36","60.0","85.71428571428571","9.0","0.005857404812494032","1.0","1.0","5","5","1","0.0625","0.375"
"group_15658","","hypothetical protein","6","6","4","36","60.0","85.71428571428571","9.0","0.005857404812494032","1.0","1.0","5","5","1","0.0625","0.375"
"ltaE~~~ltaE_1","ltaE;;ltaE_1","Low specificity L-threonine aldolase;hypothetical protein","5","38","5","4","50.0","9.523809523809524","0.10526315789473684","0.008350570907027365","1.0","1.0","3","2","3","0.25","1.0"
"group_15275","nuoN","NADH-quinone oxidoreductase subunit N","10","22","0","20","100.0","47.61904761904761","inf","0.008378801078725504","1.0","1.0","3","3","0","0.25","0.25"
"tcyN","tcyN","L-cystine import ATP-binding protein TcyN","10","23","0","19","100.0","45.23809523809524","inf","0.008571996231747855","1.0","1.0","4","4","0","0.125","0.125"
"group_13765","","hypothetical protein","3","32","7","10","30.0","23.809523809523807","0.13392857142857142","0.009015277474714265","1.0","1.0","4","2","3","0.625","1.0"
"cycY_1","cycY_1","Thiol:disulfide interchange protein CycY","0","18","10","24","0.0","57.14285714285714","0.0","0.009947722823397806","1.0","1.0","5","0","5","0.0625","0.0625"
"group_15511","","hypothetical protein","6","7","4","35","60.0","83.33333333333334","7.5","0.009975147686594379","1.0","1.0","5","5","1","0.0625","0.375"
