	H012.fsa	L019.fsa	G077.fsa	L008.fsa	H082.fsa	G067.fsa	G099.fsa	V074.fsa	V068.fsa	G011.fsa	G028.fsa	V050.fsa	H011.fsa	L104.fsa	G007.fsa	G073.fsa	G008.fsa	V060.fsa	V100.fsa	G004.fsa	H005.fsa	G108.fsa	V002.fsa	V057.fsa	V069.fsa	L074.fsa	G016.fsa	L111.fsa	V030.fsa	L079.fsa	L070.fsa	V010.fsa	H178.fsa	V014.fsa	L102.fsa	G094.fsa	V116.fsa	H031.fsa	G109.fsa	L082.fsa	G051.fsa	H130.fsa	V067.fsa	H127.fsa	V006.fsa	V008.fsa	G093.fsa	V004.fsa	G083.fsa	G088.fsa	V043.fsa	L117.fsa
H012.fsa	1.0	0.7767795388971974	0.7779073347351497	0.7722317422681845	0.7606606104208335	0.7808148832704582	0.7737553356502144	0.7904523263060784	0.861208419877856	0.8820686341269952	0.7644960516455663	0.7729789738233775	0.9424666445027169	0.7744412332848364	0.7869593662108091	0.7762688237677361	0.7769981495596251	0.384503016185741	0.8749772837331218	0.7797723402458488	0.9044464286286965	0.7806258037549721	0.7759136482538407	0.8193101363724313	0.773993722827336	0.7704299414294464	0.8531722064069494	0.7790538380870017	0.7696078798186547	0.7802602054833326	0.7773327468082308	0.9049006203411609	0.7537698313009846	0.939640473652872	0.7716218773150548	0.7610669643477546	0.7867534499328133	0.8093740412399126	0.7750494947367745	0.7348772466387943	0.7835515253037832	0.7863470960058924	0.8878121081443964	0.9745482937143822	0.775555532987761	0.8889766508846516	0.817662806148465	0.8828041066734512	0.8871609530355881	0.7773312769321388	0.7737906126764252	0.8440232967343094
L019.fsa	0.7619641707648824	1.0	0.8998089297958235	0.8907748757296536	0.820050063355823	0.9084605026547578	0.8909619218854882	0.8360780969475824	0.751404910623527	0.7669567433153938	0.8909748984583176	0.894412641646174	0.7636900549511982	0.9004377037338319	0.9082828940064356	0.8987465548182212	1.001399372641688	0.40334701203924483	0.7738335404560387	0.8965396199017635	0.7714330055590851	0.908399945314887	0.8974700008506864	0.9585078671455852	0.8897218071830705	0.8805523510993976	0.7714187182213235	0.9101985769549437	0.8928904503303324	0.9004272176143737	1.0011752318382705	0.770071251870953	0.7526286407642913	0.7637063084363583	0.8815186470074646	0.8204444725239421	0.8949403556079046	0.7721007092155819	0.8891472989132579	0.7599874061705307	0.8922199940674779	0.8955897085553496	0.7678198820232915	0.7660692243797559	0.9092318878173968	0.7659795680583888	0.7713171339390728	0.7670301461516007	0.7649667399952262	0.9974567228019225	0.8951570250512083	0.7638600611629133
G077.fsa	0.7724170561657527	0.9108303943163274	1.0	0.9241318981209177	0.8250375456907074	0.9010497402285341	0.8952421161347025	0.8423291954680603	0.761193352578416	0.7736690435763532	0.8945469951041667	0.9283883368801445	0.7701837526372207	0.901893730470038	0.9033984771024691	0.8972716201016955	0.9121661040728467	0.3898498530613122	0.8085618902515478	0.9080716700432026	0.7816245239867174	0.9012019264896574	0.8961980899894478	0.9510847881804746	0.9020246876101675	0.8888297274565642	0.7940455499980961	0.9024019025538235	0.8886629461747578	0.995870935966735	0.9122150637331383	0.7803280881040365	0.7676556296908894	0.7707833426232852	0.8911548469333938	0.826031599281235	0.9032859627612028	0.7904872839555478	0.9027361285274672	0.7788606251153504	0.9042173904447992	0.9028619110693547	0.7851391376492225	0.7806203865637178	0.900234541982378	0.7851911489956569	0.8002757662817075	0.772880249049433	0.7793479661241609	0.9121759225413062	0.9287095600171796	0.7794354035662535
L008.fsa	0.7404860145316946	0.8707638634226745	0.8924403206475069	1.0	0.790358792372257	0.8611375703476142	0.958042185632878	0.8116183084078357	0.7273214872832937	0.7500278686873579	0.8629772881089244	0.9201350048907945	0.7402640900879984	0.8800384344434937	0.8667751175033551	0.8613806365541335	0.8717547073736575	0.3776920831658009	0.7579752495304607	0.8642286242042689	0.744207221052378	0.8612179090463424	0.8608888663376753	0.9175367463057652	0.8869177078023868	0.8584075921736013	0.7404243830897674	0.8601913162964039	0.8582743350018669	0.8944171395374285	0.8716723185645947	0.7445994327857233	0.7348361667139474	0.7409288383639197	0.8597695060951062	0.7904545068984932	0.9100435930336226	0.7454577883563471	0.8889209218628635	0.7459560932994963	0.8887757484248106	0.8680000584281445	0.7507998633601463	0.7417829655819789	0.8634872530546003	0.751948693938772	0.7564744406338019	0.7455354362852615	0.7502126348812436	0.8716310600941154	0.9229835050685135	0.7389089671569762
H082.fsa	0.7716914859726298	0.8481181837283862	0.8429513397002705	0.8361955630265772	1.0	0.838635152813269	0.8345499650925555	0.8323013834193028	0.765627215606	0.7799492994787607	0.8343746822744742	0.8374424704981258	0.7744134532613043	0.8386093958639762	0.8422573932611687	0.8341760826391383	0.8480371171195596	0.3980030230524696	0.7867452027681943	0.8460191279239221	0.7776847213843683	0.8381986403042031	0.832828045250893	0.8833535547979097	0.8426945835846895	0.8293004277009212	0.7754438667959033	0.8408536395247165	0.8386178007632191	0.8437168633458277	0.8481237418069177	0.7765131868802234	0.7697294842509811	0.7747381263852833	0.8299021913741332	0.9918342336968679	0.8398919563758617	0.7968182033850054	0.8416565785281936	0.7795016708126318	0.8390978289603004	0.8413130621623637	0.7798975144543933	0.7760494262300638	0.840381202849532	0.7777238990598714	0.7963224498925664	0.7783603668331831	0.7771647021344377	0.8475848793151363	0.8367935309388408	0.7779767238516129
G067.fsa	0.7655340196947336	0.907999667234595	0.8896950807709415	0.8804804922831834	0.8104695332965195	1.0	0.8870185464309273	0.8360424236588342	0.7512543225112521	0.7649843017265153	0.877554776919444	0.8848874067290667	0.7616410574865338	0.8854673880077375	0.9748396601338529	0.882332842700876	0.9081408960167064	0.39845434399689245	0.7724305172078363	0.9381547634254137	0.7716103945955753	1.0028393797724486	0.8805610634343879	1.0099018669580329	0.8811487743031742	0.8863087342403155	0.7695969018754737	0.8993125250147223	0.8856353428302484	0.8903228807003271	0.9080535123454	0.7690682765175707	0.7479015145411276	0.7621483282141175	0.8863359843207229	0.8112367278679891	0.8844191769820667	0.7678458221892951	0.8811342321929567	0.7545340269002837	0.8924821875526087	0.9668337699241648	0.7646764282219126	0.7680317253820743	0.9626511446016346	0.7647740306733718	0.7681599841739918	0.7642012549448087	0.7645718822403497	0.9078093097017492	0.8853469898159375	0.7638057357488958
G099.fsa	0.7619682632421813	0.8944490281456801	0.8878707369933639	0.9838947599741559	0.8100890992566508	0.8909421677266202	1.0	0.8336725710879426	0.7462525281634447	0.7666624558023736	0.8854731761365057	0.9248314667361459	0.7597082134223931	0.9054400418980997	0.8955529325380064	0.8889716148269795	0.8948741938497695	0.3867136704393379	0.769000143432565	0.8926340140458642	0.7642675267356985	0.8901610524002584	0.8883397220040029	0.947011668041777	0.9091538926150652	0.8884801280102745	0.7611345121121563	0.8905908237371684	0.8886219815011468	0.8890193818188039	0.8949852553954989	0.7636918226331324	0.7513793870297485	0.7604639319734874	0.8901986869998776	0.8108419228385436	0.9357202354399498	0.7655035469952194	0.9116355391682753	0.7645043878521829	0.9205913895720578	0.8962281183094959	0.7709281929207475	0.7634923329372489	0.8927541552677254	0.7719072188688829	0.7653868271005962	0.765958057159851	0.770711991357201	0.8940004395089606	0.9251775471452314	0.7584353481003081
V074.fsa	0.8106890472075831	0.8741555048332732	0.870034528763577	0.86808299237407	0.8414076552578077	0.8745618465042625	0.8682422399361913	1.0	0.7945081518443321	0.8059645201365253	0.8613314165152879	0.8687915206840244	0.8054505972811425	0.8713463339827034	0.8749544835657749	0.8789574629478752	0.8744718072199994	0.4033355649005765	0.8057944459329173	0.8741951111546613	0.8151133062850024	0.8740125657564294	0.8772136884380377	0.9286146078802875	0.8672230281293962	0.8700903065241479	0.8048234743514807	0.8718484708739361	0.8702073438890804	0.8699073499876316	0.8746945071239987	0.8108761151269424	0.7720220397529607	0.8061519991941689	0.8723362179252181	0.8414900199607637	0.8756737014711213	0.8035240032808835	0.8674481948631012	0.7810912021203772	0.8715908242157708	0.8736646057218115	0.806256839456667	0.8105863996826013	0.8726142844515038	0.8068764248511165	0.801153242887479	0.8053893376767809	0.8055463925013859	0.8747060189959592	0.8697711261694314	0.7997648289013768
V068.fsa	0.9391639480045302	0.8353537019755644	0.8359958930083801	0.8271615768376398	0.8229960055047444	0.8356101703707892	0.8263912973278907	0.8447980049090382	1.0	0.9276645463336386	0.8216985085779935	0.8277024919984776	0.9397136064061142	0.829721160566119	0.8380358367951709	0.8349236802515255	0.8354535206407513	0.408902426016154	0.9114692957785885	0.8401155623273574	0.9401108409773544	0.8353423357625942	0.833689134658148	0.8764234724538371	0.8282281064880093	0.8297169346664249	0.9063094722521597	0.8374547027269003	0.829253542906871	0.8359663117105218	0.8358568754805139	0.9398864311315327	0.7774760712072841	0.9399821696177048	0.8292136154407963	0.8231163707856851	0.8335776583386327	0.8593569579584183	0.8282817316979199	0.7859297649642023	0.8298670269659031	0.837633356279483	0.9281833119512524	0.9399232984633463	0.8338794458650591	0.9277046195203924	0.8577884205685321	0.9280375912721474	0.9279562791332068	0.8357368016409314	0.8286880009512646	0.9028993169197447
G011.fsa	0.8973036589646087	0.795373572600897	0.79262595761444	0.7956924715648424	0.7820790472506043	0.7937306856110232	0.7919687212586531	0.7994188045992136	0.865356126951693	1.0	0.7889915153301229	0.7957710408748	0.9094812223427193	0.7969917197734485	0.7960850462485057	0.7909687976530341	0.7948782325222026	0.39135128610348147	0.8666625796125962	0.7953015280779255	0.9182645371574385	0.7930661088698769	0.7904523879496972	0.8399642387299937	0.792039678317127	0.7853682195569072	0.8696159972552396	0.7946998883445827	0.7878572898590401	0.7924631098059121	0.7950852585759489	0.9119030057790583	0.7539286693974713	0.9104383270337422	0.7852230430464665	0.7830861753085204	0.8034815719625553	0.8227938539768984	0.7904946631320445	0.7579340730085602	0.7972183201881531	0.7946236298966827	0.9776970546839678	0.9206648431699481	0.7935080272551227	0.9644278128832463	0.8220221619827305	0.9801963199657666	0.9769571710263572	0.7949597923595288	0.7962005893513845	0.8618161581456121
