	H012.fsa	L019.fsa	G077.fsa	L008.fsa	H082.fsa	G067.fsa	G099.fsa	V074.fsa	V068.fsa	G011.fsa	G028.fsa	V050.fsa	H011.fsa	L104.fsa	G007.fsa	G073.fsa	G008.fsa	V060.fsa	V100.fsa	G004.fsa	H005.fsa	G108.fsa	V002.fsa	V057.fsa	V069.fsa	L074.fsa	G016.fsa	L111.fsa	V030.fsa	L079.fsa	L070.fsa	V010.fsa	H178.fsa	V014.fsa	L102.fsa	G094.fsa	V116.fsa	H031.fsa	G109.fsa	L082.fsa	G051.fsa	H130.fsa	V067.fsa	H127.fsa	V006.fsa	V008.fsa	G093.fsa	V004.fsa	G083.fsa	G088.fsa	V043.fsa	L117.fsa
H012.fsa	1.0	0.7346459415919346	0.7356699107277437	0.7300690146912779	0.7207870144197517	0.7382988509310462	0.7315775084370887	0.7481420766195629	0.8402425081751836	0.8614612385657003	0.7231974775857258	0.7311227822242272	0.942210217937192	0.7323340937492318	0.7437776136267669	0.7342294321574682	0.7348526596205261	0.3281269876733518	0.8470111539542874	0.7373857906276425	0.8884344002317593	0.7381231339254885	0.733913542422762	0.7745739230084248	0.7313971145530561	0.7287638983465764	0.8261691127186507	0.7365793631534668	0.7279279397254592	0.7377348193869708	0.7351595964735801	0.8891423460077631	0.7010904075351728	0.93937602958139	0.7296595873870734	0.7211587594459583	0.7438603275632233	0.7699269765557436	0.732321532989899	0.681049716019939	0.7405067384465066	0.7431982151962739	0.8668234801748458	0.9743302175523516	0.7334063015458822	0.8679904281668881	0.7785193376898679	0.8623010723146967	0.8661617686831942	0.7351745624846999	0.7319342874521756	0.8177324248251916
L019.fsa	0.720634179532589	1.0	0.8907916535207867	0.8816760698758299	0.7851294504893281	0.8981949849347233	0.88120484988268	0.8028917571629699	0.7109632247858308	0.7254781113397814	0.8815099959589117	0.8853629894773102	0.722284956888286	0.8910391259399988	0.8972209555135557	0.8880189924595626	1.0013141729210908	0.34692657737124255	0.7317301979137079	0.8871072243726777	0.7296089870238204	0.8981484527796277	0.8867641971899034	0.9474878731305378	0.8796810856489197	0.8702351892410317	0.7300929214368134	0.8986576849558134	0.8825317372236138	0.8913991930668924	1.001095144100909	0.7284623298610733	0.7005330749903036	0.7223059291272023	0.8711898193412017	0.7855110141611111	0.8850991324964449	0.7313002670159244	0.8791832571276448	0.7067519992114438	0.8817285004731205	0.8853747863617005	0.7263437405010504	0.7243976478061138	0.8990409526220083	0.7246004231411355	0.7306499965330268	0.7255852008347475	0.7235508936598694	0.9973380985755523	0.8860337078931512	0.7225644119718453
G077.fsa	0.7304777335047408	0.901702668381095	1.0	0.9142124586546284	0.7897223721897454	0.890927960702774	0.8847626259201995	0.8088625476776203	0.720238132357466	0.7319148123140047	0.8855808758524985	0.9189749465855415	0.7284827268593626	0.8915854000435463	0.8931682963776353	0.8866816057760192	0.9029829170590185	0.33287991469077727	0.7652897768381532	0.8980624048587089	0.7392461565671555	0.8910903634783754	0.8856115253959331	0.9398517968527031	0.8941409881651631	0.8782535120595338	0.7520629730030596	0.8915097713000064	0.8780770449912741	0.9954190210535827	0.9030505848821857	0.7381937228938954	0.7147802580320048	0.7290479522058185	0.8805677516118542	0.7906511462332175	0.892192818267977	0.7493597098085306	0.8947972333678793	0.7245366313126615	0.8929009421351215	0.8926824148708932	0.7431369237172668	0.7385457282563713	0.8903777284230199	0.743424710988737	0.7584777499573095	0.7311427357198669	0.7373404449119568	0.9030208641127946	0.9192493329743843	0.7373001095820689
L008.fsa	0.7000565574188496	0.8618694597369861	0.8828610519782412	1.0	0.7561869126594057	0.8514483645116676	0.9568886141741041	0.779334836576736	0.6883941203860665	0.7093613675671008	0.8542447150077558	0.9174238621054787	0.6998642314431059	0.8712046371445653	0.8565067554979474	0.8511194499348962	0.8628280144502027	0.3226183035388236	0.7157810318154061	0.8545922087094325	0.7038171004315739	0.8515111491406577	0.8506461307114473	0.9071442244932318	0.8779045258492005	0.8488850859342186	0.7003601018802331	0.8496472144510228	0.8487048043566895	0.8845294573947352	0.8627611296005436	0.7044270082560506	0.6832377084994243	0.7005083504837876	0.8501228400485978	0.7562910838907712	0.9004076900663698	0.7057204997451456	0.8797997247214349	0.6936088322853425	0.8793574134167933	0.8576194528819298	0.7097107832472159	0.7012506185567274	0.8537660142446791	0.7108122050243592	0.7164694844920685	0.7049367169379347	0.7091344459794646	0.8626982168396574	0.9199533138624104	0.6990336804938921
H082.fsa	0.7312396548568795	0.8120023316817254	0.8068693783763633	0.8000418889333235	1.0	0.8024643977957474	0.7985052835636772	0.797100309761206	0.7254953129130431	0.7390619047941817	0.7984431957595928	0.801430730751764	0.7338127740912204	0.8022058793625833	0.8059135244318221	0.798503250120312	0.8119544779811975	0.33960198735198227	0.7446248635898409	0.8096637362488392	0.7367551666406839	0.8020207004534579	0.7972326191428359	0.8452289318322004	0.8059261317806863	0.7936040072390583	0.7348292246480448	0.8045707739963263	0.8026681488209418	0.8075424481302489	0.8120389336622992	0.7356877444368378	0.7165659208448278	0.7341092501338684	0.7940806463638643	0.9916417343916276	0.8035120278175052	0.7566465807649814	0.8050163692190899	0.7254768763598652	0.802757078077447	0.8050486331871514	0.7388208739739583	0.7353199623135163	0.8040794940792908	0.7368438247714071	0.7566305843438417	0.7373631662068825	0.7362381297743555	0.8115260992455925	0.8008067347644257	0.737386754149919
G067.fsa	0.7238500433315581	0.8977393569112033	0.8797008517615278	0.870573646945076	0.775513575583928	1.0	0.8774193125774187	0.8026258334692562	0.7107854639162428	0.7236695115488592	0.8685876663253856	0.8755758708398593	0.7203446087091518	0.8767809008378745	0.972605284550449	0.8720729254074902	0.8979098009237516	0.34221292924608326	0.7302452965771673	0.9342942916976996	0.7296941374989273	1.0027793771915516	0.8703894468823222	1.0029107802235162	0.8706552661762963	0.8773306188060928	0.7282752991777157	0.8884550711024033	0.8767105484668226	0.8803164677607311	0.8978335531026116	0.727540071046724	0.6960984566366719	0.7208382543965318	0.8774269111575324	0.7762536510849921	0.8753206633560439	0.727160666081052	0.8706817301966918	0.7016386075994971	0.8834410563074437	0.9652979396712041	0.7233300646337845	0.7261347267557141	0.9605887851508024	0.7234522969656119	0.7275432152867711	0.7228809623470703	0.7231598826412403	0.8976194827594113	0.8759539657055119	0.7224989371813592
G099.fsa	0.7204329558030316	0.8846537682629789	0.877477534381049	0.9827100596232067	0.7751008962561469	0.8813004728011063	1.0	0.8005209628667564	0.7063756433082129	0.7249254216456847	0.875968202711007	0.9219909755914619	0.7182544914789214	0.8963824728037382	0.8853714574459267	0.8784481386005982	0.8851006462360795	0.3302670345909343	0.7263498780823198	0.8831065388142996	0.7227524840809592	0.8805406749752283	0.8778350630774312	0.937099819853962	0.8994546930740493	0.8794063734062866	0.7198596203116302	0.8799445744987426	0.8794763790251585	0.8784105040009791	0.8851921009449443	0.722492463210863	0.6987530578112191	0.7189882345819862	0.8809551819290758	0.7758351657172483	0.9258551015278857	0.7246484257289072	0.9017944861363872	0.7108642930551005	0.911570270771733	0.8859522935393498	0.7287175681205991	0.7218017498772928	0.8830467971771419	0.7296414580643973	0.724828176998417	0.7242120749165393	0.7284567577134481	0.884277290677278	0.922037689867213	0.7174810083440909
V074.fsa	0.7672955940365763	0.8394577634214381	0.8354671181878669	0.8335535435666108	0.8058214440135868	0.8396056361576936	0.8337159431889118	1.0	0.7519620546772804	0.7626689178771834	0.8270535843378242	0.8343464922709429	0.7625934054789658	0.836606656465869	0.8399287908491582	0.8439460230251145	0.8397598130143082	0.34421442780171896	0.7617524906414648	0.8395331387735607	0.7715574534916947	0.8390691006966738	0.8422983178277098	0.8914371544297066	0.8322032283948545	0.835546467876738	0.7613301145773875	0.8367857757117317	0.8356328069164424	0.8353217122813174	0.8399616819119027	0.7672928531146809	0.7178877359505482	0.7632638349745745	0.8375599491010804	0.8059103869290917	0.8405426203076274	0.7603411899575363	0.832426339437138	0.7260852851552356	0.8364918118384528	0.8386709817913706	0.7628330990987163	0.7671627963707454	0.8376166861843146	0.763430071887529	0.758519025081491	0.762053992049956	0.7621459499795459	0.8399752494752848	0.8352664827051254	0.7566080543360356
V068.fsa	0.9163002277322773	0.7903937722479046	0.791015999547683	0.7828906144807884	0.7798570013831807	0.7905971983159353	0.7822321027319129	0.7995588743602133	1.0	0.905098241967439	0.7776322837752847	0.7833528404749096	0.9167907235381447	0.7851555509961174	0.7927838828265849	0.7899175570685896	0.7904730442973378	0.34897567105829935	0.882024829637954	0.7948137718865174	0.9165540731552783	0.7903357754176209	0.7887860359953393	0.8291873857185574	0.7835290167759476	0.7850864793942216	0.8771360465746606	0.7920960812212092	0.7845954007056377	0.790986709691183	0.7908389489225703	0.9164731981783749	0.7209757922979043	0.917090762416422	0.7845417754957272	0.7799690605854125	0.7889961652146087	0.8174629913191277	0.7835463575367609	0.7287575680034694	0.7852818908249014	0.7924002002785014	0.9057611253366876	0.9170703615213472	0.788952303290198	0.9052809756990366	0.8165429109512587	0.905621524926105	0.9055154402717166	0.7907416075089283	0.7843297519076294	0.874030447461575
G011.fsa	0.8763403339766592	0.7523580987966934	0.7498486385352288	0.7525500362805343	0.7410800044912285	0.7508633788446287	0.748854016319036	0.7564748315857325	0.8443055329378044	1.0	0.7461958452875134	0.7527892784700245	0.8892106122397935	0.7535994395207979	0.7530419780326734	0.748340189343881	0.7518884500667566	0.3338971383643609	0.8387364913121101	0.7523125612208529	0.8977281779178916	0.7502115798113302	0.7478553161109769	0.7943760957903977	0.7483866784511569	0.7430205848873428	0.8425030605328957	0.7515679199060649	0.7452269144200783	0.7496689350269867	0.7520764454917935	0.8912285385483056	0.698910713999284	0.8902193714944563	0.7427691087222537	0.7420498868900989	0.7596309254241316	0.7837723654065581	0.7470098124640286	0.7022844366702815	0.7536080033037171	0.751594562786258	0.9768620178828099	0.8995468263572033	0.750676063084903	0.9640463847106842	0.783195193624413	0.9794421633366238	0.9763090421857384	0.7519690583726475	0.7532363623116342	0.8349775343428085
G028.fsa	0.747028319270548	0.9282621268231815	0.921264643079467	0.9202233574284772	0.8129641719888087	0.9151186560458474	0.9188302375881483	0.8329811770779129	0.736582335963693	0.7576976324002159	1.0	0.9310010227898561	0.7460005603949817	0.93338352963261	0.9193898044000668	0.9220247650412912	0.9292239081614765	0.3476609030640907	0.7547216037786633	0.9199693853184796	0.7574925223157286	0.9155650396348324	0.9206535917039458	0.9699904346373789	0.9288479190160237	0.9045944106811836	0.7531077766536138	0.9279060137559024	0.9041433341292966	0.9217557478443428	0.9298051454197372	0.7586551348605706	0.7345679506521149	0.7471236968401177	0.9059419811756977	0.8147066415087048	0.9359536169631285	0.757066704946521	0.9292640744027859	0.7417945614081097	0.9295030014258325	0.9173548528687117	0.7569649780742012	0.7483716108871219	0.9173580275200867	0.7585688671601639	0.766340137669447	0.7564145211314457	0.7563779436264733	0.928854958460377	0.9310082002625298	0.7461385887156325
V050.fsa	0.7216053857872392	0.8908283697076108	0.9134591531069552	0.9443006085071245	0.7796912478187764	0.8814279574067433	0.9240657914120559	0.8029292326748768	0.708979578432848	0.730374857217316	0.8895685981361658	1.0	0.7211718777098376	0.8942769152530615	0.8857611917818897	0.8835027821933821	0.8918496920536401	0.3332486187947315	0.7394703499334704	0.8851579468941395	0.7286148434379051	0.8824039110948394	0.8834243102414339	0.9389256095127525	0.8849816158021145	0.8782022985819524	0.726548195560545	0.8894211499978832	0.8776183089966972	0.9130478018159861	0.8911670520145069	0.7304109938809024	0.7027945378773561	0.722485854276662	0.8790952962065604	0.7823438635658947	0.8941406773936287	0.7281991399210296	0.8864723191178645	0.7113842491889363	0.889256029184708	0.8847601798234236	0.7321595336101965	0.7234250118730041	0.8841116981633739	0.7334876219398082	0.7384241012027046	0.7299780133460348	0.7317067702303001	0.890796321498664	0.9892477599554859	0.72135559439734
H011.fsa	0.9591635549933005	0.7495776966135472	0.7468615968495582	0.7430010814340223	0.7363382235915852	0.747943438960191	0.7424889306045829	0.7569362089956266	0.8558189992314337	0.889841049603134	0.7351972086759574	0.7438308609983201	1.0	0.7478052330524325	0.7544221129452413	0.747204935147966	0.7493997701102518	0.3330332523958185	0.8315082263801886	0.7510895277738102	0.8965214552429146	0.7474869241703904	0.7464937732525319	0.7860821481768655	0.745254545083556	0.7423076033653683	0.8355136131458848	0.7500174797826249	0.7451688465383909	0.7483707074210859	0.7499383106504248	0.8984170254443062	0.6817640297360348	0.9747468152108116	0.7426139416569746	0.7367358376352642	0.7517953845212104	0.7757960102566196	0.7451859862474238	0.6871472586667754	0.7467636556550837	0.7535334326348221	0.8875586116835683	0.9755126609398272	0.7468077291925973	0.8762787787277166	0.7840312323586824	0.8839970889700532	0.8840233426513497	0.7498345201901692	0.743575261686629	0.8329128663442769
L104.fsa	0.7074395537868353	0.877485778310746	0.8673992541600135	0.8776695921114965	0.763858902254688	0.8638826534761334	0.8793063610676174	0.787993757559407	0.6955088247405115	0.715621849574737	0.87289107870561	0.8752712350764235	0.7096165339481114	1.0	0.887213323402569	0.8595343727934922	0.877643130152821	0.32437688541455567	0.7175086517696596	0.8994896069043768	0.7119888162726846	0.8641810927369022	0.8579684702535314	0.9301778630871166	0.876163067625149	0.8662282156765807	0.7137051001875573	0.8778053871384555	0.8684277853147747	0.8675593167393187	0.8769866154122192	0.7145928020890748	0.698885499750225	0.7073866298694844	0.8684759331712915	0.7641397862648235	0.9469153746561559	0.7196635587849185	0.8760456023451749	0.7103302323359971	0.9150653739462008	0.8863211036056677	0.7199494770213386	0.7124221469813359	0.8801255200420294	0.7190101420297225	0.7223174996159789	0.7146467586682277	0.7195797840962337	0.8763112545937315	0.8746543487324722	0.7104662855284066
G007.fsa	0.6862771014103928	0.8439545151016293	0.8299763471426698	0.8241722486292095	0.7329799049348461	0.9153277272050272	0.8295617070300673	0.7556492403566275	0.6707768602459384	0.6830280391899637	0.8212510270449414	0.8280634297037672	0.6837950555861874	0.8474310560635845	1.0	0.8214823279225039	0.8446542125857267	0.3228089790112948	0.6948237674720935	0.9013696562839368	0.6870809829251621	0.915845441695904	0.8191619214642283	0.9571885008448153	0.8229686456618509	0.8412183588783535	0.6863752440002328	0.8583724752942058	0.8411293400971168	0.8309609787035511	0.8435669998254146	0.6866053119306866	0.6585315994480342	0.68461817107585	0.8641747243870034	0.734507896286462	0.8397894964742644	0.6865344174719454	0.8242371016471186	0.6665473584847967	0.8429473206086616	0.9700321108744948	0.6849037216261882	0.6886490450578054	0.9175556626301623	0.6865699263486715	0.6864495907108779	0.6817883108723248	0.6852415491339287	0.843078013002167	0.8272769327432284	0.6863354198086269
