	H012.fsa	L019.fsa	G077.fsa	L008.fsa	H082.fsa	G067.fsa	G099.fsa	V074.fsa	V068.fsa	G011.fsa	G028.fsa	V050.fsa	H011.fsa	L104.fsa	G007.fsa	G073.fsa	G008.fsa	V060.fsa	V100.fsa	G004.fsa	H005.fsa	G108.fsa	V002.fsa	V057.fsa	V069.fsa	L074.fsa	G016.fsa	L111.fsa	V030.fsa	L079.fsa	L070.fsa	V010.fsa	H178.fsa	V014.fsa	L102.fsa	G094.fsa	V116.fsa	H031.fsa	G109.fsa	L082.fsa	G051.fsa	H130.fsa	V067.fsa	H127.fsa	V006.fsa	V008.fsa	G093.fsa	V004.fsa	G083.fsa	G088.fsa	V043.fsa	L117.fsa
H012.fsa	1.0	0.9457586159322884	0.9457037848578888	0.9454014575300065	0.9475803065719127	0.9455491522378098	0.9454894521952704	0.9464733693880836	0.9756552406841935	0.9766374239327866	0.9459793494407905	0.9458508018761267	0.9997279197444062	0.9456290061454956	0.9451283580345942	0.9458442870264665	0.9457585710300783	0.8533794895248474	0.9680378790412525	0.945642404288356	0.9822963219378131	0.9455530810984764	0.9458701288144653	0.9453977054866182	0.9449651760499065	0.9459184530061704	0.9683497733687089	0.9454794099495964	0.9458426281926626	0.945498455774738	0.9457463351340647	0.9825856298700992	0.9301120559907675	0.9997185688793779	0.9456180660999479	0.9475628206566578	0.9454808588723025	0.9512622561705358	0.9448706669225209	0.926753031387142	0.9450645101602116	0.9451274366894907	0.97635915552738	0.9997762284707313	0.9456528518602625	0.9763928302313909	0.9521276152415697	0.9767751031018498	0.9763299046463426	0.9457673765375594	0.9459074269724275	0.968850537644112
L019.fsa	0.9457586159322884	1.0	0.9899786766096188	0.9897855158449875	0.957416486594011	0.9887000946215757	0.9890488338916215	0.9603071293151062	0.9461785712790498	0.9459178991030068	0.9893769145283628	0.9898820167029305	0.9457828502617359	0.9895622120721287	0.9878210427985871	0.9880638626082652	0.999914919338952	0.860119368722353	0.9455912152405306	0.9894791090993622	0.9457839913072511	0.9887147807657499	0.9880711292292386	0.9885029696752885	0.9887147629145558	0.9882833066705409	0.9464288384396533	0.9873204679821187	0.9883986741006286	0.9899736209980408	0.9999200062738124	0.9459674388457077	0.9307818451858477	0.9457901828859829	0.9882829164177902	0.9574213008524942	0.9890034871600187	0.947156579818313	0.9887937107858378	0.9299522511467228	0.9882411359708176	0.9885941943101083	0.9459819386117655	0.9456033798937932	0.9887917094286566	0.9459787876298822	0.9472757240613063	0.9459669929209513	0.9458592848943794	0.9998810733100911	0.9898081376755824	0.9459382008686267
G077.fsa	0.9457037848578888	0.9899786766096188	1.0	0.9892662081176302	0.9571956771114013	0.9887666806016804	0.9882942390380948	0.9602689210222098	0.9461960353670706	0.9460308880017534	0.9899769164719802	0.9898605034976669	0.9458557446387724	0.9885703491683889	0.9886758933248971	0.9881975378598556	0.9899325495950517	0.8538669748797489	0.9464826206440025	0.9889774502226047	0.9457816814608007	0.9887799141190607	0.9881872493238193	0.9881892850486429	0.9912599959255088	0.9881009657189406	0.9471282510239656	0.987929844537127	0.9880878332678878	0.9995462113645142	0.9899535984272744	0.9460042950491312	0.9311209745440467	0.9458532792426152	0.9881198027952477	0.9571681602994322	0.9877191222375296	0.9479718712978943	0.9912057411809387	0.9302519705696467	0.9874848145708512	0.9887253010968147	0.9465034770044529	0.9461009998822109	0.9890508383097002	0.9468072990120385	0.9477704835189468	0.9459974383083289	0.9460991456472068	0.9899634947576715	0.989813578485592	0.9459412623658132
L008.fsa	0.9454014575300065	0.9897855158449875	0.9892662081176302	1.0	0.9567640924063303	0.9887483647565912	0.9987959074495119	0.9602233322034952	0.9464784588688153	0.945780013226137	0.9898808772588852	0.9970535380450638	0.9454250730437431	0.9899620323917846	0.988153372428382	0.9880875118573756	0.9897600863546258	0.8541833888458796	0.9443329874673447	0.9888496918234928	0.9457273196520604	0.9887290315218441	0.9881021395133128	0.9886734543827522	0.9898376344570691	0.9889067777053667	0.9458901109626517	0.9877421433515752	0.9888502658708109	0.9889451110610347	0.9897769049512489	0.9460482740641125	0.9297823643530477	0.9454461943074229	0.9887799392998695	0.956780026289218	0.9894116028715376	0.9466941130244036	0.9897390229917034	0.9298252786130984	0.9894030243008887	0.9880407778255074	0.9452729254251069	0.9453582127038317	0.9887418849837886	0.9452934897739681	0.9471165792353595	0.9455442124258829	0.9452446053400827	0.9897515776302265	0.9967169606071367	0.9460349130468559
H082.fsa	0.9475803065719127	0.957416486594011	0.9571956771114013	0.9567640924063303	1.0	0.9568694981408974	0.9568094385758188	0.9577063376808507	0.9475829726596224	0.9475768556854862	0.9569360297259577	0.9569979538714565	0.9475723478213073	0.9565906169416475	0.9568494511058842	0.9572358483283699	0.9574515803495484	0.8532648439386648	0.9464625408198852	0.9570276953852135	0.9473699898966446	0.956838465118942	0.9572595731963687	0.9568410374774217	0.956367997943459	0.9569559845027159	0.9476240075046616	0.956849963153042	0.9571322574961325	0.9571249351682669	0.9574533686938886	0.9474246630538126	0.9309321463008704	0.9475579232934125	0.9568364255660581	0.9998059158489391	0.956684989917827	0.9495849587153395	0.9564665562607774	0.9306931640102252	0.9566906865581073	0.9568954404654023	0.9473307201021514	0.9475169202631779	0.9568032832634157	0.9474362632575893	0.9501560384815477	0.947328766502975	0.9473386114324548	0.9574570276682143	0.9569944139816189	0.9478262415092051
G067.fsa	0.9455491522378098	0.9887000946215757	0.9887666806016804	0.9887483647565912	0.9568694981408974	1.0	0.9891780911547647	0.9600300304817853	0.9461316129806318	0.9459926300652032	0.989781708413079	0.9894771517614575	0.9457796446614066	0.9901899411683505	0.9977079558056787	0.9883718288645138	0.9887340222890186	0.8588510437942476	0.9453863879133632	0.9958850374392189	0.9456769149427833	0.9999401673068417	0.9884487096074926	0.9930774593420895	0.9880911051199313	0.9898702166780312	0.9463074726560632	0.9879269401789537	0.9899227210886768	0.9887609167904066	0.9887452015725468	0.9460019263063467	0.9307354552741622	0.9457978554983066	0.989948424388954	0.956876857788557	0.9897124419474146	0.947013899232738	0.9881374464702718	0.929896575349839	0.9898696787776149	0.9984114846825415	0.9459295957582085	0.9454488698295405	0.9978576253065323	0.9459687017989133	0.9471245967975067	0.9459300906268172	0.9458363555330287	0.9887753663314097	0.989390573166823	0.94591975860585
G099.fsa	0.9454894521952704	0.9890488338916215	0.9882942390380948	0.9987959074495119	0.9568094385758188	0.9891780911547647	1.0	0.9602342581837335	0.9465638194173086	0.9455600912229258	0.9892656562822482	0.9969286391663246	0.9454346797743205	0.9899965004028606	0.9886310739185172	0.9881621909509118	0.9890782998539225	0.8540350647954191	0.9445380267942886	0.9893265604025312	0.9456799599584502	0.989192542856049	0.9881749530428806	0.9895335522018321	0.9893316196302946	0.989787329712924	0.9457718824416622	0.9880458579241238	0.989708106859411	0.988066764308197	0.9890577477209644	0.9460523758389632	0.9299603767058813	0.9454600071776355	0.9896163573303461	0.9568266561764026	0.9894571758326615	0.9466297427011565	0.9892050577132321	0.9298367731442586	0.990200735198579	0.9885343646776796	0.9452470084921544	0.9453948896912071	0.9891265047232712	0.9452450245686005	0.947008951988602	0.9454983443896334	0.9451737690374549	0.9891239999423008	0.9966062111129839	0.9460015413854356
V074.fsa	0.9464733693880836	0.9603071293151062	0.9602689210222098	0.9602233322034952	0.9577063376808507	0.9600300304817853	0.9602342581837335	1.0	0.9464497663513115	0.9462810071937063	0.9602036666488464	0.9603529413063769	0.9467910360401441	0.9601310338243484	0.9599685545082601	0.9601670827103074	0.9603051877497998	0.8534194793523079	0.9453434365131886	0.9603498441722946	0.9465646647435804	0.9600194935074954	0.9601974170370072	0.959964604115539	0.9596184619196753	0.9602985593697668	0.9459591312130405	0.959783498700115	0.9602686219377102	0.9602421594589285	0.9602914789915651	0.9462516391848111	0.9298798466689696	0.9467989110459746	0.960134328817792	0.9577182947061796	0.9598810822975794	0.9462582161241896	0.9596265740901215	0.9295781122411562	0.9597299427642564	0.9599461581695534	0.9461415541141781	0.9464293956463381	0.9598933928875717	0.9461548861443012	0.9467839415436581	0.9461932960872941	0.9461229757518089	0.9602943517405533	0.9603290539014921	0.9460381689644631
V068.fsa	0.9756552406841935	0.9461785712790498	0.9461960353670706	0.9464784588688153	0.9475829726596224	0.9461316129806318	0.9465638194173086	0.9464497663513115	1.0	0.9756740683306404	0.9463717843677623	0.9464183665600834	0.9756065223364841	0.9462884500383304	0.9460023641212776	0.9460955243605288	0.9461604084103736	0.8534448534783523	0.9676956028283075	0.9460767155469169	0.9749425633709465	0.946122016785027	0.9461392780640938	0.9461035809515386	0.9460304602537551	0.9462100224697158	0.9678107461406049	0.9458375224856994	0.9461465765407666	0.9461944801013532	0.9461415849070287	0.9750892957088757	0.9273285944072275	0.9756469772074583	0.9461274644877578	0.9475805466496949	0.9465178886717316	0.9512496335180454	0.9459901474955212	0.9272553356426996	0.946274361202167	0.9459988601673007	0.9758429328281844	0.9756863810277278	0.9461227365686486	0.9758288970977116	0.9519164532555285	0.9758457345296601	0.9758169222342545	0.9461610473014266	0.946471713126393	0.9680264798996013
G011.fsa	0.9766374239327866	0.9459178991030068	0.9460308880017534	0.945780013226137	0.9475768556854862	0.9459926300652032	0.9455600912229258	0.9462810071937063	0.9756740683306404	1.0	0.9457590237523614	0.9459872749861252	0.977711898162437	0.9455549171012902	0.9459315704789711	0.9461058281494278	0.9459165181577103	0.8531903438693991	0.9677774384663416	0.9459463293614337	0.9776356829556776	0.9459634845326897	0.946110515335136	0.9457260906624737	0.9448853371099779	0.9460792611477756	0.9688219434693931	0.9457254630696313	0.9458907393665303	0.9459985275662783	0.9459066652031921	0.9773282168172152	0.9270249857428066	0.9777920646144584	0.9459339168658343	0.9475967144966465	0.9454242037794149	0.9525744044128022	0.94499032985786	0.9265772072795437	0.9452968957435105	0.9458497513898255	0.9991459145783886	0.9770622100220171	0.9460220152801948	0.9996045031390978	0.9527665187704111	0.9992306065491359	0.9993365841821522	0.9459208699608818	0.9460384385362605	0.9688580638119472
