	V050.fsa	H011.fsa	G073.fsa	G004.fsa	V002.fsa	G016.fsa	L070.fsa	V116.fsa	H130.fsa	V008.fsa	G093.fsa	L117.fsa
V050.fsa	0.0	312580.0	75236.0	71926.0	75557.0	310574.0	68885.0	71643.0	73488.0	317858.0	308549.0	310554.0
H011.fsa	312580.0	0.0	314294.0	317536.0	313857.0	197614.0	316481.0	317533.0	320500.0	151888.0	287511.0	197362.0
G073.fsa	75236.0	314294.0	0.0	77552.0	622.0	314333.0	82442.0	83426.0	77636.0	314443.0	307911.0	313166.0
G004.fsa	71926.0	317536.0	77552.0	0.0	77529.0	315080.0	71948.0	73408.0	37208.0	316451.0	311389.0	317887.0
V002.fsa	75557.0	313857.0	622.0	77529.0	0.0	313635.0	82130.0	83781.0	77048.0	314072.0	307181.0	312423.0
G016.fsa	310574.0	197614.0	314333.0	315080.0	313635.0	0.0	315413.0	319317.0	315590.0	198113.0	279692.0	19688.0
L070.fsa	68885.0	316481.0	82442.0	71948.0	82130.0	315413.0	0.0	75051.0	77747.0	315819.0	310231.0	315240.0
V116.fsa	71643.0	317533.0	83426.0	73408.0	83781.0	319317.0	75051.0	0.0	78356.0	328144.0	316120.0	318181.0
H130.fsa	73488.0	320500.0	77636.0	37208.0	77048.0	315590.0	77747.0	78356.0	0.0	303368.0	296079.0	302003.0
V008.fsa	317858.0	151888.0	314443.0	316451.0	314072.0	198113.0	315819.0	328144.0	303368.0	0.0	286663.0	197324.0
G093.fsa	308549.0	287511.0	307911.0	311389.0	307181.0	279692.0	310231.0	316120.0	296079.0	286663.0	0.0	278417.0
L117.fsa	310554.0	197362.0	313166.0	317887.0	312423.0	19688.0	315240.0	318181.0	302003.0	197324.0	278417.0	0.0
