locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIAOFNNN_00001	CDS	228	dppB_1		COG0601	Dipeptide transport system permease protein DppB
EIAOFNNN_00002	CDS	294				hypothetical protein
EIAOFNNN_00003	CDS	342	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
EIAOFNNN_00004	CDS	474				hypothetical protein
EIAOFNNN_00005	CDS	222				hypothetical protein
EIAOFNNN_00006	CDS	240				hypothetical protein
EIAOFNNN_00007	CDS	309	yhaZ_1		COG4335	putative protein YhaZ
EIAOFNNN_00008	CDS	354	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
EIAOFNNN_00009	CDS	138				hypothetical protein
EIAOFNNN_00010	CDS	180				hypothetical protein
EIAOFNNN_00011	CDS	150				hypothetical protein
EIAOFNNN_00012	CDS	96				hypothetical protein
EIAOFNNN_00013	CDS	291				hypothetical protein
EIAOFNNN_00014	CDS	162				hypothetical protein
EIAOFNNN_00015	CDS	105				hypothetical protein
EIAOFNNN_00016	CDS	183				hypothetical protein
EIAOFNNN_00017	CDS	237	copR			Transcriptional activator protein CopR
EIAOFNNN_00018	CDS	243				hypothetical protein
EIAOFNNN_00019	CDS	174				hypothetical protein
EIAOFNNN_00020	CDS	216				hypothetical protein
EIAOFNNN_00021	CDS	405				hypothetical protein
EIAOFNNN_00022	CDS	111				hypothetical protein
EIAOFNNN_00023	CDS	93				hypothetical protein
EIAOFNNN_00024	CDS	246	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
EIAOFNNN_00025	CDS	423	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
EIAOFNNN_00026	CDS	426				hypothetical protein
EIAOFNNN_00027	CDS	177				hypothetical protein
EIAOFNNN_00028	CDS	303	bmaC_1			Adhesin BmaC autotransporter
EIAOFNNN_00029	CDS	138				hypothetical protein
EIAOFNNN_00030	CDS	129				hypothetical protein
EIAOFNNN_00031	CDS	300				hypothetical protein
EIAOFNNN_00032	CDS	1212	yagA_1			putative protein YagA
EIAOFNNN_00033	CDS	369	ehpR			Phenazine antibiotic resistance protein EhpR
EIAOFNNN_00034	CDS	261				hypothetical protein
EIAOFNNN_00035	CDS	696				hypothetical protein
EIAOFNNN_00036	CDS	960	nudC	3.6.1.22		NADH pyrophosphatase
