	H012.fsa	L019.fsa	G077.fsa	L008.fsa	H082.fsa	G067.fsa	G099.fsa	V074.fsa	V068.fsa	G011.fsa	G028.fsa	V050.fsa	H011.fsa	L104.fsa	G007.fsa	G073.fsa	G008.fsa	V060.fsa	V100.fsa	G004.fsa	H005.fsa	G108.fsa	V002.fsa	V057.fsa	V069.fsa	L074.fsa	G016.fsa	L111.fsa	V030.fsa	L079.fsa	L070.fsa	V010.fsa	H178.fsa	V014.fsa	L102.fsa	G094.fsa	V116.fsa	H031.fsa	G109.fsa	L082.fsa	G051.fsa	H130.fsa	V067.fsa	H127.fsa	V006.fsa	V008.fsa	G093.fsa	V004.fsa	G083.fsa	G088.fsa	V043.fsa	L117.fsa
H012.fsa	0.0	315312.0	316089.0	315530.0	298399.0	318174.0	315643.0	316634.0	156901.0	154218.0	309063.0	313236.0	1919.0	315114.0	323156.0	314607.0	315401.0	421897.0	209288.0	317205.0	119828.0	318074.0	314313.0	334789.0	318777.0	311813.0	202081.0	317863.0	311917.0	318244.0	315608.0	117929.0	394233.0	1979.0	314030.0	298658.0	320996.0	295207.0	319760.0	402825.0	322131.0	322910.0	157071.0	1632.0	315429.0	157053.0	292935.0	153437.0	157150.0	315485.0	313237.0	196751.0
L019.fsa	315312.0	0.0	68794.0	69416.0	266414.0	78317.0	74438.0	253183.0	308535.0	316446.0	72209.0	69041.0	315885.0	71703.0	84393.0	81842.0	650.0	430439.0	321212.0	71961.0	319081.0	78210.0	81676.0	84073.0	76602.0	78711.0	315280.0	88047.0	79028.0	68876.0	611.0	317440.0	397444.0	315849.0	78800.0	266512.0	75080.0	311272.0	76017.0	406140.0	80041.0	77931.0	316427.0	317918.0	77748.0	315687.0	310255.0	316189.0	315967.0	905.0	69603.0	315050.0
G077.fsa	316089.0	68794.0	0.0	74761.0	266164.0	76286.0	78982.0	252232.0	308672.0	314694.0	67576.0	70947.0	314293.0	77692.0	77103.0	79815.0	69212.0	429372.0	326134.0	75438.0	319398.0	76209.0	79789.0	84661.0	59418.0	79711.0	316415.0	82092.0	79784.0	3406.0	69071.0	317559.0	398512.0	314552.0	79793.0	266656.0	83607.0	309971.0	59834.0	409430.0	85290.0	76721.0	316563.0	317109.0	74289.0	314786.0	315024.0	314568.0	316603.0	69000.0	71300.0	317566.0
L008.fsa	315530.0	69416.0	74761.0	0.0	266693.0	75619.0	9003.0	251955.0	303807.0	317380.0	68153.0	21159.0	315299.0	68943.0	80139.0	80083.0	69668.0	429821.0	329303.0	75207.0	315223.0	75756.0	79939.0	81108.0	70343.0	74318.0	312680.0	82291.0	74685.0	77168.0	69547.0	313524.0	402698.0	315460.0	75287.0	266627.0	75203.0	310128.0	71186.0	408542.0	73505.0	81015.0	320678.0	316333.0	75869.0	321048.0	312217.0	316851.0	320593.0	69716.0	23649.0	311205.0
H082.fsa	298399.0	266414.0	266164.0	266693.0	0.0	266819.0	265889.0	259666.0	296039.0	301612.0	265054.0	265646.0	299497.0	268536.0	268096.0	263146.0	266169.0	430804.0	310707.0	268181.0	301923.0	266872.0	262575.0	281232.0	271228.0	263320.0	299600.0	267646.0	265188.0	266846.0	266185.0	301155.0	392169.0	299705.0	264243.0	1420.0	268362.0	296332.0	270282.0	398522.0	268073.0	267510.0	303008.0	300447.0	267785.0	301558.0	292793.0	302422.0	301901.0	265993.0	265462.0	299418.0
G067.fsa	318174.0	78317.0	76286.0	75619.0	266819.0	0.0	73271.0	255069.0	308899.0	315356.0	68446.0	71075.0	315216.0	66304.0	17055.0	78314.0	78094.0	429291.0	322000.0	29467.0	319947.0	458.0	77640.0	53363.0	80097.0	68530.0	315408.0	82875.0	68123.0	76379.0	78009.0	316985.0	395413.0	315320.0	68003.0	267026.0	69449.0	310550.0	79784.0	403751.0	69011.0	11723.0	315597.0	319800.0	15742.0	315409.0	310028.0	315398.0	316098.0	77779.0	71697.0	315295.0
G099.fsa	315643.0	74438.0	78982.0	9003.0	265889.0	73271.0	0.0	251932.0	303040.0	317176.0	72232.0	21586.0	315023.0	68832.0	77373.0	79972.0	74273.0	428960.0	324116.0	72403.0	315489.0	73109.0	79829.0	75324.0	73708.0	68955.0	313664.0	80905.0	69501.0	80621.0	74422.0	313090.0	399928.0	315190.0	70245.0	266030.0	74969.0	310474.0	74786.0	407632.0	68555.0	78090.0	320775.0	316823.0	73770.0	321194.0	308221.0	317244.0	321114.0	73890.0	23861.0	311228.0
V074.fsa	316634.0	253183.0	252232.0	251955.0	259666.0	255069.0	251932.0	0.0	310451.0	315920.0	250119.0	251339.0	312721.0	253489.0	255576.0	255472.0	253287.0	431396.0	321366.0	252922.0	317819.0	254976.0	254771.0	271277.0	255533.0	252060.0	317363.0	255846.0	252284.0	252365.0	253439.0	318019.0	395008.0	312947.0	253756.0	259618.0	256345.0	315097.0	255548.0	401368.0	256111.0	255342.0	316855.0	316854.0	255371.0	317020.0	311094.0	316210.0	316685.0	253424.0	251774.0	314907.0
V068.fsa	156901.0	308535.0	308672.0	303807.0	296039.0	308899.0	303040.0	310451.0	0.0	154860.0	302402.0	304347.0	157307.0	305829.0	310539.0	308852.0	308676.0	411244.0	202061.0	310881.0	161657.0	308855.0	308145.0	324155.0	306745.0	306274.0	200201.0	311271.0	306464.0	308670.0	308933.0	160672.0	387730.0	157091.0	306558.0	296096.0	305938.0	287495.0	306994.0	392341.0	305963.0	310410.0	153871.0	156827.0	308310.0	153881.0	283045.0	153829.0	153999.0	308777.0	304406.0	198111.0
G011.fsa	154218.0	316446.0	314694.0	317380.0	301612.0	315356.0	317176.0	315920.0	154860.0	0.0	314829.0	316198.0	149122.0	319218.0	316649.0	313600.0	316257.0	422665.0	205440.0	316251.0	151077.0	315262.0	313368.0	335372.0	321136.0	311533.0	199458.0	317303.0	313613.0	314818.0	316397.0	152093.0	404743.0	148742.0	312315.0	301886.0	322590.0	287064.0	319899.0	409390.0	320822.0	316546.0	6143.0	155356.0	315096.0	2806.0	285633.0	5548.0	4768.0	316264.0	316069.0	197440.0
