Name	Gene	Start	End	Length	Type	Strand	Contig	Product
L104_fsa_00001		279	389	111	CDS	Forward	C103	hypothetical protein
L104_fsa_00002		105	605	501	CDS	Reverse	C108	hypothetical protein
L104_fsa_00003		700	2154	1455	CDS	Reverse	C18	hypothetical protein
L104_fsa_00004		2199	3227	1029	CDS	Reverse	C18	hypothetical protein
L104_fsa_00005	sugA_1	3224	4099	876	CDS	Reverse	C18	Trehalose transport system permease protein SugA
L104_fsa_00006		4096	4293	198	CDS	Reverse	C18	hypothetical protein
L104_fsa_00007	fucU_1	4306	4761	456	CDS	Reverse	C18	L-fucose mutarotase
L104_fsa_00008	tal_1	4919	5173	255	CDS	Reverse	C18	Transaldolase
L104_fsa_00009	lsrD_1	5335	6393	1059	CDS	Reverse	C18	Autoinducer 2 import system permease protein LsrD
L104_fsa_00010	rbsC_1	6407	7396	990	CDS	Reverse	C18	Ribose import permease protein RbsC
L104_fsa_00011	rbsA_1	7389	8873	1485	CDS	Reverse	C18	Ribose import ATP-binding protein RbsA
L104_fsa_00012	lsrB_1	8956	9954	999	CDS	Reverse	C18	Autoinducer 2-binding protein LsrB
L104_fsa_00013		10033	10878	846	CDS	Reverse	C18	L-ribulose 3-epimerase
L104_fsa_00014	dxs_1	11204	13669	2466	CDS	Forward	C18	1-deoxy-D-xylulose-5-phosphate synthase
L104_fsa_00015	dlaT	13699	13935	237	CDS	Forward	C18	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
L104_fsa_00016		14058	14726	669	CDS	Forward	C18	putative protein
L104_fsa_00017	scrK_1	14731	15687	957	CDS	Forward	C18	Fructokinase
L104_fsa_00018	deoR_1	15869	16852	984	CDS	Forward	C18	Deoxyribonucleoside regulator
L104_fsa_00019	msrP_1	17506	18492	987	CDS	Reverse	C18	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
L104_fsa_00020		18498	19520	1023	CDS	Reverse	C18	Nitrilase
L104_fsa_00021	yabJ_1	19584	19967	384	CDS	Reverse	C18	2-iminobutanoate/2-iminopropanoate deaminase
L104_fsa_00022	hdfR_1	20147	21067	921	CDS	Forward	C18	HTH-type transcriptional regulator HdfR
L104_fsa_00023	csd_1	21230	22435	1206	CDS	Forward	C18	putative cysteine desulfurase
L104_fsa_00024		23615	24676	1062	CDS	Forward	C18	hypothetical protein
L104_fsa_00025	safD	24673	26091	1419	CDS	Forward	C18	Sulfoacetaldehyde dehydrogenase
L104_fsa_00026	fumC_1	26137	27189	1053	CDS	Forward	C18	Fumarate hydratase class II
L104_fsa_00027	thrB_1	27173	27979	807	CDS	Forward	C18	Homoserine kinase
L104_fsa_00028	lrp_1	27976	28467	492	CDS	Forward	C18	Leucine-responsive regulatory protein
L104_fsa_00029		29579	30520	942	CDS	Forward	C18	hypothetical protein
L104_fsa_00030	artM	30517	31320	804	CDS	Forward	C18	Arginine transport ATP-binding protein ArtM
L104_fsa_00031		31398	31865	468	CDS	Forward	C18	hypothetical protein
L104_fsa_00032	pcpR_1	31930	32883	954	CDS	Reverse	C18	PCP degradation transcriptional activation protein
L104_fsa_00033	mltF_1	33049	33888	840	CDS	Forward	C18	Membrane-bound lytic murein transglycosylase F
L104_fsa_00034	egtE	34014	35201	1188	CDS	Forward	C18	hercynylcysteine sulfoxide lyase
L104_fsa_00035	dnaE2_1	35169	36038	870	CDS	Reverse	C18	Error-prone DNA polymerase
L104_fsa_00036	imuB_1	36035	37453	1419	CDS	Reverse	C18	Protein ImuB
L104_fsa_00037		38450	38704	255	CDS	Forward	C18	hypothetical protein
L104_fsa_00038		38874	39317	444	CDS	Forward	C18	hypothetical protein
L104_fsa_00039		39566	40087	522	CDS	Forward	C18	hypothetical protein
L104_fsa_00040		40124	40528	405	CDS	Forward	C18	hypothetical protein
L104_fsa_00041	aes_1	41627	42541	915	CDS	Reverse	C18	Acetyl esterase
L104_fsa_00042		43499	44314	816	CDS	Reverse	C18	hypothetical protein
L104_fsa_00043	fabG_1	44330	45061	732	CDS	Reverse	C18	3-oxoacyl-[acyl-carrier-protein] reductase FabG
L104_fsa_00044		45063	46277	1215	CDS	Reverse	C18	putative transporter
L104_fsa_00045		46383	47072	690	CDS	Forward	C18	hypothetical protein
L104_fsa_00046		47145	47972	828	CDS	Forward	C18	hypothetical protein
L104_fsa_00047	acsA_1	48159	50099	1941	CDS	Reverse	C18	Acetyl-coenzyme A synthetase
L104_fsa_00048	pntB_1	50251	51690	1440	CDS	Reverse	C18	NAD(P) transhydrogenase subunit beta
L104_fsa_00049	pntA	51712	53286	1575	CDS	Reverse	C18	NAD(P) transhydrogenase subunit alpha
L104_fsa_00050	hpsN	53450	54760	1311	CDS	Reverse	C18	Sulfopropanediol 3-dehydrogenase
L104_fsa_00051	exuR_1	54851	55831	981	CDS	Forward	C18	putative HTH-type transcriptional repressor ExuR
L104_fsa_00052		56681	57382	702	CDS	Reverse	C18	hypothetical protein
L104_fsa_00053	paoD_1	57795	58793	999	CDS	Reverse	C18	Molybdenum cofactor insertion chaperone PaoD
L104_fsa_00054	gno_1	59064	59831	768	CDS	Reverse	C18	Gluconate 5-dehydrogenase
L104_fsa_00055		59839	60789	951	CDS	Reverse	C18	hypothetical protein
L104_fsa_00056		60908	61579	672	CDS	Forward	C18	hypothetical protein
L104_fsa_00057	moaA_1	62485	63471	987	CDS	Forward	C18	GTP 3'%2C8-cyclase
L104_fsa_00058	glmU_1	63489	64160	672	CDS	Forward	C18	Bifunctional protein GlmU
L104_fsa_00059	hdfR_2	64378	65358	981	CDS	Forward	C18	HTH-type transcriptional regulator HdfR
L104_fsa_00060	mcp4_1	65362	67185	1824	CDS	Reverse	C18	Methyl-accepting chemotaxis protein 4
L104_fsa_00061	livF_1	67264	67995	732	CDS	Reverse	C18	High-affinity branched-chain amino acid transport ATP-binding protein LivF
L104_fsa_00062	lptB_1	67985	68716	732	CDS	Reverse	C18	Lipopolysaccharide export system ATP-binding protein LptB
L104_fsa_00063		68709	69701	993	CDS	Reverse	C18	hypothetical protein
L104_fsa_00064	livH_1	69698	70570	873	CDS	Reverse	C18	High-affinity branched-chain amino acid transport system permease protein LivH
L104_fsa_00065	livK_1	70598	71857	1260	CDS	Reverse	C18	Leucine-specific-binding protein
L104_fsa_00066	hcrA	71876	74254	2379	CDS	Reverse	C18	4-hydroxybenzoyl-CoA reductase subunit alpha
L104_fsa_00067	ndhS	74247	74729	483	CDS	Reverse	C18	Nicotinate dehydrogenase small FeS subunit
L104_fsa_00068	kdhA	74753	75619	867	CDS	Reverse	C18	6-hydroxypseudooxynicotine dehydrogenase complex subunit alpha
L104_fsa_00069	aidA	75635	76567	933	CDS	Reverse	C18	Quorum-quenching protein AidA
L104_fsa_00070		76622	77095	474	CDS	Reverse	C18	hypothetical protein
L104_fsa_00071		77290	77409	120	CDS	Forward	C18	hypothetical protein
L104_fsa_00072		77355	77663	309	CDS	Reverse	C18	hypothetical protein
L104_fsa_00073		78046	78420	375	CDS	Reverse	C18	hypothetical protein
L104_fsa_00074		78447	79106	660	CDS	Reverse	C18	hypothetical protein
L104_fsa_00075		79128	79352	225	CDS	Reverse	C18	hypothetical protein
L104_fsa_00076	rhaS_1	79547	80515	969	CDS	Forward	C18	HTH-type transcriptional activator RhaS
L104_fsa_00077		80680	81108	429	CDS	Reverse	C18	hypothetical protein
L104_fsa_00078		81416	83674	2259	CDS	Reverse	C18	hypothetical protein
L104_fsa_00079	ftsH_1	83676	84800	1125	CDS	Reverse	C18	ATP-dependent zinc metalloprotease FtsH
L104_fsa_00080		84917	85141	225	CDS	Forward	C18	hypothetical protein
L104_fsa_00081		85193	85453	261	CDS	Forward	C18	hypothetical protein
L104_fsa_00082		85417	85545	129	CDS	Reverse	C18	hypothetical protein
L104_fsa_00083		85530	86669	1140	CDS	Reverse	C18	hypothetical protein
L104_fsa_00084	xerC_1	86868	88010	1143	CDS	Forward	C18	Tyrosine recombinase XerC
L104_fsa_00085		88062	88976	915	CDS	Reverse	C18	hypothetical protein
L104_fsa_00086		89045	90151	1107	CDS	Reverse	C18	hypothetical protein
L104_fsa_00087		90333	91934	1602	CDS	Forward	C18	hypothetical protein
L104_fsa_00088		92085	94955	2871	CDS	Reverse	C18	hypothetical protein
L104_fsa_00089		95079	96296	1218	CDS	Reverse	C18	hypothetical protein
L104_fsa_00090	noc_1	96471	97430	960	CDS	Reverse	C18	Nucleoid occlusion protein
L104_fsa_00091		97554	98750	1197	CDS	Reverse	C18	hypothetical protein
L104_fsa_00092		99119	100084	966	CDS	Forward	C18	Type IV secretion system protein VirB11
L104_fsa_00093		100074	100466	393	CDS	Forward	C18	hypothetical protein
L104_fsa_00094		100459	100758	300	CDS	Forward	C18	hypothetical protein
L104_fsa_00095	virB4	100769	103204	2436	CDS	Forward	C18	Type IV secretion system protein virB4
L104_fsa_00096		103197	104006	810	CDS	Forward	C18	hypothetical protein
L104_fsa_00097		104003	104203	201	CDS	Forward	C18	hypothetical protein
L104_fsa_00098		104197	105378	1182	CDS	Forward	C18	hypothetical protein
L104_fsa_00099		105400	106062	663	CDS	Forward	C18	hypothetical protein
L104_fsa_00100		106078	106908	831	CDS	Forward	C18	hypothetical protein
L104_fsa_00101		106912	107358	447	CDS	Forward	C18	hypothetical protein
L104_fsa_00102		107374	108672	1299	CDS	Forward	C18	hypothetical protein
L104_fsa_00103	traM	108874	109173	300	CDS	Forward	C18	Transcriptional repressor TraM
L104_fsa_00104	traR	109174	109893	720	CDS	Reverse	C18	Transcriptional activator protein TraR
L104_fsa_00105		110226	111785	1560	CDS	Forward	C18	hypothetical protein
L104_fsa_00106		111775	112770	996	CDS	Forward	C18	hypothetical protein
L104_fsa_00107		112913	113092	180	CDS	Forward	C18	hypothetical protein
L104_fsa_00108		113089	113706	618	CDS	Forward	C18	hypothetical protein
L104_fsa_00109		113730	114347	618	CDS	Reverse	C18	hypothetical protein
L104_fsa_00110		114363	115529	1167	CDS	Reverse	C18	hypothetical protein
L104_fsa_00111		115519	116085	567	CDS	Reverse	C18	hypothetical protein
L104_fsa_00112	recD2_1	116082	119675	3594	CDS	Reverse	C18	ATP-dependent RecD-like DNA helicase
L104_fsa_00113		119907	120200	294	CDS	Forward	C18	hypothetical protein
L104_fsa_00114		120205	120417	213	CDS	Forward	C18	hypothetical protein
L104_fsa_00115		120407	122359	1953	CDS	Forward	C18	hypothetical protein
L104_fsa_00116		122378	122575	198	CDS	Forward	C18	hypothetical protein
L104_fsa_00117		122541	123092	552	CDS	Forward	C18	hypothetical protein
L104_fsa_00118		123089	123529	441	CDS	Forward	C18	hypothetical protein
L104_fsa_00119		123562	123762	201	CDS	Reverse	C18	hypothetical protein
L104_fsa_00120		123993	124283	291	CDS	Reverse	C18	hypothetical protein
L104_fsa_00121		124264	124728	465	CDS	Reverse	C18	hypothetical protein
L104_fsa_00122		125060	125230	171	CDS	Reverse	C18	hypothetical protein
L104_fsa_00123		125546	125857	312	CDS	Reverse	C18	hypothetical protein
L104_fsa_00124		126343	126516	174	CDS	Forward	C18	hypothetical protein
L104_fsa_00125	traC_1	126540	127466	927	CDS	Reverse	C18	DNA primase TraC
L104_fsa_00126		127755	128339	585	CDS	Reverse	C18	hypothetical protein
L104_fsa_00127		128657	129109	453	CDS	Reverse	C18	hypothetical protein
L104_fsa_00128		129114	129455	342	CDS	Reverse	C18	hypothetical protein
L104_fsa_00129		129452	130348	897	CDS	Reverse	C18	hypothetical protein
L104_fsa_00130		130440	132188	1749	CDS	Reverse	C18	hypothetical protein
L104_fsa_00131		132529	132846	318	CDS	Reverse	C18	hypothetical protein
L104_fsa_00132		133164	133406	243	CDS	Forward	C18	hypothetical protein
L104_fsa_00133		133431	138521	5091	CDS	Reverse	C18	hypothetical protein
L104_fsa_00134		138612	139214	603	CDS	Reverse	C18	hypothetical protein
L104_fsa_00135		139331	140299	969	CDS	Reverse	C18	hypothetical protein
L104_fsa_00136		140490	140666	177	CDS	Reverse	C18	hypothetical protein
L104_fsa_00137		141043	142521	1479	CDS	Forward	C18	hypothetical protein
L104_fsa_00138		142999	143808	810	CDS	Forward	C18	hypothetical protein
L104_fsa_00139		143817	144305	489	CDS	Reverse	C18	hypothetical protein
L104_fsa_00140		144573	145709	1137	CDS	Forward	C18	hypothetical protein
L104_fsa_00141		145785	146786	1002	CDS	Reverse	C18	IS30 family transposase ISRle2
L104_fsa_00142	ugpC_1	146956	147810	855	CDS	Reverse	C18	sn-glycerol-3-phosphate import ATP-binding protein UgpC
L104_fsa_00143		737	1759	1023	CDS	Reverse	C34	hypothetical protein
L104_fsa_00144		1772	3190	1419	CDS	Reverse	C34	hypothetical protein
L104_fsa_00145		3594	3848	255	CDS	Reverse	C34	hypothetical protein
L104_fsa_00146		4378	4617	240	CDS	Reverse	C34	hypothetical protein
L104_fsa_00147		4678	4839	162	CDS	Reverse	C34	hypothetical protein
L104_fsa_00148		5324	6484	1161	CDS	Forward	C34	hypothetical protein
L104_fsa_00149	noc_2	6481	7506	1026	CDS	Forward	C34	Nucleoid occlusion protein
L104_fsa_00150		7662	8876	1215	CDS	Forward	C34	hypothetical protein
L104_fsa_00151		9127	10044	918	CDS	Reverse	C34	hypothetical protein
L104_fsa_00152		10034	10870	837	CDS	Reverse	C34	hypothetical protein
L104_fsa_00153		11061	11582	522	CDS	Forward	C34	hypothetical protein
L104_fsa_00154	noc_3	12032	14164	2133	CDS	Forward	C34	Nucleoid occlusion protein
L104_fsa_00155		14268	14774	507	CDS	Forward	C34	hypothetical protein
L104_fsa_00156		14720	14923	204	CDS	Forward	C34	hypothetical protein
L104_fsa_00157		14999	16189	1191	CDS	Forward	C34	hypothetical protein
L104_fsa_00158		16288	16542	255	CDS	Forward	C34	hypothetical protein
L104_fsa_00159		16672	21063	4392	CDS	Forward	C34	hypothetical protein
L104_fsa_00160		21076	22125	1050	CDS	Forward	C34	hypothetical protein
L104_fsa_00161		22505	23446	942	CDS	Forward	C34	hypothetical protein
L104_fsa_00162		23519	23779	261	CDS	Forward	C34	hypothetical protein
L104_fsa_00163		23769	24188	420	CDS	Forward	C34	hypothetical protein
L104_fsa_00164		24649	24972	324	CDS	Forward	C34	hypothetical protein
L104_fsa_00165		25029	25361	333	CDS	Forward	C34	hypothetical protein
L104_fsa_00166	hupA	25424	25702	279	CDS	Reverse	C34	DNA-binding protein HU-alpha
L104_fsa_00167		26117	26281	165	CDS	Forward	C34	hypothetical protein
L104_fsa_00168		27266	27751	486	CDS	Forward	C34	hypothetical protein
L104_fsa_00169		28850	29602	753	CDS	Reverse	C34	IS6 family transposase ISRle6
L104_fsa_00170		29553	29705	153	CDS	Reverse	C34	hypothetical protein
L104_fsa_00171		30170	31810	1641	CDS	Forward	C34	hypothetical protein
L104_fsa_00172		31909	33534	1626	CDS	Forward	C34	hypothetical protein
L104_fsa_00173		33640	34320	681	CDS	Reverse	C34	hypothetical protein
L104_fsa_00174		726	2378	1653	CDS	Forward	C37	hypothetical protein
L104_fsa_00175		3029	3946	918	CDS	Forward	C37	hypothetical protein
L104_fsa_00176		4126	4395	270	CDS	Forward	C37	hypothetical protein
L104_fsa_00177		4573	4788	216	CDS	Reverse	C37	hypothetical protein
L104_fsa_00178		4785	5069	285	CDS	Reverse	C37	hypothetical protein
L104_fsa_00179		5942	6865	924	CDS	Reverse	C37	hypothetical protein
L104_fsa_00180		7012	8256	1245	CDS	Reverse	C37	hypothetical protein
L104_fsa_00181	noc_4	8412	9407	996	CDS	Reverse	C37	Nucleoid occlusion protein
L104_fsa_00182		9492	10682	1191	CDS	Reverse	C37	hypothetical protein
L104_fsa_00183	lasI	11070	11684	615	CDS	Forward	C37	Acyl-homoserine-lactone synthase
L104_fsa_00184		11648	11878	231	CDS	Forward	C37	hypothetical protein
L104_fsa_00185		12232	12852	621	CDS	Reverse	C37	hypothetical protein
L104_fsa_00186		12869	14032	1164	CDS	Reverse	C37	hypothetical protein
L104_fsa_00187		14022	14585	564	CDS	Reverse	C37	hypothetical protein
L104_fsa_00188	recD2_2	14582	17908	3327	CDS	Reverse	C37	ATP-dependent RecD-like DNA helicase
L104_fsa_00189		18164	18457	294	CDS	Forward	C37	hypothetical protein
L104_fsa_00190		18462	18677	216	CDS	Forward	C37	hypothetical protein
L104_fsa_00191		63	668	606	CDS	Forward	C39	IS6 family transposase ISRH1
L104_fsa_00192		700	1611	912	CDS	Reverse	C39	IS66 family transposase ISRel24
L104_fsa_00193		1627	1857	231	CDS	Reverse	C39	hypothetical protein
L104_fsa_00194		1947	2297	351	CDS	Reverse	C39	hypothetical protein
L104_fsa_00195		2903	3109	207	CDS	Forward	C39	IS5 family transposase ISRm33
L104_fsa_00196		3301	4302	1002	CDS	Reverse	C39	Type IV secretion system protein VirB11
L104_fsa_00197		4299	5516	1218	CDS	Reverse	C39	hypothetical protein
L104_fsa_00198	virB9	5683	6465	783	CDS	Reverse	C39	Type IV secretion system protein virB9
L104_fsa_00199	ptlE	6493	7167	675	CDS	Reverse	C39	Type IV secretion system protein PtlE
L104_fsa_00200		7414	8601	1188	CDS	Reverse	C39	hypothetical protein
L104_fsa_00201		8606	9409	804	CDS	Reverse	C39	hypothetical protein
L104_fsa_00202	ptlC	9540	11834	2295	CDS	Reverse	C39	Type IV secretion system protein PtlC
L104_fsa_00203		11893	12171	279	CDS	Reverse	C39	hypothetical protein
L104_fsa_00204		12253	12564	312	CDS	Reverse	C39	hypothetical protein
L104_fsa_00205		12581	12994	414	CDS	Reverse	C39	hypothetical protein
L104_fsa_00206		13769	14074	306	CDS	Reverse	C39	IS6 family transposase ISBj7
L104_fsa_00207		598	1029	432	CDS	Forward	C41	hypothetical protein
L104_fsa_00208		992	1894	903	CDS	Forward	C41	hypothetical protein
L104_fsa_00209		1891	2649	759	CDS	Forward	C41	IS21 family transposase ISPve1
L104_fsa_00210		2896	3147	252	CDS	Forward	C41	hypothetical protein
L104_fsa_00211		3457	4632	1176	CDS	Forward	C41	hypothetical protein
L104_fsa_00212		4622	5836	1215	CDS	Forward	C41	hypothetical protein
L104_fsa_00213	xerC_2	7197	7982	786	CDS	Reverse	C41	Tyrosine recombinase XerC
L104_fsa_00214	xerC_3	7979	8893	915	CDS	Reverse	C41	Tyrosine recombinase XerC
L104_fsa_00215	xerC_4	8887	9687	801	CDS	Reverse	C41	Tyrosine recombinase XerC
L104_fsa_00216		9959	10366	408	CDS	Reverse	C41	IS630 family transposase ISGdi4
L104_fsa_00217	virD4_1	17	1510	1494	CDS	Forward	C47	Protein VirD4
L104_fsa_00218		1366	2307	942	CDS	Reverse	C47	hypothetical protein
L104_fsa_00219	virA	3169	4023	855	CDS	Forward	C47	Wide host range VirA protein
L104_fsa_00220	ompR_1	4217	4939	723	CDS	Forward	C47	Transcriptional regulatory protein OmpR
L104_fsa_00221		4908	5882	975	CDS	Forward	C47	hypothetical protein
L104_fsa_00222		6170	6451	282	CDS	Reverse	C47	hypothetical protein
L104_fsa_00223		79	381	303	CDS	Forward	C48	hypothetical protein
L104_fsa_00224		908	1228	321	CDS	Reverse	C48	hypothetical protein
L104_fsa_00225		1436	1627	192	CDS	Forward	C48	hypothetical protein
L104_fsa_00226		2568	2771	204	CDS	Forward	C48	hypothetical protein
L104_fsa_00227		2759	4300	1542	CDS	Reverse	C48	IS66 family transposase ISRle3
L104_fsa_00228		4426	4770	345	CDS	Reverse	C48	hypothetical protein
L104_fsa_00229		183	1508	1326	CDS	Reverse	C49	hypothetical protein
L104_fsa_00230	virC1_1	2252	2947	696	CDS	Forward	C49	Protein virC1
L104_fsa_00231	virC2	2949	3542	594	CDS	Forward	C49	Protein virC2
L104_fsa_00232		4309	4881	573	CDS	Reverse	C49	IS256 family transposase ISSpwi2
L104_fsa_00233		962	1216	255	CDS	Reverse	C50	hypothetical protein
L104_fsa_00234		1443	1724	282	CDS	Reverse	C50	hypothetical protein
L104_fsa_00235		2657	3217	561	CDS	Reverse	C50	hypothetical protein
L104_fsa_00236		3838	4455	618	CDS	Forward	C50	IS6 family transposase ISRH1
L104_fsa_00237	virC1_2	4474	4815	342	CDS	Reverse	C50	Protein virC1
L104_fsa_00238		202	468	267	CDS	Reverse	C51	IS3 family transposase ISRle4
L104_fsa_00239		817	3291	2475	CDS	Reverse	C51	hypothetical protein
L104_fsa_00240		3530	3919	390	CDS	Forward	C51	IS5 family transposase ISAli9
L104_fsa_00241		3994	4314	321	CDS	Reverse	C51	hypothetical protein
L104_fsa_00242		4360	4503	144	CDS	Reverse	C51	hypothetical protein
L104_fsa_00243		437	583	147	CDS	Forward	C54	hypothetical protein
L104_fsa_00244		641	1513	873	CDS	Forward	C54	IS5 family transposase ISRm33
L104_fsa_00245	xerC_5	1378	2574	1197	CDS	Reverse	C54	Tyrosine recombinase XerC
L104_fsa_00246	ctrA_1	3045	3374	330	CDS	Forward	C54	Cell cycle response regulator CtrA
L104_fsa_00247		3406	4110	705	CDS	Reverse	C54	IS6 family transposase ISRH1
L104_fsa_00248		189	491	303	CDS	Forward	C55	hypothetical protein
L104_fsa_00249		689	1723	1035	CDS	Reverse	C55	IS110 family transposase ISMno14
L104_fsa_00250		1927	2505	579	CDS	Forward	C55	IS110 family transposase ISRsp4
L104_fsa_00251		2526	2969	444	CDS	Forward	C55	IS110 family transposase ISMlo1
L104_fsa_00252		3409	3816	408	CDS	Reverse	C55	IS630 family transposase ISGdi4
L104_fsa_00253		379	489	111	CDS	Forward	C56	hypothetical protein
L104_fsa_00254		711	1001	291	CDS	Reverse	C56	hypothetical protein
L104_fsa_00255		1618	2508	891	CDS	Forward	C56	hypothetical protein
L104_fsa_00256		1591	2082	492	CDS	Reverse	C60	IS5 family transposase ISRm33
L104_fsa_00257		2202	2582	381	CDS	Reverse	C60	hypothetical protein
L104_fsa_00258		132	305	174	CDS	Forward	C61	IS6 family transposase ISRle7
L104_fsa_00259		371	928	558	CDS	Reverse	C61	ISNCY family transposase ISBj12
L104_fsa_00260		939	1388	450	CDS	Reverse	C61	IS630 family transposase ISGdi4
L104_fsa_00261		1675	1851	177	CDS	Reverse	C61	hypothetical protein
L104_fsa_00262		1880	2293	414	CDS	Reverse	C61	hypothetical protein
L104_fsa_00263		2437	2835	399	CDS	Reverse	C61	IS3 family transposase ISRle4
L104_fsa_00264		539	745	207	CDS	Forward	C62	IS5 family transposase ISRm33
L104_fsa_00265		2065	2262	198	CDS	Forward	C62	hypothetical protein
L104_fsa_00266		2368	2679	312	CDS	Forward	C62	IS3 family transposase ISKpn11
L104_fsa_00267		53	529	477	CDS	Forward	C63	IS3 family transposase ISKpn11
L104_fsa_00268		760	1134	375	CDS	Reverse	C63	hypothetical protein
L104_fsa_00269		1131	1397	267	CDS	Reverse	C63	hypothetical protein
L104_fsa_00270		1936	2472	537	CDS	Forward	C63	IS6 family transposase ISRle7
L104_fsa_00271		2538	2648	111	CDS	Reverse	C63	hypothetical protein
L104_fsa_00272		50	835	786	CDS	Forward	C64	hypothetical protein
L104_fsa_00273		942	1187	246	CDS	Reverse	C64	hypothetical protein
L104_fsa_00274		1316	1534	219	CDS	Forward	C64	hypothetical protein
L104_fsa_00275	hemA_1	1595	2809	1215	CDS	Reverse	C64	5-aminolevulinate synthase
L104_fsa_00276		1661	2365	705	CDS	Reverse	C70	IS6 family transposase ISRH1
L104_fsa_00277		62	892	831	CDS	Reverse	C73	IS3 family transposase ISKpn11
L104_fsa_00278		889	1200	312	CDS	Reverse	C73	IS3 family transposase ISKpn11
L104_fsa_00279		360	470	111	CDS	Forward	C77	hypothetical protein
L104_fsa_00280		583	1233	651	CDS	Reverse	C77	hypothetical protein
L104_fsa_00281		552	689	138	CDS	Forward	C78	hypothetical protein
L104_fsa_00282		128	541	414	CDS	Forward	C79	IS6 family transposase ISRle7
