Name	Gene	Start	End	Length	Type	Strand	Contig	Product
H178_fsa_00001	kstD	373	1905	1533	CDS	Reverse	C21	3-oxosteroid 1-dehydrogenase
H178_fsa_00002		1965	2696	732	CDS	Reverse	C21	hypothetical protein
H178_fsa_00003	artQ	2780	3436	657	CDS	Reverse	C21	Arginine transport system permease protein ArtQ
H178_fsa_00004	yecS_1	3441	4106	666	CDS	Reverse	C21	L-cystine transport system permease protein YecS
H178_fsa_00005	bacC_1	4284	5045	762	CDS	Forward	C21	Dihydroanticapsin 7-dehydrogenase
H178_fsa_00006		5117	6019	903	CDS	Forward	C21	hypothetical protein
H178_fsa_00007	glnQ_1	6074	6874	801	CDS	Forward	C21	Glutamine transport ATP-binding protein GlnQ
H178_fsa_00008	yrdA_1	7258	7806	549	CDS	Reverse	C21	Protein YrdA
H178_fsa_00009	pcaH_1	7803	8471	669	CDS	Reverse	C21	Protocatechuate 3%2C4-dioxygenase beta chain
H178_fsa_00010	pcaG_1	8487	9095	609	CDS	Reverse	C21	Protocatechuate 3%2C4-dioxygenase alpha chain
H178_fsa_00011	pcaR_1	9265	9963	699	CDS	Forward	C21	Pca regulon regulatory protein
H178_fsa_00012	kce_1	9966	10841	876	CDS	Reverse	C21	3-keto-5-aminohexanoate cleavage enzyme
H178_fsa_00013	bioA	10843	12183	1341	CDS	Reverse	C21	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
H178_fsa_00014	uctC_1	12288	13451	1164	CDS	Forward	C21	Acetyl-CoA:oxalate CoA-transferase
H178_fsa_00015		13448	14326	879	CDS	Forward	C21	Lactonase drp35
H178_fsa_00016	dapAL_1	14341	15240	900	CDS	Forward	C21	putative DapA-like lyase
H178_fsa_00017		15240	15533	294	CDS	Forward	C21	hypothetical protein
H178_fsa_00018	hcnB	15530	16951	1422	CDS	Forward	C21	Hydrogen cyanide synthase subunit HcnB
H178_fsa_00019	thiO	16948	18048	1101	CDS	Forward	C21	Glycine oxidase
H178_fsa_00020	linC_1	18045	18830	786	CDS	Forward	C21	2%2C5-dichloro-2%2C5-cyclohexadiene-1%2C4-diol dehydrogenase
H178_fsa_00021		18862	18966	105	CDS	Forward	C21	hypothetical protein
H178_fsa_00022	acs	19036	19587	552	CDS	Forward	C21	Acetyl-coenzyme A synthetase
H178_fsa_00023		19676	20956	1281	CDS	Reverse	C21	hypothetical protein
H178_fsa_00024	ald_1	21373	22800	1428	CDS	Forward	C21	3-succinoylsemialdehyde-pyridine dehydrogenase
H178_fsa_00025	dmlR_1	22794	23723	930	CDS	Reverse	C21	HTH-type transcriptional regulator DmlR
H178_fsa_00026	argE_1	24028	25152	1125	CDS	Forward	C21	Acetylornithine deacetylase
H178_fsa_00027	ghrA_1	25162	26085	924	CDS	Forward	C21	Glyoxylate/hydroxypyruvate reductase A
H178_fsa_00028		26114	26467	354	CDS	Forward	C21	hypothetical protein
H178_fsa_00029	lrp_1	26800	27243	444	CDS	Reverse	C21	Leucine-responsive regulatory protein
H178_fsa_00030	thrB_1	27262	28047	786	CDS	Reverse	C21	Homoserine kinase
H178_fsa_00031	aspA	28078	29520	1443	CDS	Reverse	C21	Aspartate ammonia-lyase
H178_fsa_00032	dapA_1	29489	30367	879	CDS	Reverse	C21	4-hydroxy-tetrahydrodipicolinate synthase
H178_fsa_00033	safD_1	30419	31834	1416	CDS	Reverse	C21	Sulfoacetaldehyde dehydrogenase
H178_fsa_00034		31834	32895	1062	CDS	Reverse	C21	hypothetical protein
H178_fsa_00035	gabD_1	33397	34905	1509	CDS	Forward	C21	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
H178_fsa_00036		35023	35376	354	CDS	Forward	C21	hypothetical protein
H178_fsa_00037		35600	36448	849	CDS	Forward	C21	hypothetical protein
H178_fsa_00038	tdcB	36544	37515	972	CDS	Reverse	C21	L-threonine dehydratase catabolic TdcB
H178_fsa_00039	arcB_1	37521	38513	993	CDS	Reverse	C21	Delta(1)-pyrroline-2-carboxylate reductase
H178_fsa_00040	dehH2	39072	39740	669	CDS	Forward	C21	Haloacetate dehalogenase H-2
H178_fsa_00041	thrB_2	40053	41150	1098	CDS	Forward	C21	Homoserine kinase
H178_fsa_00042	dgdA	41245	42573	1329	CDS	Forward	C21	2%2C2-dialkylglycine decarboxylase
H178_fsa_00043	lrp_2	42636	43112	477	CDS	Forward	C21	Leucine-responsive regulatory protein
H178_fsa_00044	puuB_1	43176	44450	1275	CDS	Forward	C21	Gamma-glutamylputrescine oxidoreductase
H178_fsa_00045	abo_1	44484	45806	1323	CDS	Reverse	C21	4-methylaminobutanoate oxidase (formaldehyde-forming)
H178_fsa_00046	yabJ_1	45826	46251	426	CDS	Reverse	C21	2-iminobutanoate/2-iminopropanoate deaminase
H178_fsa_00047	dthadh	46251	47429	1179	CDS	Reverse	C21	D-threo-3-hydroxyaspartate dehydratase
H178_fsa_00048		47508	48236	729	CDS	Reverse	C21	hypothetical protein
H178_fsa_00049	pdxA2_1	48248	49222	975	CDS	Reverse	C21	D-threonate 4-phosphate dehydrogenase
H178_fsa_00050	dtnK	49219	50430	1212	CDS	Reverse	C21	D-threonate kinase
