Name	Gene	Start	End	Length	Type	Strand	Contig	Product
G007_fsa_00001	csgA	248	439	192	CDS	Reverse	C104	Sigma-G-dependent sporulation-specific SASP protein
G007_fsa_00002		142	327	186	CDS	Reverse	C105	hypothetical protein
G007_fsa_00003		1034	1663	630	CDS	Reverse	C11	hypothetical protein
G007_fsa_00004	dmlR_1	2058	2957	900	CDS	Forward	C11	HTH-type transcriptional regulator DmlR
G007_fsa_00005		3238	3753	516	CDS	Reverse	C11	hypothetical protein
G007_fsa_00006	gbsA	3995	5485	1491	CDS	Reverse	C11	Betaine aldehyde dehydrogenase
G007_fsa_00007		5562	6641	1080	CDS	Reverse	C11	hypothetical protein
G007_fsa_00008	xylB_1	6694	7812	1119	CDS	Reverse	C11	Aryl-alcohol dehydrogenase
G007_fsa_00009		8074	8928	855	CDS	Reverse	C11	hypothetical protein
G007_fsa_00010		9126	10805	1680	CDS	Forward	C11	hypothetical protein
G007_fsa_00011	iolG_1	10927	12027	1101	CDS	Forward	C11	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
G007_fsa_00012	yajO_1	12159	13175	1017	CDS	Forward	C11	1-deoxyxylulose-5-phosphate synthase YajO
G007_fsa_00013	syrM1	13215	14183	969	CDS	Forward	C11	HTH-type transcriptional regulator SyrM 1
G007_fsa_00014	ybiS	14242	14736	495	CDS	Reverse	C11	putative L%2CD-transpeptidase YbiS
G007_fsa_00015	dmlR_2	15089	16006	918	CDS	Reverse	C11	HTH-type transcriptional regulator DmlR
G007_fsa_00016		16160	16909	750	CDS	Reverse	C11	hypothetical protein
G007_fsa_00017	dapb3	16918	18822	1905	CDS	Reverse	C11	Dipeptidyl aminopeptidase BIII
G007_fsa_00018		19051	19356	306	CDS	Forward	C11	hypothetical protein
G007_fsa_00019	qseB_1	19704	20378	675	CDS	Forward	C11	Transcriptional regulatory protein QseB
G007_fsa_00020	sasA_1	20365	21732	1368	CDS	Forward	C11	Adaptive-response sensory-kinase SasA
G007_fsa_00021	ampC_1	21962	23119	1158	CDS	Forward	C11	Beta-lactamase
G007_fsa_00022		23812	24141	330	CDS	Reverse	C11	hypothetical protein
G007_fsa_00023		24138	25136	999	CDS	Reverse	C11	Zinc-type alcohol dehydrogenase-like protein
G007_fsa_00024	dmlR_3	25278	26204	927	CDS	Forward	C11	HTH-type transcriptional regulator DmlR
G007_fsa_00025	nepI_1	26498	27685	1188	CDS	Reverse	C11	Purine ribonucleoside efflux pump NepI
G007_fsa_00026	bdcA_1	27870	28634	765	CDS	Reverse	C11	Cyclic-di-GMP-binding biofilm dispersal mediator protein
G007_fsa_00027	pgrR_1	28800	29615	816	CDS	Reverse	C11	HTH-type transcriptional regulator PgrR
G007_fsa_00028		29919	30515	597	CDS	Forward	C11	hypothetical protein
G007_fsa_00029	qorA_1	30581	31534	954	CDS	Forward	C11	Quinone oxidoreductase 1
G007_fsa_00030	bdcA_2	31630	32367	738	CDS	Forward	C11	Cyclic-di-GMP-binding biofilm dispersal mediator protein
G007_fsa_00031	tgnD_1	32844	33566	723	CDS	Forward	C11	(E)-2-((N-methylformamido)methylene)succinate hydrolase
G007_fsa_00032	iolG_2	33725	34876	1152	CDS	Forward	C11	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
G007_fsa_00033	macB_1	35420	37369	1950	CDS	Reverse	C11	Macrolide export ATP-binding/permease protein MacB
G007_fsa_00034	macA_1	37378	38571	1194	CDS	Reverse	C11	Macrolide export protein MacA
G007_fsa_00035	sasA_2	38750	40114	1365	CDS	Reverse	C11	Adaptive-response sensory-kinase SasA
G007_fsa_00036		40506	40631	126	CDS	Reverse	C11	hypothetical protein
G007_fsa_00037		40754	41866	1113	CDS	Reverse	C11	hypothetical protein
G007_fsa_00038		41970	42812	843	CDS	Forward	C11	hypothetical protein
G007_fsa_00039		42878	43279	402	CDS	Forward	C11	hypothetical protein
G007_fsa_00040		43661	44626	966	CDS	Reverse	C11	hypothetical protein
G007_fsa_00041		44623	45282	660	CDS	Reverse	C11	hypothetical protein
G007_fsa_00042		45496	46929	1434	CDS	Reverse	C11	hypothetical protein
G007_fsa_00043		47743	47880	138	CDS	Forward	C11	hypothetical protein
G007_fsa_00044	cynT_1	48640	49341	702	CDS	Forward	C11	Carbonic anhydrase 1
G007_fsa_00045	dauA	49346	50878	1533	CDS	Forward	C11	C4-dicarboxylic acid transporter DauA
G007_fsa_00046		51104	52405	1302	CDS	Reverse	C11	Gluconate 2-dehydrogenase cytochrome c subunit
G007_fsa_00047	iorB_1	52402	54609	2208	CDS	Reverse	C11	Isoquinoline 1-oxidoreductase subunit beta
G007_fsa_00048		54611	55135	525	CDS	Reverse	C11	hypothetical protein
G007_fsa_00049	ydhP_1	55224	56408	1185	CDS	Reverse	C11	Inner membrane transport protein YdhP
G007_fsa_00050	comR_1	56540	57160	621	CDS	Reverse	C11	HTH-type transcriptional repressor ComR
G007_fsa_00051		57157	57609	453	CDS	Reverse	C11	hypothetical protein
G007_fsa_00052	mdlC	58288	59943	1656	CDS	Reverse	C11	Benzoylformate decarboxylase
G007_fsa_00053		60327	60464	138	CDS	Reverse	C11	hypothetical protein
G007_fsa_00054	pycA_1	60751	64257	3507	CDS	Reverse	C11	Pyruvate carboxylase
G007_fsa_00055	can	64281	64898	618	CDS	Reverse	C11	Carbonic anhydrase 2
G007_fsa_00056		64941	65162	222	CDS	Reverse	C11	hypothetical protein
G007_fsa_00057		65174	66838	1665	CDS	Reverse	C11	Electron transfer flavoprotein-ubiquinone oxidoreductase
G007_fsa_00058	etfA_1	66838	67779	942	CDS	Reverse	C11	Electron transfer flavoprotein subunit alpha
G007_fsa_00059	etfB_1	67802	68551	750	CDS	Reverse	C11	Electron transfer flavoprotein subunit beta
G007_fsa_00060		68565	69362	798	CDS	Reverse	C11	Citrate lyase subunit beta-like protein
G007_fsa_00061	meh	69359	70219	861	CDS	Reverse	C11	Mesaconyl-C(4)-CoA hydratase
