locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJNIGECA_00001	CDS	225	xylB_1	1.1.1.90		Aryl-alcohol dehydrogenase
IJNIGECA_00002	CDS	1080				hypothetical protein
IJNIGECA_00003	CDS	1491	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
IJNIGECA_00004	CDS	408				hypothetical protein
IJNIGECA_00005	CDS	231				hypothetical protein
IJNIGECA_00006	CDS	243				hypothetical protein
IJNIGECA_00007	CDS	900	pgrR_1			HTH-type transcriptional regulator PgrR
IJNIGECA_00008	CDS	630				hypothetical protein
IJNIGECA_00009	CDS	705	traR			Transcriptional activator protein TraR
IJNIGECA_00010	CDS	309	traM			Transcriptional repressor TraM
IJNIGECA_00011	CDS	627				hypothetical protein
IJNIGECA_00012	CDS	1200				hypothetical protein
IJNIGECA_00013	CDS	531				hypothetical protein
IJNIGECA_00014	CDS	3303	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
IJNIGECA_00015	CDS	297				hypothetical protein
IJNIGECA_00016	CDS	216				hypothetical protein
IJNIGECA_00017	CDS	1944				hypothetical protein
IJNIGECA_00018	CDS	180				hypothetical protein
IJNIGECA_00019	CDS	516				hypothetical protein
IJNIGECA_00020	CDS	498				hypothetical protein
IJNIGECA_00021	CDS	174				hypothetical protein
IJNIGECA_00022	CDS	171				hypothetical protein
IJNIGECA_00023	CDS	150				hypothetical protein
IJNIGECA_00024	CDS	414				hypothetical protein
IJNIGECA_00025	CDS	603				hypothetical protein
IJNIGECA_00026	CDS	309				hypothetical protein
IJNIGECA_00027	CDS	174				hypothetical protein
IJNIGECA_00028	CDS	924	traC_1	2.7.7.-		DNA primase TraC
IJNIGECA_00029	CDS	588				hypothetical protein
IJNIGECA_00030	CDS	1752	noc_1			Nucleoid occlusion protein
IJNIGECA_00031	CDS	318				hypothetical protein
IJNIGECA_00032	CDS	846	rhaR_1			HTH-type transcriptional activator RhaR
IJNIGECA_00033	CDS	936				hypothetical protein
IJNIGECA_00034	CDS	5097				hypothetical protein
IJNIGECA_00035	CDS	402				hypothetical protein
IJNIGECA_00036	CDS	609				hypothetical protein
IJNIGECA_00037	CDS	966				hypothetical protein
IJNIGECA_00038	CDS	177				hypothetical protein
IJNIGECA_00039	CDS	360	higB2		COG4683	Putative toxin HigB2
IJNIGECA_00040	CDS	327				hypothetical protein
IJNIGECA_00041	CDS	3255	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
IJNIGECA_00042	CDS	1419	imuB_1			Protein ImuB
IJNIGECA_00043	CDS	753				hypothetical protein
IJNIGECA_00044	CDS	147				hypothetical protein
IJNIGECA_00045	CDS	954	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
IJNIGECA_00046	CDS	774				hypothetical protein
IJNIGECA_00047	CDS	327				hypothetical protein
IJNIGECA_00048	CDS	456				hypothetical protein
IJNIGECA_00049	CDS	897	dmlR_1			HTH-type transcriptional regulator DmlR
