locus_tag	ftype	length_bp	gene	EC_number	COG	product
KFEINPEI_00001	CDS	150				hypothetical protein
KFEINPEI_00002	CDS	114				hypothetical protein
KFEINPEI_00003	CDS	273				hypothetical protein
KFEINPEI_00004	CDS	135				hypothetical protein
KFEINPEI_00005	CDS	306				hypothetical protein
KFEINPEI_00006	CDS	552				hypothetical protein
KFEINPEI_00007	CDS	132				hypothetical protein
KFEINPEI_00008	CDS	375	qseF		COG2204	Transcriptional regulatory protein QseF
KFEINPEI_00009	CDS	498	ropA_1			Outer membrane protein IIIA
KFEINPEI_00010	CDS	294				hypothetical protein
KFEINPEI_00011	CDS	714				hypothetical protein
KFEINPEI_00012	CDS	204				hypothetical protein
KFEINPEI_00013	CDS	189				hypothetical protein
KFEINPEI_00014	CDS	201				hypothetical protein
KFEINPEI_00015	CDS	819	xerC_1		COG4974	Tyrosine recombinase XerC
KFEINPEI_00016	CDS	684	xerC_2			Tyrosine recombinase XerC
KFEINPEI_00017	CDS	1353	xerC_3			Tyrosine recombinase XerC
KFEINPEI_00018	CDS	597				hypothetical protein
KFEINPEI_00019	CDS	444	zntR_1		COG0789	HTH-type transcriptional regulator ZntR
KFEINPEI_00020	CDS	594				hypothetical protein
KFEINPEI_00021	CDS	384				hypothetical protein
KFEINPEI_00022	CDS	708	dipZ_1		COG0785	Protein DipZ
KFEINPEI_00023	CDS	327				hypothetical protein
KFEINPEI_00024	CDS	783				hypothetical protein
KFEINPEI_00025	CDS	1029				hypothetical protein
KFEINPEI_00026	CDS	606				hypothetical protein
KFEINPEI_00027	CDS	246				hypothetical protein
KFEINPEI_00028	CDS	5103				hypothetical protein
KFEINPEI_00029	CDS	1824	noc_1			Nucleoid occlusion protein
KFEINPEI_00030	CDS	477				hypothetical protein
KFEINPEI_00031	CDS	888				hypothetical protein
KFEINPEI_00032	CDS	585				hypothetical protein
KFEINPEI_00033	CDS	123				hypothetical protein
KFEINPEI_00034	CDS	927	traC	2.7.7.-		DNA primase TraC
KFEINPEI_00035	CDS	177				hypothetical protein
KFEINPEI_00036	CDS	288				hypothetical protein
KFEINPEI_00037	CDS	312				hypothetical protein
KFEINPEI_00038	CDS	171				hypothetical protein
KFEINPEI_00039	CDS	174				hypothetical protein
KFEINPEI_00040	CDS	309				hypothetical protein
KFEINPEI_00041	CDS	318				hypothetical protein
KFEINPEI_00042	CDS	588				hypothetical protein
KFEINPEI_00043	CDS	1932				hypothetical protein
KFEINPEI_00044	CDS	216				hypothetical protein
KFEINPEI_00045	CDS	297				hypothetical protein
KFEINPEI_00046	CDS	3327	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
KFEINPEI_00047	CDS	498				hypothetical protein
KFEINPEI_00048	CDS	1164				hypothetical protein
KFEINPEI_00049	CDS	621				hypothetical protein
KFEINPEI_00050	CDS	375				hypothetical protein
KFEINPEI_00051	CDS	633				hypothetical protein
KFEINPEI_00052	CDS	291	traM			putative transcriptional repressor TraM
KFEINPEI_00053	CDS	705	traR			putative transcriptional activator protein TraR
KFEINPEI_00054	CDS	741				hypothetical protein
KFEINPEI_00055	CDS	1296				hypothetical protein
KFEINPEI_00056	CDS	441				hypothetical protein
KFEINPEI_00057	CDS	813				hypothetical protein
KFEINPEI_00058	CDS	663				hypothetical protein
KFEINPEI_00059	CDS	1182				hypothetical protein
KFEINPEI_00060	CDS	201				hypothetical protein
KFEINPEI_00061	CDS	804				hypothetical protein
KFEINPEI_00062	CDS	2457	virB4_1		COG3451	Type IV secretion system protein virB4
KFEINPEI_00063	CDS	300				hypothetical protein
KFEINPEI_00064	CDS	384				hypothetical protein
KFEINPEI_00065	CDS	978				hypothetical protein
KFEINPEI_00066	CDS	624	lasI	2.3.1.184	COG3916	Acyl-homoserine-lactone synthase
KFEINPEI_00067	CDS	1224				hypothetical protein
KFEINPEI_00068	CDS	1035				hypothetical protein
KFEINPEI_00069	CDS	1215				hypothetical protein
KFEINPEI_00070	CDS	1239	serA_1	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
KFEINPEI_00071	CDS	621				hypothetical protein
KFEINPEI_00072	CDS	918				hypothetical protein
KFEINPEI_00073	CDS	1125				hypothetical protein
KFEINPEI_00074	CDS	1242				hypothetical protein
KFEINPEI_00075	CDS	204				hypothetical protein
KFEINPEI_00076	CDS	627				hypothetical protein
KFEINPEI_00077	CDS	174				hypothetical protein
KFEINPEI_00078	CDS	366				hypothetical protein
KFEINPEI_00079	CDS	1101				hypothetical protein
KFEINPEI_00080	CDS	1392				hypothetical protein
KFEINPEI_00081	CDS	882				hypothetical protein
KFEINPEI_00082	CDS	198				hypothetical protein
KFEINPEI_00083	CDS	198				hypothetical protein
KFEINPEI_00084	CDS	90				hypothetical protein
KFEINPEI_00085	CDS	3336				hypothetical protein
KFEINPEI_00086	CDS	990				hypothetical protein
KFEINPEI_00087	CDS	891	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
KFEINPEI_00088	CDS	1377				hypothetical protein
KFEINPEI_00089	CDS	1323	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
KFEINPEI_00090	CDS	1665	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KFEINPEI_00091	CDS	873	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
KFEINPEI_00092	CDS	1017	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
KFEINPEI_00093	CDS	1623	nikA		COG0747	Nickel-binding periplasmic protein
KFEINPEI_00094	CDS	1638				hypothetical protein
KFEINPEI_00095	CDS	1002				hypothetical protein
KFEINPEI_00096	CDS	627				hypothetical protein
KFEINPEI_00097	CDS	972				hypothetical protein
KFEINPEI_00098	CDS	1314	moxC	1.14.-.-	COG2141	Putative monooxygenase MoxC
KFEINPEI_00099	CDS	1626	gsiB_1		COG0747	Glutathione-binding protein GsiB
KFEINPEI_00100	CDS	951	gsiC_2		COG0601	Glutathione transport system permease protein GsiC
KFEINPEI_00101	CDS	876	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
KFEINPEI_00102	CDS	1728	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KFEINPEI_00103	CDS	459	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
KFEINPEI_00104	CDS	876				hypothetical protein
KFEINPEI_00105	CDS	192				hypothetical protein
KFEINPEI_00106	CDS	198				hypothetical protein
KFEINPEI_00107	CDS	1335	ntaA_2	1.14.14.10		Nitrilotriacetate monooxygenase component A
KFEINPEI_00108	CDS	936				hypothetical protein
KFEINPEI_00109	CDS	1605	gsiB_2		COG0747	Glutathione-binding protein GsiB
KFEINPEI_00110	CDS	1092	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
KFEINPEI_00111	CDS	1161	ydbM	1.3.99.-		Putative acyl-CoA dehydrogenase YdbM
KFEINPEI_00112	CDS	1038	soxB_1	3.13.1.3		2'-hydroxybiphenyl-2-sulfinate desulfinase
KFEINPEI_00113	CDS	1179	sfnG	1.14.14.35		FMNH(2)-dependent dimethylsulfone monooxygenase
KFEINPEI_00114	CDS	1605				hypothetical protein
KFEINPEI_00115	CDS	990	gsiC_3		COG0601	Glutathione transport system permease protein GsiC
KFEINPEI_00116	CDS	1008				hypothetical protein
KFEINPEI_00117	CDS	996	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
KFEINPEI_00118	CDS	936	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
KFEINPEI_00119	CDS	1059	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KFEINPEI_00120	CDS	1248	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
KFEINPEI_00121	CDS	1092	msuD_1	1.14.14.5	COG2141	Methanesulfonate monooxygenase
KFEINPEI_00122	CDS	1413				hypothetical protein
KFEINPEI_00123	CDS	1620	appA_1			Oligopeptide-binding protein AppA
KFEINPEI_00124	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
KFEINPEI_00125	CDS	1011	gcvA_1			Glycine cleavage system transcriptional activator
KFEINPEI_00126	CDS	855	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
KFEINPEI_00127	CDS	1326	ntaA_3	1.14.14.10		Nitrilotriacetate monooxygenase component A
KFEINPEI_00128	CDS	1221	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
KFEINPEI_00129	CDS	342				hypothetical protein
KFEINPEI_00130	CDS	1356	ntaA_4	1.14.14.10		Nitrilotriacetate monooxygenase component A
KFEINPEI_00131	CDS	1179	sfnC_3	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
KFEINPEI_00132	CDS	723	nagR_1		COG2188	HTH-type transcriptional repressor NagR
KFEINPEI_00133	CDS	681	nrtD_1	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
KFEINPEI_00134	CDS	996	ssuA_1		COG0715	Putative aliphatic sulfonates-binding protein
KFEINPEI_00135	CDS	771	nrtB_1		COG0600	Nitrate import permease protein NrtB
KFEINPEI_00136	CDS	2370				hypothetical protein
KFEINPEI_00137	CDS	381				hypothetical protein
KFEINPEI_00138	CDS	954	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
KFEINPEI_00139	CDS	192				hypothetical protein
KFEINPEI_00140	CDS	753				hypothetical protein
KFEINPEI_00141	CDS	900				hypothetical protein
KFEINPEI_00142	CDS	1050			COG0630	Type IV secretion system protein VirB11
KFEINPEI_00143	CDS	2724				hypothetical protein
KFEINPEI_00144	CDS	333				hypothetical protein
KFEINPEI_00145	CDS	1371				hypothetical protein
KFEINPEI_00146	CDS	294				hypothetical protein
KFEINPEI_00147	CDS	342				hypothetical protein
KFEINPEI_00148	CDS	546				hypothetical protein
KFEINPEI_00149	CDS	372				hypothetical protein
KFEINPEI_00150	CDS	315				hypothetical protein
KFEINPEI_00151	CDS	597				hypothetical protein
KFEINPEI_00152	CDS	648				hypothetical protein
KFEINPEI_00153	CDS	681				hypothetical protein
KFEINPEI_00154	CDS	399				hypothetical protein
KFEINPEI_00155	CDS	750				hypothetical protein
KFEINPEI_00156	CDS	402				hypothetical protein
KFEINPEI_00157	CDS	393				hypothetical protein
KFEINPEI_00158	CDS	2022				hypothetical protein
KFEINPEI_00159	CDS	678				hypothetical protein
KFEINPEI_00160	CDS	1254				hypothetical protein
KFEINPEI_00161	CDS	1038				hypothetical protein
KFEINPEI_00162	CDS	945	rhaS_1			HTH-type transcriptional activator RhaS
KFEINPEI_00163	CDS	1626	bclA	6.2.1.25		Benzoate--CoA ligase
KFEINPEI_00164	CDS	1137				hypothetical protein
KFEINPEI_00165	CDS	924	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
KFEINPEI_00166	CDS	990				hypothetical protein
KFEINPEI_00167	CDS	750	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
KFEINPEI_00168	CDS	684	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
KFEINPEI_00169	CDS	516				hypothetical protein
KFEINPEI_00170	CDS	2313	namA_1	1.6.99.1		NADPH dehydrogenase
KFEINPEI_00171	CDS	780	actIII	1.3.1.-		Putative ketoacyl reductase
KFEINPEI_00172	CDS	420		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
KFEINPEI_00173	CDS	399				hypothetical protein
KFEINPEI_00174	CDS	429				hypothetical protein
KFEINPEI_00175	CDS	849		4.3.2.3		Ureidoglycolate lyase
KFEINPEI_00176	CDS	783	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
KFEINPEI_00177	CDS	825				hypothetical protein
KFEINPEI_00178	CDS	789	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
KFEINPEI_00179	CDS	1533	pchF	1.17.9.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
KFEINPEI_00180	CDS	1374	lutA_1			Lactate utilization protein A
KFEINPEI_00181	CDS	297				hypothetical protein
KFEINPEI_00182	CDS	1962	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
KFEINPEI_00183	CDS	1335	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
KFEINPEI_00184	CDS	879	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
KFEINPEI_00185	CDS	951	dppB_1		COG0601	Dipeptide transport system permease protein DppB
KFEINPEI_00186	CDS	1671	appA_2			Oligopeptide-binding protein AppA
KFEINPEI_00187	CDS	1644	gsiA_3	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KFEINPEI_00188	CDS	669	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
KFEINPEI_00189	CDS	870	trpI_1			HTH-type transcriptional regulator TrpI
KFEINPEI_00190	CDS	1212	dtnK_1	2.7.1.219	COG3395	D-threonate kinase
KFEINPEI_00191	CDS	975	pdxA2_1	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
KFEINPEI_00192	CDS	729				hypothetical protein
KFEINPEI_00193	CDS	1179	dthadh	4.3.1.27		D-threo-3-hydroxyaspartate dehydratase
KFEINPEI_00194	CDS	426	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
KFEINPEI_00195	CDS	1323	abo_2	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
KFEINPEI_00196	CDS	1275	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
KFEINPEI_00197	CDS	477	lrp_1		COG1522	Leucine-responsive regulatory protein
KFEINPEI_00198	CDS	1329	dgdA	4.1.1.64		2,2-dialkylglycine decarboxylase
KFEINPEI_00199	CDS	1098	thrB_1	2.7.1.39		Homoserine kinase
KFEINPEI_00200	CDS	669	dehH2	3.8.1.3		Haloacetate dehalogenase H-2
KFEINPEI_00201	CDS	993	arcB_1	1.5.1.49		Delta(1)-pyrroline-2-carboxylate reductase
KFEINPEI_00202	CDS	972	tdcB_1	4.3.1.19		L-threonine dehydratase catabolic TdcB
