Name	Gene	Start	End	Length	Type	Strand	Contig	Product
V050_fsa_00001		61	342	282	CDS	Reverse	C100	hypothetical protein
V050_fsa_00002		158	316	159	CDS	Forward	C102	hypothetical protein
V050_fsa_00003		98	190	93	CDS	Forward	C104	hypothetical protein
V050_fsa_00004	pyrE_1	137	385	249	CDS	Forward	C106	Orotate phosphoribosyltransferase
V050_fsa_00005		55	312	258	CDS	Forward	C114	hypothetical protein
V050_fsa_00006		112	429	318	CDS	Forward	C116	hypothetical protein
V050_fsa_00007		51	326	276	CDS	Reverse	C118	hypothetical protein
V050_fsa_00008		425	811	387	CDS	Forward	C23	IS5 family transposase ISAzs9
V050_fsa_00009		778	939	162	CDS	Reverse	C23	hypothetical protein
V050_fsa_00010	fdxB	2353	2676	324	CDS	Reverse	C23	Ferredoxin-3
V050_fsa_00011	nifK_1	3031	4368	1338	CDS	Reverse	C23	Nitrogenase molybdenum-iron protein beta chain
V050_fsa_00012	nifD_1	4423	5844	1422	CDS	Reverse	C23	Nitrogenase molybdenum-iron protein alpha chain
V050_fsa_00013	nifK_2	5898	7439	1542	CDS	Reverse	C23	Nitrogenase molybdenum-iron protein beta chain
V050_fsa_00014	nifD_2	7530	9035	1506	CDS	Reverse	C23	Nitrogenase molybdenum-iron protein alpha chain
V050_fsa_00015	nifH	9138	10031	894	CDS	Reverse	C23	Nitrogenase iron protein
V050_fsa_00016		11097	12197	1101	CDS	Reverse	C23	hypothetical protein
V050_fsa_00017		12286	12444	159	CDS	Reverse	C23	hypothetical protein
V050_fsa_00018	bjaI	12767	13315	549	CDS	Reverse	C23	Isovaleryl-homoserine lactone synthase
V050_fsa_00019		13476	13853	378	CDS	Forward	C23	IS5 family transposase ISNGR9
V050_fsa_00020		14009	14236	228	CDS	Forward	C23	IS5 family transposase ISNGR9
V050_fsa_00021	rhiA	14750	15445	696	CDS	Forward	C23	Protein RhiA
V050_fsa_00022		15495	16154	660	CDS	Forward	C23	hypothetical protein
V050_fsa_00023		16243	16692	450	CDS	Forward	C23	hypothetical protein
V050_fsa_00024	rpaR_1	16911	17654	744	CDS	Reverse	C23	HTH-type quorum sensing-dependent transcriptional regulator RpaR
V050_fsa_00025		18152	18895	744	CDS	Reverse	C23	hypothetical protein
V050_fsa_00026	nodO	19833	20687	855	CDS	Forward	C23	Nodulation protein O
V050_fsa_00027		21218	21454	237	CDS	Forward	C23	hypothetical protein
V050_fsa_00028		21790	22407	618	CDS	Reverse	C23	hypothetical protein
V050_fsa_00029	ttgC	22364	23812	1449	CDS	Reverse	C23	putative efflux pump outer membrane protein TtgC
V050_fsa_00030		23980	24465	486	CDS	Reverse	C23	putative enoyl-CoA hydratase 1
V050_fsa_00031	nodM_1	24543	26333	1791	CDS	Reverse	C23	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
V050_fsa_00032	maa_1	26941	27513	573	CDS	Reverse	C23	Maltose O-acetyltransferase
V050_fsa_00033	fabF_1	28107	29318	1212	CDS	Reverse	C23	3-oxoacyl-[acyl-carrier-protein] synthase 2
V050_fsa_00034	nodF	29319	29597	279	CDS	Reverse	C23	Nodulation protein F
