Name	Gene	Start	End	Length	Type	Strand	Contig	Product
G088_fsa_00001		179	895	717	CDS	Forward	C36	hypothetical protein
G088_fsa_00002		1071	4103	3033	CDS	Reverse	C36	hypothetical protein
G088_fsa_00003		4115	6100	1986	CDS	Reverse	C36	hypothetical protein
G088_fsa_00004		6137	8074	1938	CDS	Reverse	C36	hypothetical protein
G088_fsa_00005		8071	8856	786	CDS	Reverse	C36	hypothetical protein
G088_fsa_00006	rapA	8853	12062	3210	CDS	Reverse	C36	RNA polymerase-associated protein RapA
G088_fsa_00007		12416	12745	330	CDS	Reverse	C36	hypothetical protein
G088_fsa_00008		12846	13484	639	CDS	Reverse	C36	hypothetical protein
G088_fsa_00009	gloB_1	13881	14792	912	CDS	Forward	C36	Hydroxyacylglutathione hydrolase
G088_fsa_00010	copA_1	36	1757	1722	CDS	Forward	C44	putative copper-importing P-type ATPase A
G088_fsa_00011		1754	1912	159	CDS	Forward	C44	hypothetical protein
G088_fsa_00012	aadR	1947	2618	672	CDS	Forward	C44	Transcriptional activatory protein AadR
G088_fsa_00013	ccmE_1	2754	3215	462	CDS	Forward	C44	Cytochrome c-type biogenesis protein CcmE
G088_fsa_00014		3212	3409	198	CDS	Forward	C44	hypothetical protein
G088_fsa_00015	IMPDH_1	3484	4164	681	CDS	Forward	C44	Inosine-5'-monophosphate dehydrogenase
G088_fsa_00016		4950	5315	366	CDS	Reverse	C44	hypothetical protein
G088_fsa_00017		30	251	222	CDS	Forward	C49	hypothetical protein
G088_fsa_00018		354	1661	1308	CDS	Reverse	C49	hypothetical protein
G088_fsa_00019		1603	1842	240	CDS	Reverse	C49	hypothetical protein
G088_fsa_00020	traC_1	173	535	363	CDS	Forward	C51	DNA primase TraC
G088_fsa_00021		577	822	246	CDS	Reverse	C51	hypothetical protein
G088_fsa_00022	traG	928	2607	1680	CDS	Reverse	C51	Conjugal transfer protein TraG
G088_fsa_00023		2604	2927	324	CDS	Reverse	C51	hypothetical protein
G088_fsa_00024		1196	1510	315	CDS	Reverse	C52	hypothetical protein
G088_fsa_00025		1789	2157	369	CDS	Forward	C52	hypothetical protein
G088_fsa_00026		172	837	666	CDS	Reverse	C53	hypothetical protein
G088_fsa_00027		964	1299	336	CDS	Reverse	C53	hypothetical protein
G088_fsa_00028	hemA_1	33	281	249	CDS	Forward	C57	5-aminolevulinate synthase
G088_fsa_00029		342	560	219	CDS	Reverse	C57	hypothetical protein
G088_fsa_00030		689	934	246	CDS	Forward	C57	hypothetical protein
G088_fsa_00031		60	317	258	CDS	Forward	C61	hypothetical protein
G088_fsa_00032		146	532	387	CDS	Reverse	C62	hypothetical protein
G088_fsa_00033		165	614	450	CDS	Reverse	C64	hypothetical protein
G088_fsa_00034	traC_2	10	546	537	CDS	Forward	C65	DNA primase TraC
G088_fsa_00035		72	191	120	CDS	Reverse	C74	hypothetical protein
G088_fsa_00036		640	2130	1491	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00037		2127	4886	2760	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00038		5000	5209	210	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00039	pal_1	5206	6462	1257	CDS	Reverse	Cchr	Peptidoglycan-associated lipoprotein
G088_fsa_00040		7102	8421	1320	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00041	ndvB_1	8427	12317	3891	CDS	Reverse	Cchr	Cyclic beta-(1%2C2)-glucan synthase NdvB
G088_fsa_00042	xpkA_1	12348	14813	2466	CDS	Reverse	Cchr	Xylulose-5-phosphate phosphoketolase
G088_fsa_00043	IMPDH_2	15190	15858	669	CDS	Reverse	Cchr	Inosine-5'-monophosphate dehydrogenase
G088_fsa_00044	bacA	15971	17659	1689	CDS	Reverse	Cchr	Vitamin B12 transport ATP-binding protein BacA
G088_fsa_00045	bepA_1	17782	19434	1653	CDS	Reverse	Cchr	Beta-barrel assembly-enhancing protease
G088_fsa_00046		19704	20195	492	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00047	prsE_1	20314	21663	1350	CDS	Reverse	Cchr	Type I secretion system membrane fusion protein PrsE
G088_fsa_00048	btuD_1	21669	23906	2238	CDS	Reverse	Cchr	Vitamin B12 import ATP-binding protein BtuD
G088_fsa_00049		23932	25968	2037	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00050		26110	27066	957	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00051	malT_1	27910	28692	783	CDS	Forward	Cchr	HTH-type transcriptional regulator MalT
G088_fsa_00052		28708	29028	321	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00053		29417	30442	1026	CDS	Forward	Cchr	UDP-glucose 4-epimerase
G088_fsa_00054	galE_1	30444	31427	984	CDS	Forward	Cchr	UDP-glucose 4-epimerase
G088_fsa_00055		31424	33292	1869	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00056		33331	33852	522	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00057		33856	34824	969	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00058	yesO_1	34889	36175	1287	CDS	Reverse	Cchr	Putative ABC transporter substrate-binding protein YesO
G088_fsa_00059	cytR_1	36323	37342	1020	CDS	Forward	Cchr	HTH-type transcriptional repressor CytR
G088_fsa_00060		37470	39326	1857	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00061		39323	40333	1011	CDS	Forward	Cchr	Formate dehydrogenase%2C mitochondrial
G088_fsa_00062	yteT_1	40422	41699	1278	CDS	Reverse	Cchr	Putative oxidoreductase YteT
G088_fsa_00063		41851	42675	825	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00064		42813	43976	1164	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00065	xdh	43980	45128	1149	CDS	Reverse	Cchr	D-xylose dehydrogenase
G088_fsa_00066	nicS	45260	45937	678	CDS	Reverse	Cchr	HTH-type transcriptional repressor NicS
G088_fsa_00067	yesO_2	46136	47422	1287	CDS	Forward	Cchr	Putative ABC transporter substrate-binding protein YesO
G088_fsa_00068	lacF_1	47429	48388	960	CDS	Forward	Cchr	Lactose transport system permease protein LacF
G088_fsa_00069	ngcG_1	48381	49268	888	CDS	Forward	Cchr	Diacetylchitobiose uptake system permease protein NgcG
G088_fsa_00070	iolG_1	49268	50365	1098	CDS	Forward	Cchr	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
G088_fsa_00071	malK_1	50397	51473	1077	CDS	Forward	Cchr	Maltose/maltodextrin import ATP-binding protein MalK
G088_fsa_00072	thiK_1	51646	52521	876	CDS	Forward	Cchr	Thiamine kinase
G088_fsa_00073	abo_1	52522	54972	2451	CDS	Forward	Cchr	4-methylaminobutanoate oxidase (formaldehyde-forming)
G088_fsa_00074	por	55102	56559	1458	CDS	Reverse	Cchr	Polyol:NADP oxidoreductase
G088_fsa_00075	uxaC	56556	57971	1416	CDS	Reverse	Cchr	Uronate isomerase
G088_fsa_00076	slyX	58152	58361	210	CDS	Forward	Cchr	Protein SlyX
G088_fsa_00077	gabD_1	58417	59898	1482	CDS	Reverse	Cchr	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
G088_fsa_00078	puuE	59965	61245	1281	CDS	Reverse	Cchr	4-aminobutyrate aminotransferase PuuE
G088_fsa_00079		61416	62225	810	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00080	rnd_1	62465	63091	627	CDS	Forward	Cchr	Ribonuclease D
G088_fsa_00081		63323	64888	1566	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00082	rpsA	65061	66764	1704	CDS	Reverse	Cchr	30S ribosomal protein S1
G088_fsa_00083	cmk	66941	67588	648	CDS	Reverse	Cchr	Cytidylate kinase
G088_fsa_00084	aroA_1	67661	69019	1359	CDS	Reverse	Cchr	3-phosphoshikimate 1-carboxyvinyltransferase
G088_fsa_00085		69296	69679	384	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00086		70026	70265	240	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00087		70458	71177	720	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00088		71246	72034	789	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00089		72136	72609	474	CDS	Reverse	Cchr	hypothetical protein
G088_fsa_00090		72782	73417	636	CDS	Forward	Cchr	hypothetical protein
G088_fsa_00091	perR	73494	73913	420	CDS	Reverse	Cchr	Peroxide-responsive repressor PerR
G088_fsa_00092	fabA	74215	74730	516	CDS	Forward	Cchr	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
G088_fsa_00093	fabB	74776	76008	1233	CDS	Forward	Cchr	3-oxoacyl-[acyl-carrier-protein] synthase 1
G088_fsa_00094	fabI_1	76016	76822	807	CDS	Forward	Cchr	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
G088_fsa_00095	rsmC	76911	77927	1017	CDS	Reverse	Cchr	Ribosomal RNA small subunit methyltransferase C
G088_fsa_00096	pnp	78003	80141	2139	CDS	Reverse	Cchr	Polyribonucleotide nucleotidyltransferase
G088_fsa_00097	rpsO	80490	80759	270	CDS	Reverse	Cchr	30S ribosomal protein S15
G088_fsa_00098	catD_1	80913	81764	852	CDS	Reverse	Cchr	3-oxoadipate enol-lactonase 2
