Name	Gene	Start	End	Length	Type	Strand	Contig	Product
V043_fsa_00001	yybR	159	425	267	CDS	Reverse	C110	putative HTH-type transcriptional regulator YybR
V043_fsa_00002		180	386	207	CDS	Reverse	C113	hypothetical protein
V043_fsa_00003	ykuJ	189	428	240	CDS	Reverse	C116	putative protein YkuJ
V043_fsa_00004		76	285	210	CDS	Forward	C122	hypothetical protein
V043_fsa_00005		42	386	345	CDS	Reverse	C123	hypothetical protein
V043_fsa_00006		85	291	207	CDS	Reverse	C128	hypothetical protein
V043_fsa_00007		83	370	288	CDS	Reverse	C129	hypothetical protein
V043_fsa_00008		56	427	372	CDS	Reverse	C130	hypothetical protein
V043_fsa_00009		4	423	420	CDS	Reverse	C137	hypothetical protein
V043_fsa_00010		145	411	267	CDS	Reverse	C138	hypothetical protein
V043_fsa_00011		235	1110	876	CDS	Reverse	C20	hypothetical protein
V043_fsa_00012		1269	2765	1497	CDS	Reverse	C20	hypothetical protein
V043_fsa_00013		2775	4616	1842	CDS	Reverse	C20	hypothetical protein
V043_fsa_00014		4721	5191	471	CDS	Forward	C20	hypothetical protein
V043_fsa_00015		5181	7589	2409	CDS	Forward	C20	hypothetical protein
V043_fsa_00016		7712	8488	777	CDS	Reverse	C20	hypothetical protein
V043_fsa_00017		8485	8979	495	CDS	Reverse	C20	hypothetical protein
V043_fsa_00018		9443	10192	750	CDS	Forward	C20	hypothetical protein
V043_fsa_00019		10309	10716	408	CDS	Forward	C20	hypothetical protein
V043_fsa_00020		10716	10937	222	CDS	Forward	C20	hypothetical protein
V043_fsa_00021		10934	11134	201	CDS	Forward	C20	hypothetical protein
V043_fsa_00022		11202	11297	96	CDS	Forward	C20	hypothetical protein
V043_fsa_00023		11685	11840	156	CDS	Forward	C20	hypothetical protein
V043_fsa_00024		11837	12151	315	CDS	Forward	C20	hypothetical protein
V043_fsa_00025		12148	12462	315	CDS	Forward	C20	hypothetical protein
V043_fsa_00026		12544	12705	162	CDS	Forward	C20	hypothetical protein
V043_fsa_00027		12702	13040	339	CDS	Forward	C20	hypothetical protein
V043_fsa_00028		13024	13359	336	CDS	Forward	C20	hypothetical protein
V043_fsa_00029		13337	13681	345	CDS	Forward	C20	hypothetical protein
V043_fsa_00030		13665	14219	555	CDS	Forward	C20	hypothetical protein
V043_fsa_00031		14219	14458	240	CDS	Forward	C20	hypothetical protein
V043_fsa_00032		14710	14946	237	CDS	Reverse	C20	hypothetical protein
V043_fsa_00033		15034	15219	186	CDS	Forward	C20	hypothetical protein
V043_fsa_00034		15216	15749	534	CDS	Forward	C20	hypothetical protein
V043_fsa_00035		15746	15961	216	CDS	Forward	C20	hypothetical protein
