Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G004.fsa,G016.fsa,G073.fsa,G093.fsa,H011.fsa,H130.fsa,L070.fsa,L117.fsa,V002.fsa,V008.fsa,V050.fsa,V116.fsa
proA_2,proA_2,4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase,12,12,1.0,1,12377,,,,711,711,711.0,BEOABDLH_06723,IGIKDAHF_06033,DPGEGJOO_06510,MPBMMNBG_06116,INCINKBK_06330,AAIMJHFH_07268,CEOONHHG_06424,NAIMLHBL_06024,FBJECBCC_05940,DHFEOIJP_06209,EGPCAGCP_06281,FIDFLPKG_06768
group_7828,,hypothetical protein,12,12,1.0,1,12376,,,,492,492,492.0,BEOABDLH_04773,IGIKDAHF_04447,DPGEGJOO_04138,MPBMMNBG_04569,INCINKBK_04741,AAIMJHFH_05247,CEOONHHG_04323,NAIMLHBL_04397,FBJECBCC_04163,DHFEOIJP_04473,EGPCAGCP_04174,FIDFLPKG_04584
group_7827,,hypothetical protein,12,12,1.0,1,12375,,,,171,171,171.0,BEOABDLH_04771,IGIKDAHF_04445,DPGEGJOO_04136,MPBMMNBG_04567,INCINKBK_04739,AAIMJHFH_05245,CEOONHHG_04321,NAIMLHBL_04395,FBJECBCC_04161,DHFEOIJP_04471,EGPCAGCP_04172,FIDFLPKG_04582
group_7826,,putative sugar-binding periplasmic protein;hypothetical protein,12,12,1.0,1,12374,,,,129,1263,1119.75,BEOABDLH_02471,IGIKDAHF_02157,DPGEGJOO_01949,MPBMMNBG_02250,INCINKBK_02427,AAIMJHFH_02972,CEOONHHG_01936,NAIMLHBL_01999,FBJECBCC_04317,DHFEOIJP_00224,EGPCAGCP_01993,FIDFLPKG_04734
murF,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,12,12,1.0,1,12373,,,,1434,1434,1434.0,BEOABDLH_03992,IGIKDAHF_03657,DPGEGJOO_03346,MPBMMNBG_03686,INCINKBK_03919,AAIMJHFH_04462,CEOONHHG_03532,NAIMLHBL_03541,FBJECBCC_03371,DHFEOIJP_03662,EGPCAGCP_03383,FIDFLPKG_03711
hisZ,hisZ,ATP phosphoribosyltransferase regulatory subunit,12,12,1.0,1,12372,,,,1122,1122,1122.0,BEOABDLH_01429,IGIKDAHF_01115,DPGEGJOO_00962,MPBMMNBG_01306,INCINKBK_01439,AAIMJHFH_01883,CEOONHHG_00909,NAIMLHBL_00954,FBJECBCC_00997,DHFEOIJP_01157,EGPCAGCP_01012,FIDFLPKG_01254
ugpC_15~~~msmX_6,ugpC_15;msmX_6,sn-glycerol-3-phosphate import ATP-binding protein UgpC;Oligosaccharides import ATP-binding protein MsmX,12,12,1.0,1,12369,,,,1071,1071,1071.0,BEOABDLH_06875,IGIKDAHF_06228,DPGEGJOO_05334,MPBMMNBG_06317,INCINKBK_06517,AAIMJHFH_07420,CEOONHHG_06570,NAIMLHBL_06219,FBJECBCC_06088,DHFEOIJP_06400,EGPCAGCP_06421,FIDFLPKG_06917
group_7825,,putative 5-dehydro-4-deoxyglucarate dehydratase,12,12,1.0,1,12368,,,,906,906,906.0,BEOABDLH_06721,IGIKDAHF_06031,DPGEGJOO_06508,MPBMMNBG_06114,INCINKBK_06328,AAIMJHFH_07266,CEOONHHG_06422,NAIMLHBL_06022,FBJECBCC_05938,DHFEOIJP_06207,EGPCAGCP_06279,FIDFLPKG_06766
ytfT,ytfT,Inner membrane ABC transporter permease protein YtfT,12,12,1.0,1,12367,,,,1014,1014,1014.0,BEOABDLH_03028,IGIKDAHF_02627,DPGEGJOO_02390,MPBMMNBG_02705,INCINKBK_02915,AAIMJHFH_03477,CEOONHHG_02370,NAIMLHBL_02380,FBJECBCC_02414,DHFEOIJP_02668,EGPCAGCP_02420,FIDFLPKG_02749
dppB_9~~~dppB_8,dppB_9;dppB_8,Dipeptide transport system permease protein DppB,12,12,1.0,1,12366,,,,942,942,942.0,BEOABDLH_06346,IGIKDAHF_05918,DPGEGJOO_06296,MPBMMNBG_06007,INCINKBK_06153,AAIMJHFH_06608,CEOONHHG_06102,NAIMLHBL_05683,FBJECBCC_05725,DHFEOIJP_05569,EGPCAGCP_05643,FIDFLPKG_06491
cytR_4,cytR_4,HTH-type transcriptional repressor CytR,12,12,1.0,1,12365,,,,1032,1122,1039.5,BEOABDLH_04847,IGIKDAHF_04520,DPGEGJOO_04215,MPBMMNBG_04650,INCINKBK_04814,AAIMJHFH_05320,CEOONHHG_04400,NAIMLHBL_04470,FBJECBCC_04240,DHFEOIJP_04545,EGPCAGCP_04249,FIDFLPKG_04658
atpG~~~atpG_2,atpG;atpG_2,ATP synthase gamma chain,12,12,1.0,1,12362,,,,885,885,885.0,BEOABDLH_05087,IGIKDAHF_04764,DPGEGJOO_04453,MPBMMNBG_04882,INCINKBK_05060,AAIMJHFH_05529,CEOONHHG_04639,NAIMLHBL_04990,FBJECBCC_04479,DHFEOIJP_04783,EGPCAGCP_04492,FIDFLPKG_04895
argP_1~~~argP,argP_1;argP,HTH-type transcriptional regulator ArgP,12,12,1.0,1,12361,,,,921,921,921.0,BEOABDLH_00767,IGIKDAHF_00368,DPGEGJOO_00304,MPBMMNBG_00554,INCINKBK_00743,AAIMJHFH_01219,CEOONHHG_00215,NAIMLHBL_00227,FBJECBCC_00341,DHFEOIJP_00470,EGPCAGCP_00304,FIDFLPKG_00541
