Name	Gene	Start	End	Length	Type	Strand	Contig	Product
L102_fsa_00001	xylB_1	14	238	225	CDS	Forward	C10	Aryl-alcohol dehydrogenase
L102_fsa_00002		291	1370	1080	CDS	Forward	C10	hypothetical protein
L102_fsa_00003	davD_1	1447	2937	1491	CDS	Forward	C10	Glutarate-semialdehyde dehydrogenase
L102_fsa_00004		3290	3697	408	CDS	Forward	C10	hypothetical protein
L102_fsa_00005		4446	4676	231	CDS	Reverse	C10	hypothetical protein
L102_fsa_00006		4757	4999	243	CDS	Reverse	C10	hypothetical protein
L102_fsa_00007	pgrR_1	5424	6323	900	CDS	Reverse	C10	HTH-type transcriptional regulator PgrR
L102_fsa_00008		6719	7348	630	CDS	Forward	C10	hypothetical protein
L102_fsa_00009	traR	7659	8363	705	CDS	Forward	C10	Transcriptional activator protein TraR
L102_fsa_00010	traM	8372	8680	309	CDS	Reverse	C10	Transcriptional repressor TraM
L102_fsa_00011		8997	9623	627	CDS	Reverse	C10	hypothetical protein
L102_fsa_00012		9636	10835	1200	CDS	Reverse	C10	hypothetical protein
L102_fsa_00013		10852	11382	531	CDS	Reverse	C10	hypothetical protein
L102_fsa_00014	recD2_1	11379	14681	3303	CDS	Reverse	C10	ATP-dependent RecD-like DNA helicase
L102_fsa_00015		14935	15231	297	CDS	Forward	C10	hypothetical protein
L102_fsa_00016		15236	15451	216	CDS	Forward	C10	hypothetical protein
L102_fsa_00017		15438	17381	1944	CDS	Forward	C10	hypothetical protein
L102_fsa_00018		17414	17593	180	CDS	Forward	C10	hypothetical protein
L102_fsa_00019		17559	18074	516	CDS	Forward	C10	hypothetical protein
L102_fsa_00020		18146	18643	498	CDS	Forward	C10	hypothetical protein
L102_fsa_00021		18679	18852	174	CDS	Reverse	C10	hypothetical protein
L102_fsa_00022		19116	19286	171	CDS	Reverse	C10	hypothetical protein
L102_fsa_00023		19333	19482	150	CDS	Forward	C10	hypothetical protein
L102_fsa_00024		19672	20085	414	CDS	Forward	C10	hypothetical protein
L102_fsa_00025		20227	20829	603	CDS	Forward	C10	hypothetical protein
L102_fsa_00026		20891	21199	309	CDS	Reverse	C10	hypothetical protein
