Name	Gene	Start	End	Length	Type	Strand	Contig	Product
H130_fsa_00001	fusA	194	2293	2100	CDS	Reverse	C121	Elongation factor G
H130_fsa_00002	rpsG	2323	2793	471	CDS	Reverse	C121	30S ribosomal protein S7
H130_fsa_00003	rpsL	2872	3243	372	CDS	Reverse	C121	30S ribosomal protein S12
H130_fsa_00004		3741	4034	294	CDS	Forward	C121	hypothetical protein
H130_fsa_00005		714	1343	630	CDS	Reverse	C13	hypothetical protein
H130_fsa_00006	dmlR_1	1738	2637	900	CDS	Forward	C13	HTH-type transcriptional regulator DmlR
H130_fsa_00007		2918	3433	516	CDS	Reverse	C13	hypothetical protein
H130_fsa_00008	gbsA	3675	5165	1491	CDS	Reverse	C13	Betaine aldehyde dehydrogenase
H130_fsa_00009		5242	6321	1080	CDS	Reverse	C13	hypothetical protein
H130_fsa_00010	xylB_1	6374	7492	1119	CDS	Reverse	C13	Aryl-alcohol dehydrogenase
H130_fsa_00011		7754	8608	855	CDS	Reverse	C13	hypothetical protein
H130_fsa_00012		8806	10485	1680	CDS	Forward	C13	hypothetical protein
H130_fsa_00013	iolG_1	10607	11707	1101	CDS	Forward	C13	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
H130_fsa_00014	yajO_1	11839	12855	1017	CDS	Forward	C13	1-deoxyxylulose-5-phosphate synthase YajO
H130_fsa_00015	syrM1	12895	13863	969	CDS	Forward	C13	HTH-type transcriptional regulator SyrM 1
H130_fsa_00016	ybiS	13922	14416	495	CDS	Reverse	C13	putative L%2CD-transpeptidase YbiS
H130_fsa_00017	dmlR_2	14769	15686	918	CDS	Reverse	C13	HTH-type transcriptional regulator DmlR
H130_fsa_00018		15840	16589	750	CDS	Reverse	C13	hypothetical protein
H130_fsa_00019	dapb3	16598	18502	1905	CDS	Reverse	C13	Dipeptidyl aminopeptidase BIII
H130_fsa_00020		18731	19036	306	CDS	Forward	C13	hypothetical protein
H130_fsa_00021	qseB_1	19384	20058	675	CDS	Forward	C13	Transcriptional regulatory protein QseB
H130_fsa_00022	sasA_1	20045	21412	1368	CDS	Forward	C13	Adaptive-response sensory-kinase SasA
H130_fsa_00023	ampC_1	21642	22799	1158	CDS	Forward	C13	Beta-lactamase
H130_fsa_00024		23492	23821	330	CDS	Reverse	C13	hypothetical protein
H130_fsa_00025		23818	24816	999	CDS	Reverse	C13	Zinc-type alcohol dehydrogenase-like protein
H130_fsa_00026	dmlR_3	24958	25884	927	CDS	Forward	C13	HTH-type transcriptional regulator DmlR
H130_fsa_00027	nepI_1	26178	27365	1188	CDS	Reverse	C13	Purine ribonucleoside efflux pump NepI
H130_fsa_00028	bdcA_1	27550	28314	765	CDS	Reverse	C13	Cyclic-di-GMP-binding biofilm dispersal mediator protein
H130_fsa_00029	pgrR_1	28480	29295	816	CDS	Reverse	C13	HTH-type transcriptional regulator PgrR
H130_fsa_00030		29599	30195	597	CDS	Forward	C13	hypothetical protein
H130_fsa_00031	qorA_1	30261	31214	954	CDS	Forward	C13	Quinone oxidoreductase 1
H130_fsa_00032	bdcA_2	31310	32047	738	CDS	Forward	C13	Cyclic-di-GMP-binding biofilm dispersal mediator protein
H130_fsa_00033	tgnD_1	32524	33246	723	CDS	Forward	C13	(E)-2-((N-methylformamido)methylene)succinate hydrolase
H130_fsa_00034	iolG_2	33405	34556	1152	CDS	Forward	C13	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
H130_fsa_00035	macB_1	35100	37049	1950	CDS	Reverse	C13	Macrolide export ATP-binding/permease protein MacB
H130_fsa_00036	macA_1	37058	38251	1194	CDS	Reverse	C13	Macrolide export protein MacA
H130_fsa_00037	sasA_2	38430	39794	1365	CDS	Reverse	C13	Adaptive-response sensory-kinase SasA
H130_fsa_00038		40186	40311	126	CDS	Reverse	C13	hypothetical protein
H130_fsa_00039		40434	41546	1113	CDS	Reverse	C13	hypothetical protein
H130_fsa_00040		41650	42492	843	CDS	Forward	C13	hypothetical protein
H130_fsa_00041		42558	42959	402	CDS	Forward	C13	hypothetical protein
H130_fsa_00042		43341	44306	966	CDS	Reverse	C13	hypothetical protein
H130_fsa_00043		44303	44962	660	CDS	Reverse	C13	hypothetical protein
H130_fsa_00044		45176	46609	1434	CDS	Reverse	C13	hypothetical protein
H130_fsa_00045		47423	47560	138	CDS	Forward	C13	hypothetical protein
H130_fsa_00046	cynT_1	48320	49021	702	CDS	Forward	C13	Carbonic anhydrase 1
H130_fsa_00047	dauA	49026	50558	1533	CDS	Forward	C13	C4-dicarboxylic acid transporter DauA
H130_fsa_00048		50784	52085	1302	CDS	Reverse	C13	Gluconate 2-dehydrogenase cytochrome c subunit
H130_fsa_00049	iorB_1	52082	54289	2208	CDS	Reverse	C13	Isoquinoline 1-oxidoreductase subunit beta
H130_fsa_00050		54291	54815	525	CDS	Reverse	C13	hypothetical protein
H130_fsa_00051	ydhP_1	54904	56088	1185	CDS	Reverse	C13	Inner membrane transport protein YdhP
H130_fsa_00052	comR_1	56220	56840	621	CDS	Reverse	C13	HTH-type transcriptional repressor ComR
H130_fsa_00053		56837	57421	585	CDS	Reverse	C13	hypothetical protein
H130_fsa_00054	mdlC	57968	59623	1656	CDS	Reverse	C13	Benzoylformate decarboxylase
H130_fsa_00055		60007	60144	138	CDS	Reverse	C13	hypothetical protein
H130_fsa_00056	pycA_1	60431	63937	3507	CDS	Reverse	C13	Pyruvate carboxylase
H130_fsa_00057	can	63961	64578	618	CDS	Reverse	C13	Carbonic anhydrase 2
H130_fsa_00058		64621	64842	222	CDS	Reverse	C13	hypothetical protein
H130_fsa_00059		64854	66518	1665	CDS	Reverse	C13	Electron transfer flavoprotein-ubiquinone oxidoreductase
H130_fsa_00060	etfA_1	66518	67459	942	CDS	Reverse	C13	Electron transfer flavoprotein subunit alpha
H130_fsa_00061	etfB_1	67482	68231	750	CDS	Reverse	C13	Electron transfer flavoprotein subunit beta
H130_fsa_00062		68245	69042	798	CDS	Reverse	C13	Citrate lyase subunit beta-like protein
H130_fsa_00063	meh	69039	69899	861	CDS	Reverse	C13	Mesaconyl-C(4)-CoA hydratase
H130_fsa_00064	yfdE_1	69896	71020	1125	CDS	Reverse	C13	Acetyl-CoA:oxalate CoA-transferase
H130_fsa_00065		71020	72183	1164	CDS	Reverse	C13	Acyl-CoA dehydrogenase fadE12
H130_fsa_00066	tgnC_1	72226	73713	1488	CDS	Reverse	C13	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
H130_fsa_00067		73729	74325	597	CDS	Reverse	C13	hypothetical protein
H130_fsa_00068		74313	74852	540	CDS	Reverse	C13	hypothetical protein
H130_fsa_00069	hdfR_1	74978	75952	975	CDS	Forward	C13	HTH-type transcriptional regulator HdfR
H130_fsa_00070	hdfR_2	75993	76910	918	CDS	Forward	C13	HTH-type transcriptional regulator HdfR
H130_fsa_00071	dadD_1	76935	78359	1425	CDS	Reverse	C13	5'-deoxyadenosine deaminase
H130_fsa_00072		78392	78826	435	CDS	Forward	C13	hypothetical protein
H130_fsa_00073		79205	80401	1197	CDS	Reverse	C13	Methionine aminopeptidase 1%2C mitochondrial
H130_fsa_00074		80428	81378	951	CDS	Reverse	C13	Oxaloacetate decarboxylase
H130_fsa_00075		81329	82702	1374	CDS	Reverse	C13	hypothetical protein
H130_fsa_00076		82686	83432	747	CDS	Reverse	C13	hypothetical protein
H130_fsa_00077	fabG3	83449	84234	786	CDS	Reverse	C13	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
H130_fsa_00078	livF_1	84275	84991	717	CDS	Reverse	C13	High-affinity branched-chain amino acid transport ATP-binding protein LivF
H130_fsa_00079	lptB_1	84988	85740	753	CDS	Reverse	C13	Lipopolysaccharide export system ATP-binding protein LptB
H130_fsa_00080		85737	86711	975	CDS	Reverse	C13	hypothetical protein
H130_fsa_00081	livH_1	86741	87661	921	CDS	Reverse	C13	High-affinity branched-chain amino acid transport system permease protein LivH
H130_fsa_00082		87722	88885	1164	CDS	Reverse	C13	Leu/Ile/Val-binding protein 
H130_fsa_00083	dmoA_1	89374	90678	1305	CDS	Reverse	C13	Dimethyl-sulfide monooxygenase
H130_fsa_00084	rutF_1	90766	91302	537	CDS	Reverse	C13	FMN reductase (NADH) RutF
H130_fsa_00085	dmlR_4	91448	92413	966	CDS	Forward	C13	HTH-type transcriptional regulator DmlR
H130_fsa_00086	liuE	92538	93455	918	CDS	Reverse	C13	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
H130_fsa_00087	norG_1	93448	94845	1398	CDS	Reverse	C13	HTH-type transcriptional regulator NorG
H130_fsa_00088	mvaA	94972	96264	1293	CDS	Forward	C13	3-hydroxy-3-methylglutaryl-coenzyme A reductase
H130_fsa_00089		96326	96784	459	CDS	Forward	C13	hypothetical protein
H130_fsa_00090		96786	98168	1383	CDS	Forward	C13	hypothetical protein
H130_fsa_00091		98221	98778	558	CDS	Forward	C13	Lactonase drp35
H130_fsa_00092		98810	99238	429	CDS	Forward	C13	Lactonase drp35
H130_fsa_00093		99462	101042	1581	CDS	Forward	C13	putative protein RP789
H130_fsa_00094	dapE_1	101580	102983	1404	CDS	Reverse	C13	Succinyl-diaminopimelate desuccinylase
H130_fsa_00095	metC_1	103026	104240	1215	CDS	Reverse	C13	Cystathionine beta-lyase
H130_fsa_00096	occR	104351	105226	876	CDS	Forward	C13	Octopine catabolism/uptake operon regulatory protein OccR
H130_fsa_00097	glnQ_1	105256	106032	777	CDS	Reverse	C13	Glutamine transport ATP-binding protein GlnQ
H130_fsa_00098		106029	106838	810	CDS	Reverse	C13	hypothetical protein
H130_fsa_00099		106951	107961	1011	CDS	Reverse	C13	hypothetical protein
H130_fsa_00100	rhaS_1	108256	109233	978	CDS	Reverse	C13	HTH-type transcriptional activator RhaS
H130_fsa_00101	lgoT	109342	110655	1314	CDS	Forward	C13	putative L-galactonate transporter
H130_fsa_00102	fabG_1	110709	111560	852	CDS	Forward	C13	3-oxoacyl-[acyl-carrier-protein] reductase FabG
H130_fsa_00103	yajO_2	111630	112679	1050	CDS	Forward	C13	1-deoxyxylulose-5-phosphate synthase YajO
H130_fsa_00104		112823	113806	984	CDS	Forward	C13	hypothetical protein
H130_fsa_00105		113810	114448	639	CDS	Forward	C13	hypothetical protein
H130_fsa_00106		114445	115083	639	CDS	Forward	C13	hypothetical protein
H130_fsa_00107		115206	115766	561	CDS	Forward	C13	hypothetical protein
H130_fsa_00108		115965	116438	474	CDS	Forward	C13	hypothetical protein
H130_fsa_00109		116435	117262	828	CDS	Forward	C13	hypothetical protein
H130_fsa_00110	iorA_1	117355	117822	468	CDS	Forward	C13	Isoquinoline 1-oxidoreductase subunit alpha
H130_fsa_00111		117819	118511	693	CDS	Forward	C13	hypothetical protein
H130_fsa_00112	iorB_2	118551	120743	2193	CDS	Forward	C13	Isoquinoline 1-oxidoreductase subunit beta
H130_fsa_00113	paoA_1	120940	121557	618	CDS	Forward	C13	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
H130_fsa_00114	paoB_1	121561	122562	1002	CDS	Forward	C13	Aldehyde oxidoreductase FAD-binding subunit PaoB
H130_fsa_00115	paoC_1	122559	124739	2181	CDS	Forward	C13	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
H130_fsa_00116		124865	125230	366	CDS	Reverse	C13	hypothetical protein
