	V050.fsa	H011.fsa	G073.fsa	G004.fsa	V002.fsa	G016.fsa	L070.fsa	V116.fsa	H130.fsa	V008.fsa	G093.fsa	L117.fsa
V050.fsa	1.0	0.9459273473764004	0.9888938144084881	0.9893968924223736	0.9888459778897719	0.9466321848956096	0.9899084457160521	0.9895431676569882	0.9891643046645775	0.9459370095695123	0.9477701479571299	0.9462719381713975
H011.fsa	0.9459273473764004	1.0	0.9458791143980319	0.9456186254700673	0.9459015918728543	0.9688294538269309	0.9457108108015384	0.9456673951327152	0.9453070552362905	0.976964748275632	0.9524869368863923	0.9687737920218923
G073.fsa	0.9888938144084881	0.9458791143980319	1.0	0.988526992605094	0.9999128150275495	0.9461457752600854	0.9880039136209608	0.9876406255509245	0.9884744929346961	0.9461081579959912	0.9472829879599263	0.9459296041658753
G004.fsa	0.9893968924223736	0.9456186254700673	0.988526992605094	1.0	0.98851685228835	0.9463801130598835	0.9894854185957331	0.9894671020555279	0.9950382677996542	0.9459180150803579	0.9473691949839077	0.9460785236683233
V002.fsa	0.9888459778897719	0.9459015918728543	0.9999128150275495	0.98851685228835	1.0	0.9461947221471674	0.9880263842333736	0.9875912336325986	0.988534825794023	0.9461193556666012	0.9473207732252245	0.9459828945746371
G016.fsa	0.9466321848956096	0.9688294538269309	0.9461457752600854	0.9463801130598835	0.9461947221471674	1.0	0.9463967672158874	0.9458094781016101	0.9462738015366928	0.969535357809962	0.9547907643149433	0.9971309864682179
L070.fsa	0.9899084457160521	0.9457108108015384	0.9880039136209608	0.9894854185957331	0.9880263842333736	0.9463967672158874	1.0	0.9890136577225418	0.9886141352142287	0.9459802708144754	0.9472820960392963	0.9459088831327137
V116.fsa	0.9895431676569882	0.9456673951327152	0.9876406255509245	0.9894671020555279	0.9875912336325986	0.9458094781016101	0.9890136577225418	1.0	0.9886262440317756	0.945223626567703	0.9467784657847256	0.9458164091742282
H130.fsa	0.9891643046645775	0.9453070552362905	0.9884744929346961	0.9950382677996542	0.988534825794023	0.9462738015366928	0.9886141352142287	0.9886262440317756	1.0	0.9457027245287773	0.9471870894044543	0.946002373726375
V008.fsa	0.9459370095695123	0.976964748275632	0.9461081579959912	0.9459180150803579	0.9461193556666012	0.969535357809962	0.9459802708144754	0.945223626567703	0.9457027245287773	1.0	0.9529076889640112	0.9689437044442402
G093.fsa	0.9477701479571299	0.9524869368863923	0.9472829879599263	0.9473691949839077	0.9473207732252245	0.9547907643149433	0.9472820960392963	0.9467784657847256	0.9471870894044543	0.9529076889640112	1.0	0.9546994056287108
L117.fsa	0.9462719381713975	0.9687737920218923	0.9459296041658753	0.9460785236683233	0.9459828945746371	0.9971309864682179	0.9459088831327137	0.9458164091742282	0.946002373726375	0.9689437044442402	0.9546994056287108	1.0
