Name	Gene	Start	End	Length	Type	Strand	Contig	Product
H031_fsa_00001	fumC_1	5	403	399	CDS	Forward	C107	Fumarate hydratase class II
H031_fsa_00002	fmt_1	1	240	240	CDS	Forward	C109	Methionyl-tRNA formyltransferase
H031_fsa_00003		184	489	306	CDS	Reverse	C112	hypothetical protein
H031_fsa_00004		118	378	261	CDS	Reverse	C115	hypothetical protein
H031_fsa_00005		39	284	246	CDS	Forward	C119	hypothetical protein
H031_fsa_00006		657	1085	429	CDS	Forward	C32	hypothetical protein
H031_fsa_00007		1141	1488	348	CDS	Forward	C32	hypothetical protein
H031_fsa_00008		1519	1869	351	CDS	Forward	C32	hypothetical protein
H031_fsa_00009		1883	2218	336	CDS	Forward	C32	hypothetical protein
H031_fsa_00010	nrdH_1	2215	2460	246	CDS	Forward	C32	Glutaredoxin-like protein NrdH
H031_fsa_00011		2719	3504	786	CDS	Forward	C32	hypothetical protein
H031_fsa_00012		3578	3892	315	CDS	Forward	C32	hypothetical protein
H031_fsa_00013		3987	4565	579	CDS	Forward	C32	hypothetical protein
H031_fsa_00014		4633	4773	141	CDS	Forward	C32	hypothetical protein
H031_fsa_00015		4821	5012	192	CDS	Forward	C32	hypothetical protein
H031_fsa_00016		5075	5398	324	CDS	Forward	C32	hypothetical protein
H031_fsa_00017		5454	5804	351	CDS	Forward	C32	hypothetical protein
H031_fsa_00018		5913	6788	876	CDS	Forward	C32	hypothetical protein
H031_fsa_00019		7079	7441	363	CDS	Forward	C32	hypothetical protein
H031_fsa_00020		7488	7808	321	CDS	Forward	C32	hypothetical protein
H031_fsa_00021		7810	8289	480	CDS	Forward	C32	hypothetical protein
H031_fsa_00022		8286	8549	264	CDS	Forward	C32	hypothetical protein
H031_fsa_00023		8549	8977	429	CDS	Forward	C32	hypothetical protein
H031_fsa_00024		9049	9486	438	CDS	Forward	C32	hypothetical protein
H031_fsa_00025		9727	9927	201	CDS	Forward	C32	hypothetical protein
H031_fsa_00026		9948	10184	237	CDS	Forward	C32	hypothetical protein
H031_fsa_00027		10181	10582	402	CDS	Forward	C32	hypothetical protein
H031_fsa_00028		10615	10944	330	CDS	Forward	C32	hypothetical protein
H031_fsa_00029		10968	11423	456	CDS	Forward	C32	hypothetical protein
H031_fsa_00030		11670	11861	192	CDS	Forward	C32	hypothetical protein
H031_fsa_00031		11931	12743	813	CDS	Forward	C32	hypothetical protein
H031_fsa_00032		12868	13518	651	CDS	Reverse	C32	hypothetical protein
H031_fsa_00033		13731	14012	282	CDS	Forward	C32	hypothetical protein
H031_fsa_00034		14172	15464	1293	CDS	Forward	C32	hypothetical protein
H031_fsa_00035		15634	16185	552	CDS	Forward	C32	Tn3 family transposase ISYps3
H031_fsa_00036		16203	16796	594	CDS	Forward	C32	hypothetical protein
H031_fsa_00037		16797	17336	540	CDS	Reverse	C32	hypothetical protein
H031_fsa_00038		17358	18212	855	CDS	Reverse	C32	hypothetical protein
H031_fsa_00039	hin	18393	18995	603	CDS	Forward	C32	DNA-invertase hin
H031_fsa_00040		19260	20444	1185	CDS	Forward	C32	hypothetical protein
H031_fsa_00041		20441	20539	99	CDS	Forward	C32	hypothetical protein
H031_fsa_00042	noc_1	20529	21515	987	CDS	Forward	C32	Nucleoid occlusion protein
H031_fsa_00043		21715	22908	1194	CDS	Forward	C32	hypothetical protein
H031_fsa_00044		23263	24327	1065	CDS	Forward	C32	hypothetical protein
H031_fsa_00045		24406	24795	390	CDS	Forward	C32	hypothetical protein
H031_fsa_00046		24767	25171	405	CDS	Reverse	C32	hypothetical protein
H031_fsa_00047		25238	26032	795	CDS	Reverse	C32	hypothetical protein
H031_fsa_00048		26064	26915	852	CDS	Reverse	C32	hypothetical protein
H031_fsa_00049		26943	27425	483	CDS	Reverse	C32	hypothetical protein
H031_fsa_00050		27752	28069	318	CDS	Forward	C32	hypothetical protein
H031_fsa_00051	recD2_1	28073	32554	4482	CDS	Forward	C32	ATP-dependent RecD-like DNA helicase
H031_fsa_00052		32744	33007	264	CDS	Reverse	C32	hypothetical protein
H031_fsa_00053		33009	33857	849	CDS	Reverse	C32	hypothetical protein
H031_fsa_00054		33927	34409	483	CDS	Reverse	C32	hypothetical protein
H031_fsa_00055		34475	34876	402	CDS	Reverse	C32	hypothetical protein
H031_fsa_00056		34876	35139	264	CDS	Reverse	C32	hypothetical protein
H031_fsa_00057		35132	35941	810	CDS	Reverse	C32	hypothetical protein
H031_fsa_00058		36309	36497	189	CDS	Forward	C32	hypothetical protein
H031_fsa_00059		36494	37636	1143	CDS	Forward	C32	hypothetical protein
H031_fsa_00060		37641	40025	2385	CDS	Forward	C32	hypothetical protein
H031_fsa_00061		40292	40603	312	CDS	Forward	C32	hypothetical protein
H031_fsa_00062		40623	42668	2046	CDS	Forward	C32	hypothetical protein
H031_fsa_00063		42665	42862	198	CDS	Forward	C32	hypothetical protein
