locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPLECIBJ_00001	CDS	744				hypothetical protein
HPLECIBJ_00002	CDS	456				hypothetical protein
HPLECIBJ_00003	CDS	393				hypothetical protein
HPLECIBJ_00004	CDS	726				hypothetical protein
HPLECIBJ_00005	CDS	255				hypothetical protein
HPLECIBJ_00006	CDS	390				hypothetical protein
HPLECIBJ_00007	CDS	342				hypothetical protein
HPLECIBJ_00008	CDS	594				hypothetical protein
HPLECIBJ_00009	CDS	528				hypothetical protein
HPLECIBJ_00010	CDS	471				hypothetical protein
HPLECIBJ_00011	CDS	306				hypothetical protein
HPLECIBJ_00012	CDS	798				hypothetical protein
HPLECIBJ_00013	CDS	1386				hypothetical protein
HPLECIBJ_00014	CDS	2055				hypothetical protein
HPLECIBJ_00015	CDS	420	tnpR		COG1961	Transposon gamma-delta resolvase
HPLECIBJ_00016	CDS	1632				hypothetical protein
HPLECIBJ_00017	CDS	1197	pomZ		COG1192	Cell division protein PomZ
HPLECIBJ_00018	CDS	978	noc_1			Nucleoid occlusion protein
HPLECIBJ_00019	CDS	1293				hypothetical protein
HPLECIBJ_00020	CDS	882				hypothetical protein
HPLECIBJ_00021	CDS	879				hypothetical protein
HPLECIBJ_00022	CDS	906				hypothetical protein
HPLECIBJ_00023	CDS	591				hypothetical protein
HPLECIBJ_00024	CDS	222				hypothetical protein
HPLECIBJ_00025	CDS	840				hypothetical protein
HPLECIBJ_00026	CDS	198				hypothetical protein
HPLECIBJ_00027	CDS	753				hypothetical protein
HPLECIBJ_00028	CDS	414				hypothetical protein
HPLECIBJ_00029	CDS	681				hypothetical protein
HPLECIBJ_00030	CDS	375				hypothetical protein
HPLECIBJ_00031	CDS	249				hypothetical protein
HPLECIBJ_00032	CDS	786				hypothetical protein
HPLECIBJ_00033	CDS	849				hypothetical protein
HPLECIBJ_00034	CDS	450				hypothetical protein
HPLECIBJ_00035	CDS	306				hypothetical protein
HPLECIBJ_00036	CDS	4380	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
HPLECIBJ_00037	CDS	528				hypothetical protein
HPLECIBJ_00038	CDS	1938				hypothetical protein
HPLECIBJ_00039	CDS	267				hypothetical protein
HPLECIBJ_00040	CDS	2376				hypothetical protein
HPLECIBJ_00041	CDS	147				hypothetical protein
HPLECIBJ_00042	CDS	195				hypothetical protein
HPLECIBJ_00043	CDS	891				hypothetical protein
HPLECIBJ_00044	CDS	765				hypothetical protein
HPLECIBJ_00045	CDS	750				hypothetical protein
HPLECIBJ_00046	CDS	1149				hypothetical protein
HPLECIBJ_00047	CDS	444				hypothetical protein
HPLECIBJ_00048	CDS	624				hypothetical protein
HPLECIBJ_00049	CDS	189				hypothetical protein
HPLECIBJ_00050	CDS	597				hypothetical protein
HPLECIBJ_00051	CDS	351				hypothetical protein
HPLECIBJ_00052	CDS	615				hypothetical protein
HPLECIBJ_00053	CDS	234				hypothetical protein
HPLECIBJ_00054	CDS	744				hypothetical protein
HPLECIBJ_00055	CDS	354				hypothetical protein
HPLECIBJ_00056	CDS	222				hypothetical protein
HPLECIBJ_00057	CDS	312				hypothetical protein
HPLECIBJ_00058	CDS	606				hypothetical protein
HPLECIBJ_00059	CDS	486				hypothetical protein
HPLECIBJ_00060	CDS	294				hypothetical protein
HPLECIBJ_00061	CDS	333				hypothetical protein
HPLECIBJ_00062	CDS	876				hypothetical protein
HPLECIBJ_00063	CDS	624				hypothetical protein
HPLECIBJ_00064	CDS	1092				hypothetical protein
HPLECIBJ_00065	CDS	711				hypothetical protein
HPLECIBJ_00066	CDS	462				hypothetical protein
HPLECIBJ_00067	CDS	195				hypothetical protein
HPLECIBJ_00068	CDS	291				hypothetical protein
HPLECIBJ_00069	CDS	672				hypothetical protein
HPLECIBJ_00070	CDS	798				hypothetical protein
HPLECIBJ_00071	CDS	2484				hypothetical protein
HPLECIBJ_00072	CDS	171				hypothetical protein
HPLECIBJ_00073	CDS	717				hypothetical protein
HPLECIBJ_00074	CDS	2571				hypothetical protein
HPLECIBJ_00075	CDS	1428				hypothetical protein
HPLECIBJ_00076	CDS	294				hypothetical protein
HPLECIBJ_00077	CDS	207				hypothetical protein
HPLECIBJ_00078	CDS	684				hypothetical protein
HPLECIBJ_00079	CDS	198				hypothetical protein
HPLECIBJ_00080	CDS	519				hypothetical protein
HPLECIBJ_00081	CDS	852				hypothetical protein
HPLECIBJ_00082	CDS	213				hypothetical protein
HPLECIBJ_00083	CDS	498				hypothetical protein
HPLECIBJ_00084	CDS	639				hypothetical protein
HPLECIBJ_00085	CDS	546				hypothetical protein
HPLECIBJ_00086	CDS	591				hypothetical protein
HPLECIBJ_00087	CDS	390				hypothetical protein
HPLECIBJ_00088	CDS	711	dipZ_1		COG0785	Protein DipZ
HPLECIBJ_00089	CDS	1038				hypothetical protein
HPLECIBJ_00090	CDS	813				hypothetical protein
HPLECIBJ_00091	CDS	582				hypothetical protein
HPLECIBJ_00092	CDS	186				hypothetical protein
HPLECIBJ_00093	CDS	651				hypothetical protein
HPLECIBJ_00094	CDS	279				hypothetical protein
HPLECIBJ_00095	CDS	354				hypothetical protein
HPLECIBJ_00096	CDS	336				hypothetical protein
HPLECIBJ_00097	CDS	402				hypothetical protein
HPLECIBJ_00098	CDS	636				hypothetical protein
HPLECIBJ_00099	CDS	741				hypothetical protein
HPLECIBJ_00100	CDS	1035				hypothetical protein
HPLECIBJ_00101	CDS	687				hypothetical protein
HPLECIBJ_00102	CDS	174				hypothetical protein
HPLECIBJ_00103	CDS	1260				hypothetical protein
HPLECIBJ_00104	CDS	240				hypothetical protein
HPLECIBJ_00105	CDS	321				hypothetical protein
HPLECIBJ_00106	CDS	405				hypothetical protein
HPLECIBJ_00107	CDS	234				hypothetical protein
HPLECIBJ_00108	CDS	201				hypothetical protein
HPLECIBJ_00109	CDS	216				hypothetical protein
HPLECIBJ_00110	CDS	387				hypothetical protein
HPLECIBJ_00111	CDS	339				hypothetical protein
HPLECIBJ_00112	CDS	144				hypothetical protein
HPLECIBJ_00113	CDS	639				hypothetical protein
