	H012.fsa	L019.fsa	G077.fsa	L008.fsa	H082.fsa	G067.fsa	G099.fsa	V074.fsa	V068.fsa	G011.fsa	G028.fsa	V050.fsa	H011.fsa	L104.fsa	G007.fsa	G073.fsa	G008.fsa	V060.fsa	V100.fsa	G004.fsa	H005.fsa	G108.fsa	V002.fsa	V057.fsa	V069.fsa	L074.fsa	G016.fsa	L111.fsa	V030.fsa	L079.fsa	L070.fsa	V010.fsa	H178.fsa	V014.fsa	L102.fsa	G094.fsa	V116.fsa	H031.fsa	G109.fsa	L082.fsa	G051.fsa	H130.fsa	V067.fsa	H127.fsa	V006.fsa	V008.fsa	G093.fsa	V004.fsa	G083.fsa	G088.fsa	V043.fsa	L117.fsa
H012.fsa	7483624.0	5813126.0	5821566.0	5779092.0	5692498.0	5843325.0	5790494.0	5915448.0	6444960.0	6601070.0	5721201.0	5784684.0	7053066.0	5795627.0	5889308.0	5809304.0	5814762.0	2877476.0	6548001.0	5835523.0	6768537.0	5841910.0	5806646.0	6131409.0	5792278.0	5765608.0	6384820.0	5830146.0	5759456.0	5839174.0	5817266.0	6771936.0	5640930.0	7031916.0	5774528.0	5695539.0	5887767.0	6057051.0	5800179.0	5499545.0	5863805.0	5884726.0	6644052.0	7293153.0	5803966.0	6652767.0	6119081.0	6606574.0	6639179.0	5817255.0	5790758.0	6316353.0
L019.fsa	5813126.0	7629133.0	6864762.0	6795840.0	6256271.0	6930766.0	6797267.0	6378551.0	5732568.0	5851215.0	6797366.0	6823593.0	5826293.0	6869559.0	6929411.0	6856657.0	7639809.0	3077188.0	5903679.0	6839820.0	5885365.0	6930304.0	6846918.0	7312584.0	6787806.0	6717851.0	5885256.0	6944026.0	6811980.0	6869479.0	7638099.0	5874976.0	5741904.0	5826417.0	6725223.0	6259280.0	6827619.0	5890459.0	6783423.0	5798045.0	6806865.0	6832573.0	5857800.0	5844444.0	6936651.0	5843760.0	5884481.0	5851775.0	5836033.0	7609730.0	6829272.0	5827590.0
G077.fsa	5821566.0	6864762.0	7536817.0	6965013.0	6218157.0	6791047.0	6747276.0	6348481.0	5736975.0	5831002.0	6742037.0	6997093.0	5804734.0	6797408.0	6808749.0	6762572.0	6874829.0	2938227.0	6093983.0	6843970.0	5890961.0	6792194.0	6754481.0	7168152.0	6798395.0	6698947.0	5984576.0	6801238.0	6697690.0	7505697.0	6875198.0	5881190.0	5785680.0	5809253.0	6716471.0	6225649.0	6807901.0	5957758.0	6803757.0	5870130.0	6814921.0	6804705.0	5917450.0	5883393.0	6784903.0	5917842.0	6031532.0	5825057.0	5873803.0	6874903.0	6999514.0	5874462.0
L008.fsa	5779092.0	6795840.0	6965013.0	7804458.0	6168322.0	6720712.0	7477000.0	6334241.0	5676350.0	5853561.0	6735070.0	7181155.0	5777360.0	6868223.0	6764710.0	6722609.0	6803573.0	2947682.0	5915586.0	6744836.0	5808134.0	6721339.0	6718771.0	7160877.0	6921912.0	6699406.0	5778611.0	6713327.0	6698366.0	6980441.0	6802930.0	5811195.0	5734998.0	5782548.0	6710035.0	6169069.0	7102397.0	5817894.0	6937546.0	5821783.0	6936413.0	6774270.0	5859586.0	5789214.0	6739050.0	5868552.0	5903873.0	5818500.0	5855003.0	6802608.0	7203386.0	5766784.0
H082.fsa	5692498.0	6256271.0	6218157.0	6168322.0	7376650.0	6186318.0	6156183.0	6139596.0	5647764.0	5753413.0	6154890.0	6177520.0	5712577.0	6186128.0	6213038.0	6153425.0	6255673.0	2935929.0	5803544.0	6240787.0	5736708.0	6183098.0	6143481.0	6516190.0	6216263.0	6117459.0	5720178.0	6202683.0	6186190.0	6223804.0	6256312.0	5728066.0	5678025.0	5714972.0	6121898.0	7316414.0	6195589.0	5877849.0	6208606.0	5750111.0	6189731.0	6206072.0	5753031.0	5724645.0	6199198.0	5736997.0	5874192.0	5741692.0	5732872.0	6252337.0	6172733.0	5738862.0
G067.fsa	5843325.0	6930766.0	6791047.0	6720712.0	6186318.0	7633005.0	6770617.0	6381516.0	5734328.0	5839129.0	6698380.0	6754350.0	5813610.0	6758777.0	7440956.0	6734851.0	6931844.0	3041404.0	5895966.0	7160940.0	5889706.0	7654678.0	6721327.0	7708586.0	6725813.0	6765199.0	5874337.0	6864457.0	6760059.0	6795839.0	6931177.0	5870302.0	5708736.0	5817482.0	6765407.0	6192174.0	6750776.0	5860971.0	6725702.0	5759362.0	6812321.0	7379847.0	5836779.0	5862390.0	7347921.0	5837524.0	5863369.0	5833152.0	5835981.0	6929313.0	6757858.0	5830133.0
G099.fsa	5790494.0	6797267.0	6747276.0	7477000.0	6156183.0	6770617.0	7599390.0	6335403.0	5671064.0	5826167.0	6729056.0	7028155.0	5773319.0	6880792.0	6805656.0	6755642.0	6800498.0	2938788.0	5843932.0	6783474.0	5807967.0	6764681.0	6750840.0	7196711.0	6909015.0	6751907.0	5784158.0	6767947.0	6752985.0	6756005.0	6801342.0	5803592.0	5710025.0	5779062.0	6764967.0	6161904.0	7110903.0	5817360.0	6927874.0	5809767.0	6995933.0	6810787.0	5858584.0	5802076.0	6784387.0	5866024.0	5816473.0	5820814.0	5856941.0	6793858.0	7030785.0	5763646.0
V074.fsa	5915448.0	6378551.0	6348481.0	6334241.0	6139596.0	6381516.0	6335403.0	7296815.0	5797379.0	5880974.0	6284976.0	6339411.0	5877224.0	6358053.0	6384381.0	6413590.0	6380859.0	2943065.0	5879733.0	6378840.0	5947731.0	6377508.0	6400866.0	6775929.0	6327966.0	6348888.0	5872648.0	6361717.0	6349742.0	6347553.0	6382484.0	5916813.0	5633302.0	5882342.0	6365276.0	6140197.0	6389629.0	5863166.0	6329609.0	5699478.0	6359837.0	6374969.0	5883107.0	5914699.0	6367305.0	5887628.0	5845867.0	5876777.0	5877923.0	6382568.0	6346559.0	5835736.0
V068.fsa	6444960.0	5732568.0	5736975.0	5676350.0	5647764.0	5734328.0	5671064.0	5797379.0	6862444.0	6366046.0	5638860.0	5680062.0	6448732.0	5693915.0	5750974.0	5729617.0	5733253.0	2806070.0	6254907.0	5765246.0	6451458.0	5732490.0	5721145.0	6014407.0	5683669.0	5693886.0	6219498.0	5746986.0	5690706.0	5736772.0	5736021.0	6449918.0	5335386.0	6450575.0	5690432.0	5648590.0	5720380.0	5897289.0	5684037.0	5393399.0	5694916.0	5748212.0	6369606.0	6450171.0	5722451.0	6366321.0	5886525.0	6368606.0	6368048.0	5735197.0	5686825.0	6196096.0
G011.fsa	6601070.0	5851215.0	5831002.0	5853561.0	5753413.0	5839129.0	5826167.0	5880974.0	6366046.0	7356562.0	5804265.0	5854139.0	6690655.0	5863119.0	5856449.0	5818811.0	5847571.0	2879000.0	6375657.0	5850685.0	6755270.0	5834240.0	5815012.0	6179249.0	5826689.0	5777610.0	6397384.0	5846259.0	5795921.0	5829804.0	5849094.0	6708471.0	5546323.0	6697696.0	5776542.0	5760822.0	5910862.0	6052934.0	5815323.0	5575789.0	5864786.0	5845698.0	7192489.0	6772928.0	5837491.0	7094873.0	6047257.0	7210875.0	7187046.0	5848171.0	5857299.0	6340004.0
