Name	Gene	Start	End	Length	Type	Strand	Contig	Product
L019_fsa_00001		42	338	297	CDS	Forward	C1067	hypothetical protein
L019_fsa_00002		441	1748	1308	CDS	Reverse	C1067	hypothetical protein
L019_fsa_00003		1690	1929	240	CDS	Reverse	C1067	hypothetical protein
L019_fsa_00004		2554	2745	192	CDS	Forward	C1067	hypothetical protein
L019_fsa_00005		72	1757	1686	CDS	Forward	C1156	hypothetical protein
L019_fsa_00006		1598	1915	318	CDS	Reverse	C1156	hypothetical protein
L019_fsa_00007		2159	2857	699	CDS	Reverse	C1156	hypothetical protein
L019_fsa_00008		52	1737	1686	CDS	Reverse	C1626	hypothetical protein
L019_fsa_00009		1737	2051	315	CDS	Reverse	C1626	hypothetical protein
L019_fsa_00010	hemA_1	132	380	249	CDS	Forward	C1684	5-aminolevulinate synthase
L019_fsa_00011		441	659	219	CDS	Reverse	C1684	hypothetical protein
L019_fsa_00012		788	1033	246	CDS	Forward	C1684	hypothetical protein
L019_fsa_00013		794	1156	363	CDS	Forward	C2542	hypothetical protein
L019_fsa_00014		34	345	312	CDS	Forward	C2806	hypothetical protein
L019_fsa_00015		287	895	609	CDS	Forward	C2806	hypothetical protein
L019_fsa_00016	copA_1	105	1982	1878	CDS	Forward	C453	putative copper-importing P-type ATPase A
L019_fsa_00017		1979	2137	159	CDS	Forward	C453	hypothetical protein
L019_fsa_00018	aadR	2172	2843	672	CDS	Forward	C453	Transcriptional activatory protein AadR
L019_fsa_00019	ccmE_1	2979	3440	462	CDS	Forward	C453	Cytochrome c-type biogenesis protein CcmE
L019_fsa_00020		3437	3634	198	CDS	Forward	C453	hypothetical protein
L019_fsa_00021	IMPDH_1	3709	4389	681	CDS	Forward	C453	Inosine-5'-monophosphate dehydrogenase
L019_fsa_00022		5175	5540	366	CDS	Reverse	C453	hypothetical protein
L019_fsa_00023		436	1926	1491	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00024		1923	4682	2760	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00025		4796	5005	210	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00026	pal_1	5002	6258	1257	CDS	Reverse	Cchr	Peptidoglycan-associated lipoprotein
L019_fsa_00027		6898	8217	1320	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00028	ndvB_1	8223	12113	3891	CDS	Reverse	Cchr	Cyclic beta-(1%2C2)-glucan synthase NdvB
L019_fsa_00029	xpkA_1	12144	14609	2466	CDS	Reverse	Cchr	Xylulose-5-phosphate phosphoketolase
L019_fsa_00030	IMPDH_2	14986	15654	669	CDS	Reverse	Cchr	Inosine-5'-monophosphate dehydrogenase
L019_fsa_00031	bacA	15767	17455	1689	CDS	Reverse	Cchr	Vitamin B12 transport ATP-binding protein BacA
L019_fsa_00032	bepA_1	17578	19230	1653	CDS	Reverse	Cchr	Beta-barrel assembly-enhancing protease
L019_fsa_00033		19500	19991	492	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00034	prsE_1	20110	21459	1350	CDS	Reverse	Cchr	Type I secretion system membrane fusion protein PrsE
L019_fsa_00035	btuD_1	21465	23702	2238	CDS	Reverse	Cchr	Vitamin B12 import ATP-binding protein BtuD
L019_fsa_00036		23728	25764	2037	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00037		25906	26862	957	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00038	malT_1	27706	28488	783	CDS	Forward	Cchr	HTH-type transcriptional regulator MalT
L019_fsa_00039		28504	28824	321	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00040		29213	30238	1026	CDS	Forward	Cchr	UDP-glucose 4-epimerase
L019_fsa_00041	galE_1	30240	31223	984	CDS	Forward	Cchr	UDP-glucose 4-epimerase
L019_fsa_00042		31220	33088	1869	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00043		33127	33648	522	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00044		33652	34620	969	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00045	yesO_1	34685	35971	1287	CDS	Reverse	Cchr	Putative ABC transporter substrate-binding protein YesO
L019_fsa_00046	cytR_1	36119	37138	1020	CDS	Forward	Cchr	HTH-type transcriptional repressor CytR
L019_fsa_00047		37266	39122	1857	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00048		39119	40129	1011	CDS	Forward	Cchr	Formate dehydrogenase%2C mitochondrial
L019_fsa_00049	yteT_1	40218	41495	1278	CDS	Reverse	Cchr	Putative oxidoreductase YteT
L019_fsa_00050		41647	42471	825	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00051		42609	43772	1164	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00052	xdh	43776	44924	1149	CDS	Reverse	Cchr	D-xylose dehydrogenase
L019_fsa_00053	nicS	45056	45733	678	CDS	Reverse	Cchr	HTH-type transcriptional repressor NicS
L019_fsa_00054	yesO_2	45932	47218	1287	CDS	Forward	Cchr	Putative ABC transporter substrate-binding protein YesO
L019_fsa_00055	lacF_1	47225	48184	960	CDS	Forward	Cchr	Lactose transport system permease protein LacF
L019_fsa_00056	ngcG_1	48177	49064	888	CDS	Forward	Cchr	Diacetylchitobiose uptake system permease protein NgcG
L019_fsa_00057	iolG_1	49064	50161	1098	CDS	Forward	Cchr	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
L019_fsa_00058	malK_1	50193	51269	1077	CDS	Forward	Cchr	Maltose/maltodextrin import ATP-binding protein MalK
L019_fsa_00059	thiK_1	51442	52317	876	CDS	Forward	Cchr	Thiamine kinase
L019_fsa_00060	abo_1	52318	54768	2451	CDS	Forward	Cchr	4-methylaminobutanoate oxidase (formaldehyde-forming)
L019_fsa_00061	por	54898	56355	1458	CDS	Reverse	Cchr	Polyol:NADP oxidoreductase
L019_fsa_00062	uxaC	56352	57767	1416	CDS	Reverse	Cchr	Uronate isomerase
L019_fsa_00063	slyX	57948	58157	210	CDS	Forward	Cchr	Protein SlyX
L019_fsa_00064	gabD_1	58213	59694	1482	CDS	Reverse	Cchr	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
L019_fsa_00065	puuE	59761	61041	1281	CDS	Reverse	Cchr	4-aminobutyrate aminotransferase PuuE
L019_fsa_00066		61212	62021	810	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00067	rnd_1	62261	62887	627	CDS	Forward	Cchr	Ribonuclease D
L019_fsa_00068		63119	64684	1566	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00069	rpsA	64857	66560	1704	CDS	Reverse	Cchr	30S ribosomal protein S1
L019_fsa_00070	cmk	66737	67384	648	CDS	Reverse	Cchr	Cytidylate kinase
L019_fsa_00071	aroA_1	67457	68815	1359	CDS	Reverse	Cchr	3-phosphoshikimate 1-carboxyvinyltransferase
L019_fsa_00072		69092	69475	384	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00073		69822	70061	240	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00074		70254	70973	720	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00075		71042	71830	789	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00076		71932	72405	474	CDS	Reverse	Cchr	hypothetical protein
L019_fsa_00077		72578	73213	636	CDS	Forward	Cchr	hypothetical protein
L019_fsa_00078	perR	73290	73709	420	CDS	Reverse	Cchr	Peroxide-responsive repressor PerR
L019_fsa_00079	fabA	74011	74526	516	CDS	Forward	Cchr	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
L019_fsa_00080	fabB	74572	75804	1233	CDS	Forward	Cchr	3-oxoacyl-[acyl-carrier-protein] synthase 1
L019_fsa_00081	fabI_1	75812	76618	807	CDS	Forward	Cchr	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
