Name	Gene	Start	End	Length	Type	Strand	Contig	Product
V068_fsa_00001	hemA_1	5	253	249	CDS	Reverse	C100	5-aminolevulinate synthase
V068_fsa_00002	abo_1	715	3165	2451	CDS	Reverse	C42	4-methylaminobutanoate oxidase (formaldehyde-forming)
V068_fsa_00003	thiK	3166	4041	876	CDS	Reverse	C42	Thiamine kinase
V068_fsa_00004	malK_1	4329	5405	1077	CDS	Reverse	C42	Maltose/maltodextrin import ATP-binding protein MalK
V068_fsa_00005	iolG_1	5437	6534	1098	CDS	Reverse	C42	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
V068_fsa_00006	ngcG_1	6534	7421	888	CDS	Reverse	C42	Diacetylchitobiose uptake system permease protein NgcG
V068_fsa_00007	lacF_1	7414	8373	960	CDS	Reverse	C42	Lactose transport system permease protein LacF
V068_fsa_00008	yesO_1	8380	9666	1287	CDS	Reverse	C42	Putative ABC transporter substrate-binding protein YesO
V068_fsa_00009	nicS	9864	10541	678	CDS	Forward	C42	HTH-type transcriptional repressor NicS
V068_fsa_00010	xdh_1	10673	11821	1149	CDS	Forward	C42	D-xylose dehydrogenase
V068_fsa_00011		11825	12988	1164	CDS	Forward	C42	hypothetical protein
V068_fsa_00012		13013	13837	825	CDS	Forward	C42	hypothetical protein
V068_fsa_00013	yteT_1	13990	15267	1278	CDS	Forward	C42	Putative oxidoreductase YteT
V068_fsa_00014		15298	16308	1011	CDS	Reverse	C42	Formate dehydrogenase%2C mitochondrial
V068_fsa_00015		16305	18161	1857	CDS	Reverse	C42	hypothetical protein
V068_fsa_00016	cytR_1	18170	19204	1035	CDS	Reverse	C42	HTH-type transcriptional repressor CytR
V068_fsa_00017	yesO_2	19355	20641	1287	CDS	Forward	C42	Putative ABC transporter substrate-binding protein YesO
V068_fsa_00018		20706	21674	969	CDS	Reverse	C42	hypothetical protein
V068_fsa_00019		21678	22199	522	CDS	Reverse	C42	hypothetical protein
V068_fsa_00020		22238	24106	1869	CDS	Reverse	C42	hypothetical protein
V068_fsa_00021	galE_1	24103	25086	984	CDS	Reverse	C42	UDP-glucose 4-epimerase
V068_fsa_00022		25088	26110	1023	CDS	Reverse	C42	UDP-glucose 4-epimerase
V068_fsa_00023		26492	26812	321	CDS	Forward	C42	hypothetical protein
V068_fsa_00024	malT	26828	27610	783	CDS	Reverse	C42	HTH-type transcriptional regulator MalT
V068_fsa_00025		28454	29404	951	CDS	Forward	C42	hypothetical protein
V068_fsa_00026		29546	31579	2034	CDS	Forward	C42	hypothetical protein
V068_fsa_00027		656	1003	348	CDS	Reverse	C55	hypothetical protein
V068_fsa_00028		1686	3305	1620	CDS	Reverse	C55	hypothetical protein
V068_fsa_00029		3989	4273	285	CDS	Forward	C55	hypothetical protein
V068_fsa_00030		4450	5127	678	CDS	Forward	C55	hypothetical protein
V068_fsa_00031		5494	5871	378	CDS	Reverse	C55	hypothetical protein
V068_fsa_00032		5891	6232	342	CDS	Reverse	C55	hypothetical protein
V068_fsa_00033	slyA_1	6441	6866	426	CDS	Reverse	C55	Transcriptional regulator SlyA
V068_fsa_00034		7287	8051	765	CDS	Reverse	C55	putative protein
V068_fsa_00035		8080	9429	1350	CDS	Reverse	C55	hypothetical protein
V068_fsa_00036	kup_1	9708	11543	1836	CDS	Reverse	C55	Low affinity potassium transport system protein kup
V068_fsa_00037		12094	12351	258	CDS	Reverse	C55	hypothetical protein
V068_fsa_00038	ccmC_1	768	1532	765	CDS	Forward	C59	Heme exporter protein C
V068_fsa_00039	cycY_1	1689	2282	594	CDS	Forward	C59	Thiol:disulfide interchange protein CycY
V068_fsa_00040	IMPDH_1	2835	3506	672	CDS	Reverse	C59	Inosine-5'-monophosphate dehydrogenase
V068_fsa_00041	ccmH	3580	4044	465	CDS	Reverse	C59	Cytochrome c-type biogenesis protein CcmH
V068_fsa_00042	ccmF_1	4041	4697	657	CDS	Reverse	C59	Cytochrome c-type biogenesis protein CcmF
V068_fsa_00043		331	738	408	CDS	Reverse	C60	hypothetical protein
V068_fsa_00044		1378	1518	141	CDS	Forward	C60	hypothetical protein
V068_fsa_00045		1778	1897	120	CDS	Forward	C60	hypothetical protein
V068_fsa_00046		2035	2961	927	CDS	Reverse	C60	hypothetical protein
V068_fsa_00047		59	1177	1119	CDS	Forward	C63	IS4 family transposase IS186A
V068_fsa_00048		105	1250	1146	CDS	Forward	C64	IS4 family transposase ISRel1
V068_fsa_00049		233	1201	969	CDS	Forward	C65	IS110 family transposase ISWpi12
V068_fsa_00050		3	893	891	CDS	Reverse	C66	hypothetical protein
V068_fsa_00051		325	741	417	CDS	Forward	C67	hypothetical protein
V068_fsa_00052		766	894	129	CDS	Forward	C67	hypothetical protein
V068_fsa_00053		155	790	636	CDS	Reverse	C68	IS481 family transposase ISHne2
V068_fsa_00054	hemA_2	5	331	327	CDS	Forward	C76	5-aminolevulinate synthase
V068_fsa_00055		189	515	327	CDS	Reverse	C77	hypothetical protein
V068_fsa_00056		20	565	546	CDS	Reverse	C78	hypothetical protein
V068_fsa_00057		78	509	432	CDS	Reverse	C80	hypothetical protein
V068_fsa_00058		64	240	177	CDS	Reverse	C96	hypothetical protein
V068_fsa_00059		23	316	294	CDS	Forward	C97	hypothetical protein
V068_fsa_00060		223	600	378	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00061		727	1965	1239	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00062	ndvB	2066	10585	8520	CDS	Reverse	Cchr	Cyclic beta-(1%2C2)-glucan synthase NdvB
V068_fsa_00063		11227	11391	165	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00064		11519	11707	189	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00065	oppF_1	11870	12619	750	CDS	Reverse	Cchr	Oligopeptide transport ATP-binding protein OppF
V068_fsa_00066	oppD_1	12616	13449	834	CDS	Reverse	Cchr	Oligopeptide transport ATP-binding protein OppD
V068_fsa_00067	ddpC_1	13446	14381	936	CDS	Reverse	Cchr	putative D%2CD-dipeptide transport system permease protein DdpC
V068_fsa_00068	dppB_1	14378	15445	1068	CDS	Reverse	Cchr	Dipeptide transport system permease protein DppB
V068_fsa_00069	ddpA_1	15464	17107	1644	CDS	Reverse	Cchr	putative D%2CD-dipeptide-binding periplasmic protein DdpA
V068_fsa_00070		17145	18203	1059	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00071	rbsC_1	18451	19476	1026	CDS	Reverse	Cchr	Ribose import permease protein RbsC
V068_fsa_00072	mglA_1	19511	21052	1542	CDS	Reverse	Cchr	Galactose/methyl galactoside import ATP-binding protein MglA
V068_fsa_00073	mglB	21122	22051	930	CDS	Reverse	Cchr	D-galactose-binding periplasmic protein
V068_fsa_00074		22427	22924	498	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00075		22931	24490	1560	CDS	Reverse	Cchr	Multifunctional alkaline phosphatase superfamily protein
V068_fsa_00076	galE_2	24468	25451	984	CDS	Reverse	Cchr	UDP-glucose 4-epimerase
V068_fsa_00077		25703	26347	645	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00078		26505	27074	570	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00079		27108	27362	255	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00080		27564	29000	1437	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00081		29037	29597	561	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00082		29898	31529	1632	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00083		31960	33408	1449	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00084	rplU	33930	34247	318	CDS	Forward	Cchr	50S ribosomal protein L21
V068_fsa_00085	rpmA	34281	34550	270	CDS	Forward	Cchr	50S ribosomal protein L27
V068_fsa_00086		34677	35333	657	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00087		35369	35917	549	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00088		35959	36825	867	CDS	Reverse	Cchr	hypothetical protein
V068_fsa_00089	cgtA	36910	37998	1089	CDS	Forward	Cchr	GTPase Obg/CgtA
V068_fsa_00090	proB	37985	39154	1170	CDS	Forward	Cchr	Glutamate 5-kinase
V068_fsa_00091	proA_1	39147	40430	1284	CDS	Forward	Cchr	Gamma-glutamyl phosphate reductase
V068_fsa_00092	nadD	40405	41067	663	CDS	Forward	Cchr	nicotinate-nucleotide adenylyltransferase
V068_fsa_00093	modA	41566	42357	792	CDS	Forward	Cchr	Molybdate-binding protein ModA
V068_fsa_00094	modB	42617	43321	705	CDS	Forward	Cchr	Molybdenum transport system permease protein ModB
V068_fsa_00095	btuD_1	43318	44385	1068	CDS	Forward	Cchr	Vitamin B12 import ATP-binding protein BtuD
V068_fsa_00096	mopA	44389	44763	375	CDS	Reverse	Cchr	Molybdenum-pterin-binding protein MopA
V068_fsa_00097	rsfS	44968	45417	450	CDS	Forward	Cchr	Ribosomal silencing factor RsfS
V068_fsa_00098	rlmH	45536	46018	483	CDS	Forward	Cchr	Ribosomal RNA large subunit methyltransferase H
V068_fsa_00099		46208	47611	1404	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00100		47601	48923	1323	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00101		49000	50196	1197	CDS	Forward	Cchr	hypothetical protein
V068_fsa_00102	rppH	50247	50774	528	CDS	Forward	Cchr	RNA pyrophosphohydrolase
V068_fsa_00103	bfr	50909	51394	486	CDS	Reverse	Cchr	Bacterioferritin
V068_fsa_00104		51360	51671	312	CDS	Reverse	Cchr	hypothetical protein
