Name	Gene	Start	End	Length	Type	Strand	Contig	Product
G077_fsa_00001		423	1202	780	CDS	Reverse	C15	hypothetical protein
G077_fsa_00002		1426	2202	777	CDS	Reverse	C15	hypothetical protein
G077_fsa_00003		2349	3353	1005	CDS	Forward	C15	hypothetical protein
G077_fsa_00004		3414	5588	2175	CDS	Reverse	C15	hypothetical protein
G077_fsa_00005		5744	7234	1491	CDS	Reverse	C15	hypothetical protein
G077_fsa_00006		7658	8998	1341	CDS	Forward	C15	hypothetical protein
G077_fsa_00007		9519	11144	1626	CDS	Forward	C15	hypothetical protein
G077_fsa_00008		11147	13288	2142	CDS	Forward	C15	hypothetical protein
G077_fsa_00009		13536	14159	624	CDS	Reverse	C15	IS66 family transposase ISPre3
G077_fsa_00010		14474	14800	327	CDS	Forward	C15	hypothetical protein
G077_fsa_00011		15092	15865	774	CDS	Reverse	C15	hypothetical protein
G077_fsa_00012	ligD_1	15929	16882	954	CDS	Reverse	C15	Multifunctional non-homologous end joining protein LigD
G077_fsa_00013		16992	17234	243	CDS	Forward	C15	hypothetical protein
G077_fsa_00014		17274	18026	753	CDS	Forward	C15	hypothetical protein
G077_fsa_00015	imuB_1	18040	19458	1419	CDS	Forward	C15	Protein ImuB
G077_fsa_00016	dnaE2_1	19455	22712	3258	CDS	Forward	C15	Error-prone DNA polymerase
G077_fsa_00017		23087	23470	384	CDS	Forward	C15	hypothetical protein
G077_fsa_00018	hipO_1	23758	24954	1197	CDS	Forward	C15	Hippurate hydrolase
G077_fsa_00019	gsiB_1	24986	26578	1593	CDS	Forward	C15	Glutathione-binding protein GsiB
G077_fsa_00020	appA_1	26924	28513	1590	CDS	Reverse	C15	Oligopeptide-binding protein AppA
G077_fsa_00021	ntaA_1	28620	29972	1353	CDS	Reverse	C15	Nitrilotriacetate monooxygenase component A
G077_fsa_00022		30001	30672	672	CDS	Reverse	C15	hypothetical protein
G077_fsa_00023	kmo	30672	31916	1245	CDS	Reverse	C15	Kynurenine 3-monooxygenase
G077_fsa_00024		31921	32784	864	CDS	Reverse	C15	hypothetical protein
G077_fsa_00025	soxB_1	32781	33815	1035	CDS	Reverse	C15	2'-hydroxybiphenyl-2-sulfinate desulfinase
G077_fsa_00026	ydbM_1	33824	35056	1233	CDS	Reverse	C15	Putative acyl-CoA dehydrogenase YdbM
G077_fsa_00027	soxB_2	35069	36109	1041	CDS	Reverse	C15	2'-hydroxybiphenyl-2-sulfinate desulfinase
G077_fsa_00028	gsiC_1	36420	37406	987	CDS	Forward	C15	Glutathione transport system permease protein GsiC
G077_fsa_00029	dppC_1	37406	38410	1005	CDS	Forward	C15	Dipeptide transport system permease protein DppC
G077_fsa_00030	oppD_1	38414	39412	999	CDS	Forward	C15	Oligopeptide transport ATP-binding protein OppD
G077_fsa_00031	oppF_1	39390	40334	945	CDS	Forward	C15	Oligopeptide transport ATP-binding protein OppF
G077_fsa_00032	yajO_1	40352	41413	1062	CDS	Forward	C15	1-deoxyxylulose-5-phosphate synthase YajO
G077_fsa_00033	dppA_1	42207	43823	1617	CDS	Forward	C15	Periplasmic dipeptide transport protein
G077_fsa_00034	sfnC_1	43895	45118	1224	CDS	Forward	C15	putative FMNH2-dependent monooxygenase SfnC
G077_fsa_00035	curA	45344	46363	1020	CDS	Reverse	C15	NADPH-dependent curcumin reductase
G077_fsa_00036		48277	48588	312	CDS	Forward	C15	hypothetical protein
G077_fsa_00037		49015	49599	585	CDS	Forward	C15	hypothetical protein
G077_fsa_00038		49822	50406	585	CDS	Forward	C15	hypothetical protein
G077_fsa_00039	plsY_1	51546	52214	669	CDS	Forward	C15	Glycerol-3-phosphate acyltransferase
G077_fsa_00040	gpmB_1	52661	53263	603	CDS	Forward	C15	phosphoglycerate mutase GpmB
G077_fsa_00041	mprA	53836	54513	678	CDS	Reverse	C15	Response regulator MprA
G077_fsa_00042	rcsC_1	54501	56099	1599	CDS	Reverse	C15	Sensor histidine kinase RcsC
G077_fsa_00043		56305	57768	1464	CDS	Forward	C15	hypothetical protein
G077_fsa_00044	glxK	57784	58959	1176	CDS	Forward	C15	Glycerate 3-kinase
G077_fsa_00045		59279	59590	312	CDS	Reverse	C15	hypothetical protein
G077_fsa_00046		59714	59839	126	CDS	Reverse	C15	hypothetical protein
G077_fsa_00047		60064	60213	150	CDS	Reverse	C15	hypothetical protein
G077_fsa_00048		60210	60608	399	CDS	Reverse	C15	hypothetical protein
G077_fsa_00049		60734	61135	402	CDS	Reverse	C15	hypothetical protein
G077_fsa_00050	bdcA_1	61263	62003	741	CDS	Reverse	C15	Cyclic-di-GMP-binding biofilm dispersal mediator protein
G077_fsa_00051	dhmA_1	62268	63125	858	CDS	Reverse	C15	Haloalkane dehalogenase
G077_fsa_00052		63258	63824	567	CDS	Forward	C15	hypothetical protein
G077_fsa_00053		64017	64526	510	CDS	Reverse	C15	hypothetical protein
G077_fsa_00054	gbsA	64567	66045	1479	CDS	Reverse	C15	Betaine aldehyde dehydrogenase
G077_fsa_00055		66093	66350	258	CDS	Reverse	C15	hypothetical protein
G077_fsa_00056	dmlR_1	66546	67457	912	CDS	Forward	C15	HTH-type transcriptional regulator DmlR
G077_fsa_00057		67722	68249	528	CDS	Reverse	C15	hypothetical protein
G077_fsa_00058		68246	69199	954	CDS	Reverse	C15	hypothetical protein
G077_fsa_00059		69336	69782	447	CDS	Forward	C15	hypothetical protein
G077_fsa_00060		69859	71475	1617	CDS	Reverse	C15	hypothetical protein
G077_fsa_00061		72711	73028	318	CDS	Forward	C15	hypothetical protein
G077_fsa_00062		73470	73712	243	CDS	Reverse	C15	hypothetical protein
G077_fsa_00063	thiE_1	73887	74507	621	CDS	Reverse	C15	Thiamine-phosphate synthase
G077_fsa_00064	thiG	74504	75277	774	CDS	Reverse	C15	Thiazole synthase
G077_fsa_00065		75281	75478	198	CDS	Reverse	C15	hypothetical protein
G077_fsa_00066	dadA_1	75475	76449	975	CDS	Reverse	C15	D-amino acid dehydrogenase
G077_fsa_00067	thiC_1	76451	78277	1827	CDS	Reverse	C15	Phosphomethylpyrimidine synthase
G077_fsa_00068		78661	78777	117	CDS	Reverse	C15	hypothetical protein
G077_fsa_00069		79105	79323	219	CDS	Forward	C15	hypothetical protein
G077_fsa_00070		79956	80489	534	CDS	Reverse	C15	hypothetical protein
G077_fsa_00071	egtE	80431	81618	1188	CDS	Reverse	C15	hercynylcysteine sulfoxide lyase
G077_fsa_00072	mltF_1	81732	82571	840	CDS	Reverse	C15	Membrane-bound lytic murein transglycosylase F
G077_fsa_00073	pcpR_1	82736	83689	954	CDS	Forward	C15	PCP degradation transcriptional activation protein
G077_fsa_00074		83754	84221	468	CDS	Reverse	C15	hypothetical protein
G077_fsa_00075	artM	84299	85102	804	CDS	Reverse	C15	Arginine transport ATP-binding protein ArtM
G077_fsa_00076		85099	86040	942	CDS	Reverse	C15	hypothetical protein
G077_fsa_00077		86179	86358	180	CDS	Reverse	C15	hypothetical protein
G077_fsa_00078	lrp_1	87150	87641	492	CDS	Reverse	C15	Leucine-responsive regulatory protein
G077_fsa_00079	thrB_1	87638	88444	807	CDS	Reverse	C15	Homoserine kinase
G077_fsa_00080	fumC_1	88428	89480	1053	CDS	Reverse	C15	Fumarate hydratase class II
G077_fsa_00081	safD	89526	90944	1419	CDS	Reverse	C15	Sulfoacetaldehyde dehydrogenase
G077_fsa_00082		90941	92002	1062	CDS	Reverse	C15	hypothetical protein
G077_fsa_00083	csd_1	93223	94428	1206	CDS	Reverse	C15	putative cysteine desulfurase
G077_fsa_00084	hdfR_1	94592	95512	921	CDS	Reverse	C15	HTH-type transcriptional regulator HdfR
G077_fsa_00085	yabJ_1	95692	96075	384	CDS	Forward	C15	2-iminobutanoate/2-iminopropanoate deaminase
G077_fsa_00086		96139	97158	1020	CDS	Forward	C15	Nitrilase
G077_fsa_00087	msrP_1	97163	98149	987	CDS	Forward	C15	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
G077_fsa_00088		98464	98670	207	CDS	Reverse	C15	hypothetical protein
G077_fsa_00089	deoR_1	98803	99786	984	CDS	Reverse	C15	Deoxyribonucleoside regulator
G077_fsa_00090	scrK_1	99968	100924	957	CDS	Reverse	C15	Fructokinase
G077_fsa_00091		100929	101597	669	CDS	Reverse	C15	putative protein
G077_fsa_00092	dlaT	101720	101956	237	CDS	Reverse	C15	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
G077_fsa_00093	dxs_1	101986	104451	2466	CDS	Reverse	C15	1-deoxy-D-xylulose-5-phosphate synthase
G077_fsa_00094		104776	105621	846	CDS	Forward	C15	L-ribulose 3-epimerase
G077_fsa_00095	lsrB_1	105700	106698	999	CDS	Forward	C15	Autoinducer 2-binding protein LsrB
