	V050.fsa	H011.fsa	G073.fsa	G004.fsa	V002.fsa	G016.fsa	L070.fsa	V116.fsa	H130.fsa	V008.fsa	G093.fsa	L117.fsa
V050.fsa	7582327.0	5780741.0	6774243.0	6783483.0	6773969.0	5819500.0	6826005.0	6851310.0	6782029.0	5879401.0	5907522.0	5780108.0
H011.fsa	5780741.0	7351350.0	5807259.0	5839058.0	5801594.0	6339767.0	5829540.0	5844244.0	5859988.0	6593720.0	6051199.0	6320396.0
G073.fsa	6774243.0	5807259.0	7195373.0	6759518.0	7134257.0	5836738.0	6872408.0	6750018.0	6736016.0	5834705.0	5840828.0	5791820.0
G004.fsa	6783483.0	5839058.0	6759518.0	8020315.0	6751546.0	5876178.0	6842688.0	6969402.0	7498994.0	5851320.0	5916478.0	5895369.0
V002.fsa	6773969.0	5801594.0	7134257.0	6751546.0	7145988.0	5829075.0	6859248.0	6751759.0	6720177.0	5829032.0	5831160.0	5783779.0
G016.fsa	5819500.0	6339767.0	5836738.0	5876178.0	5829075.0	7154414.0	5884216.0	5892488.0	5874043.0	6503047.0	6186612.0	6862289.0
L070.fsa	6826005.0	5829540.0	6872408.0	6842688.0	6859248.0	5884216.0	7667598.0	6831300.0	6828379.0	5846364.0	5884737.0	5827944.0
V116.fsa	6851310.0	5844244.0	6750018.0	6969402.0	6751759.0	5892488.0	6831300.0	8093657.0	6889193.0	5990612.0	5939701.0	5872276.0
H130.fsa	6782029.0	5859988.0	6736016.0	7498994.0	6720177.0	5874043.0	6828379.0	6889193.0	8515722.0	5587168.0	5606186.0	5592894.0
V008.fsa	5879401.0	6593720.0	5834705.0	5851320.0	5829032.0	6503047.0	5846364.0	5990612.0	5587168.0	7339885.0	6087257.0	6353752.0
G093.fsa	5907522.0	6051199.0	5840828.0	5916478.0	5831160.0	6186612.0	5884737.0	5939701.0	5606186.0	6087257.0	7374178.0	6145990.0
L117.fsa	5780108.0	6320396.0	5791820.0	5895369.0	5783779.0	6862289.0	5827944.0	5872276.0	5592894.0	6353752.0	6145990.0	7196178.0
